"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","genesymbol","genename","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
2422642,2.22359166666667,2.92570916666667,9.62971484787365,4.48693802724951e-07,0.0475353106055471,5.54231346397864,"HFM1 /// AB204867",NA,2.22359166666667,4.48693802724951e-07,0.0475353106055471,"HFM1 /// AB204867","HFM1","GSE56500_C9"
3033247,-2.74293,7.63312,-8.83018577918998,1.14694672918096e-06,0.0475353106055471,4.90735289549035,"INSIG1 /// NM_198336",NA,-2.74293,1.14694672918096e-06,0.0475353106055471,"INSIG1 /// NM_198336","INSIG1","GSE56500_C9"
3995382,-2.85880333333333,5.4372625,-9.04035641428517,8.9074241967816e-07,0.0475353106055471,5.08175390154312,"NSDHL /// NM_001129765",NA,-2.85880333333333,8.9074241967816e-07,0.0475353106055471,"NSDHL /// NM_001129765","NSDHL","GSE56500_C9"
2316451,2.77812166666667,2.90944916666667,8.95444156401768,9.87183914035279e-07,0.0475353106055471,5.01112954527438,"SKI /// ENST00000378536",NA,2.77812166666667,9.87183914035279e-07,0.0475353106055471,"SKI /// ENST00000378536","SKI","GSE56500_C9"
3162512,-2.866775,6.16443583333333,-9.99213970294745,2.99100282435396e-07,0.0475353106055471,5.80591079367923,"TYRP1 /// BC052608",NA,-2.866775,2.99100282435396e-07,0.0475353106055471,"TYRP1 /// BC052608","TYRP1","GSE56500_C9"
3775695,-1.92809333333333,5.26488666666667,-8.77483583107249,1.22682850336281e-06,0.0475353106055471,4.8604945049574,"USP14 /// NM_001037334",NA,-1.92809333333333,1.22682850336281e-06,0.0475353106055471,"USP14 /// NM_001037334","USP14","GSE56500_C9"
