"logfc","aveexpr","t","p.value","adj.p.val","b","gene_symbol","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
1.08717531852381,0.44810218057778,4.43173297670227,0.000225141051564221,0.201560796202194,0.509249241502386,62,"ACTBP2","ACTBP2",1.08717531852381,0.000225141051564221,0.201560796202194,"ACTBP2","ACTBP2","GSE76220"
-0.665501362885351,0.957238817554546,-5.40256161563997,2.23157071678118e-05,0.172478100700018,2.35814310845304,773,"CACNA1A","CACNA1A",-0.665501362885351,2.23157071678118e-05,0.172478100700018,"CACNA1A","CACNA1A","GSE76220"
0.90834566026957,0.962157817165201,3.0915534571143,0.00547131501274444,0.355359611205897,-2.10331564465393,1778,"DYNC1H1","DYNC1H1",0.90834566026957,0.00547131501274444,0.355359611205897,"DYNC1H1","DYNC1H1","GSE76220"
0.718261742650712,0.733453373616865,3.26997207605389,0.00361222214418722,0.30680071376289,-1.76263268603315,711,"ERC2-IT1","ERC2-IT1",0.718261742650712,0.00361222214418722,0.30680071376289,"ERC2-IT1","ERC2-IT1","GSE76220"
0.851067929134194,1.25587332638821,3.56812713104444,0.00178710008746615,0.283709278092894,-1.18445513614664,2099,"ESR1","ESR1",0.851067929134194,0.00178710008746615,0.283709278092894,"ESR1","ESR1","GSE76220"
0.660801052775527,0.940109084255913,4.93956072729506,6.67104202184965e-05,0.186329569254289,1.48932409144901,8603,"FAM193A","FAM193A",0.660801052775527,6.67104202184965e-05,0.186329569254289,"FAM193A","FAM193A","GSE76220"
1.49679857897049,0.0880791902193885,2.83087612406778,0.00992873837375429,0.366446516268795,-2.59061755702229,2562,"GABRB3","GABRB3",1.49679857897049,0.00992873837375429,0.366446516268795,"GABRB3","GABRB3","GSE76220"
0.848147331789982,0.988528208277818,3.01151541703509,0.00657955707976264,0.366446516268795,-2.25441177391494,2665,"GDI2","GDI2",0.848147331789982,0.00657955707976264,0.366446516268795,"GDI2","GDI2","GSE76220"
1.10429321730776,1.01389306178478,3.45667728645857,0.00232766376728572,0.289445709302566,-1.40159716889963,3856,"KRT8","KRT8",1.10429321730776,0.00232766376728572,0.289445709302566,"KRT8","KRT8","GSE76220"
0.885283826601606,1.00213682990561,3.78899514184099,0.00105510898357605,0.253484925571049,-0.751807947400146,3857,"KRT9","KRT9",0.885283826601606,0.00105510898357605,0.253484925571049,"KRT9","KRT9","GSE76220"
0.6078344617524,1.75318945816086,4.55170078344139,0.000168754946924573,0.186329569254289,0.742767537963815,3898,"LAD1","LAD1",0.6078344617524,0.000168754946924573,0.186329569254289,"LAD1","LAD1","GSE76220"
0.608766054720159,1.17275079123178,3.32036266653042,0.00320967187494802,0.296651113250536,-1.66558871275724,4234,"METTL1","METTL1",0.608766054720159,0.00320967187494802,0.296651113250536,"METTL1","METTL1","GSE76220"
0.678213523533799,1.76083553108079,3.69650982191904,0.00131619199425172,0.254321198089288,-0.933258031648607,4337,"MOCS1","MOCS1",0.678213523533799,0.00131619199425172,0.254321198089288,"MOCS1","MOCS1","GSE76220"
0.68619095863605,1.33037225623118,3.23302007781115,0.00393823349283883,0.322390447997514,-1.83358275983472,4619,"MYH1","MYH1",0.68619095863605,0.00393823349283883,0.322390447997514,"MYH1","MYH1","GSE76220"
1.11283850279839,0.256273989497782,3.63790788543069,0.00151364744538741,0.273243213838193,-1.04803755232277,5019,"OXCT1","OXCT1",1.11283850279839,0.00151364744538741,0.273243213838193,"OXCT1","OXCT1","GSE76220"
0.658949071629025,0.977394405193165,2.8307502826425,0.00993155960483217,0.366446516268795,-2.59084919367444,3651,"PDX1","PDX1",0.658949071629025,0.00993155960483217,0.366446516268795,"PDX1","PDX1","GSE76220"
-0.803546359459035,0.781366745569297,-2.93836350390406,0.00777911181895155,0.366446516268795,-2.39141636635999,5713,"PSMD7","PSMD7",-0.803546359459035,0.00777911181895155,0.366446516268795,"PSMD7","PSMD7","GSE76220"
0.628001659190044,1.2703727021257,2.85762393810758,0.00934612350522645,0.366446516268795,-2.54129636608304,7837,"PXDN","PXDN",0.628001659190044,0.00934612350522645,0.366446516268795,"PXDN","PXDN","GSE76220"
0.751650994632115,0.492186731751977,2.89823014278891,0.00852365365461972,0.366446516268795,-2.46610069501745,5889,"RAD51C","RAD51C",0.751650994632115,0.00852365365461972,0.366446516268795,"RAD51C","RAD51C","GSE76220"
0.858230157745119,0.624263887932571,3.54231804153671,0.0019000970623308,0.283709278092894,-1.23482753505635,5649,"RELN","RELN",0.858230157745119,0.0019000970623308,0.283709278092894,"RELN","RELN","GSE76220"
-0.854067043038997,0.599104417203531,-3.18404855821479,0.00441462859569123,0.328576631527338,-1.92731094112421,6103,"RPGR","RPGR",-0.854067043038997,0.00441462859569123,0.328576631527338,"RPGR","RPGR","GSE76220"
1.13328026765028,1.4417546382826,3.84734250809584,0.000917492266415121,0.253260633111517,-0.63719670085941,6247,"RS1","RS1",1.13328026765028,0.000917492266415121,0.253260633111517,"RS1","RS1","GSE76220"
0.70982757400212,0.914817684510479,3.41215196635588,0.00258588115552935,0.289445709302566,-1.48804175997657,6326,"SCN2A","SCN2A",0.70982757400212,0.00258588115552935,0.289445709302566,"SCN2A","SCN2A","GSE76220"
0.961448349719867,1.65487425142252,3.61979951789912,0.00158037048644517,0.277606442948516,-1.08346755289039,6441,"SFTPD","SFTPD",0.961448349719867,0.00158037048644517,0.277606442948516,"SFTPD","SFTPD","GSE76220"
0.91315545272362,1.19748973129613,4.17167826748528,0.00042089922274372,0.220920393482658,0.000206230830724685,6444,"SGCD","SGCD",0.91315545272362,0.00042089922274372,0.220920393482658,"SGCD","SGCD","GSE76220"
0.928171955627297,1.34682901587153,3.81304619030333,0.000996066840102379,0.253484925571049,-0.704574775160995,6533,"SLC6A6","SLC6A6",0.928171955627297,0.000996066840102379,0.253484925571049,"SLC6A6","SLC6A6","GSE76220"
0.79293473340186,0.540490790473905,2.86029388846475,0.00928979318659157,0.366446516268795,-2.5363638168062,6736,"SRY","SRY",0.79293473340186,0.00928979318659157,0.366446516268795,"SRY","SRY","GSE76220"
