gene	degree	betweenness	closeness
SOD1	96	1729.98852259145	0.00490196078431373
HSPA5	94	1448.78804103119	0.00454545454545455
TP53	92	786.679914719475	0.00471698113207547
SQSTM1	80	470.397315263492	0.00440528634361234
BCL2	68	448.508060556982	0.00448430493273543
CASP3	62	362.819080184861	0.00442477876106195
BCL2L1	52	112.160582607577	0.00408163265306122
CYC1	52	113.286873189865	0.00338983050847458
OPTN	52	218.338654786245	0.00383141762452107
NDUFA4	50	127.073969991975	0.00340136054421769
NDUFS1	50	477.272029850518	0.00381679389312977
UQCRC1	50	137.413317965876	0.0033003300330033
COX6B1	48	58.3708416794586	0.0033112582781457
NDUFA2	48	30.3894888356603	0.00317460317460317
NDUFA9	48	23.7201259228267	0.0029673590504451
NDUFB10	48	79.1276454656437	0.00303030303030303
ALYREF	46	78.6010073749138	0.00338983050847458
COX6A1	46	30.573052723123	0.00321543408360129
NDUFA10	46	23.4569863456107	0.003125
NDUFB3	46	55.3093333125552	0.00304878048780488
NUP35	46	51.9377544784299	0.00332225913621262
NUP62	46	183.213504267201	0.00373134328358209
SDHC	46	292.193088701253	0.003584229390681
SEC13	46	81.670079999032	0.00340136054421769
SRSF3	46	95.2097009035587	0.00357142857142857
UQCR10	46	30.573052723123	0.00321543408360129
UQCRB	46	30.573052723123	0.00321543408360129
GLE1	44	31.3766930831704	0.00309597523219814
MAP3K5	44	72.9072632797527	0.00392156862745098
NDUFA1	44	0.645371173602808	0.00289855072463768
NDUFA12	44	0.645371173602808	0.00289855072463768
NDUFA3	44	0.645371173602808	0.00289855072463768
NDUFS6	44	0.645371173602808	0.00289855072463768
NUP153	44	16.4410854652538	0.00321543408360129
NUP160	44	52.6879591653329	0.00343642611683849
NUP54	44	16.4410854652538	0.00321543408360129
NUP85	44	43.4581075912053	0.00326797385620915
NUP98	44	16.4410854652538	0.00321543408360129
SRSF7	44	31.3766930831704	0.00309597523219814
UQCR11	44	0.645371173602808	0.00289855072463768
DDIT3	42	399.783155791892	0.00409836065573771
NUP107	42	2.79719270635846	0.00320512820512821
NUP155	42	2.79719270635846	0.00320512820512821
NUP188	42	2.79719270635846	0.00320512820512821
NUP205	42	2.79719270635846	0.00320512820512821
NUP210	42	2.79719270635846	0.00320512820512821
NUP37	42	2.79719270635846	0.00320512820512821
NUP43	42	2.79719270635846	0.00320512820512821
NUP50	42	2.79719270635846	0.00320512820512821
NUP88	42	2.79719270635846	0.00320512820512821
NDUFA4L2	40	0.0526315789473684	0.00284900284900285
NDUFB2	40	0.0526315789473684	0.00284900284900285
UQCRHL	40	0.157598899208806	0.00288184438040346
FUS	38	310.113867560975	0.00398406374501992
GABARAPL2	38	64.1719017315176	0.00374531835205993
NDUFB1	38	0	0.00284090909090909
GABARAPL1	36	32.5592092175033	0.0037037037037037
PIK3C3	36	27.9885382087047	0.0037037037037037
PSMD14	36	108.258901461595	0.00392156862745098
ATF6	34	32.9414008808147	0.00390625
ULK1	34	11.2342497998524	0.00343642611683849
ERN1	32	40.8419433464404	0.00377358490566038
PSMA4	32	86.4158641661362	0.00381679389312977
PSMC3	32	135.196706410321	0.00404858299595142
PSMC4	32	19.338866909965	0.0036101083032491
TBK1	32	35.9905679499321	0.003584229390681
XBP1	32	29.7300544261574	0.00389105058365759
HNRNPA2B1	30	105.719090361669	0.00383141762452107
PSMC5	30	97.346874658927	0.00381679389312977
PSMD11	30	13.5997738703877	0.003584229390681
PSMD8	30	25.5291078699117	0.00354609929078014
RB1CC1	30	9.23977885101855	0.00338983050847458
EIF2AK3	28	4.57711666207855	0.00373134328358209
HDAC6	28	16.8492907017703	0.00387596899224806
ITPR3	28	228.568390052661	0.00363636363636364
PSMA2	28	16.5762798567644	0.00374531835205993
PSMB3	28	40.3694227929937	0.0037593984962406
PSMB5	28	6.55246440105385	0.00359712230215827
PSMB6	28	75.8502439436832	0.00374531835205993
ATG14	26	3.9950838020685	0.00328947368421053
NEFL	26	165.630724368686	0.00336700336700337
UBQLN1	26	20.158201707164	0.00341296928327645
WIPI2	26	17.5563891011786	0.0032258064516129
APAF1	24	57.3090119829261	0.00390625
ATF4	24	3.0452180272525	0.00364963503649635
PIK3R4	24	2.08297398333166	0.00324675324675325
WIPI1	24	3.74239367638382	0.00305810397553517
GPX7	22	17.3001738128626	0.00366300366300366
MAPK12	22	59.0861647324365	0.00373134328358209
NEFH	22	74.1747766503143	0.00346020761245675
UBQLN4	22	16.539775962642	0.00344827586206897
GPX8	20	14.8546910074656	0.00364963503649635
PFN1	20	17.0061902196688	0.00344827586206897
TOMM40	20	120.718799252633	0.00371747211895911
NEFM	18	71.7290844659972	0.00344827586206897
DCTN2	16	87.4808388660159	0.00366300366300366
SLC1A2	16	40.6755915243201	0.00342465753424658
TUBB	16	58.578857938992	0.00380228136882129
DERL1	14	4.01122377825693	0.0034965034965035
SPG11	14	0.662191862191862	0.00340136054421769
DAXX	12	0.729449507647182	0.00340136054421769
ERBB4	12	178.335773943358	0.00327868852459016
ACTG1	10	4.70916664025843	0.00327868852459016
BID	10	0	0.00315457413249211
DNAH1	10	0.2	0.00308641975308642
DNAH14	10	1	0.00308641975308642
DNAH6	10	0.2	0.00308641975308642
DNAH7	10	0.2	0.00308641975308642
DNALI1	10	1	0.00308641975308642
GRIA2	10	24.7140486505679	0.00326797385620915
KLC4	10	7.29004305798688	0.0026525198938992
NXT2	10	0	0.00258397932816537
PPP3R1	10	6.36889669629611	0.00335570469798658
GRIA1	8	15.3280872097251	0.00280112044817927
NRG1	8	10.1907695085876	0.00252525252525253
TANK	8	0.2	0.00294117647058824
ANXA7	6	21.9461412379891	0.00309597523219814
CAT	6	0	0.00309597523219814
DNAH11	6	0.2	0.00306748466257669
MAP2K6	6	0	0.00306748466257669
MCU	6	2.38748981876201	0.00273224043715847
PRPH	6	0	0.00251256281407035
UBQLN3	6	0.609903502294807	0.00285714285714286
ANXA11	4	2.26930854325665	0.00269541778975741
NRG3	4	0	0.00234192037470726
TUBB1	2	0	0.00290697674418605
