#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ORM1	ORM2	9606.ENSP00000259396	9606.ENSP00000394936	0	0	0.049	0.983	0.999	0.781	0.400	0.596	0.999
ORM2	TTR	9606.ENSP00000394936	9606.ENSP00000237014	0	0	0	0	0.320	0	0	0.797	0.856
ORM2	SERPINA3	9606.ENSP00000394936	9606.ENSP00000450540	0	0	0	0	0.133	0	0.400	0.830	0.903
OSBPL10	OSBPL11	9606.ENSP00000379804	9606.ENSP00000296220	0	0	0.060	0.948	0	0.994	0	0.089	0.994
OSBPL11	OSBPL9	9606.ENSP00000296220	9606.ENSP00000412733	0	0	0	0.868	0.067	0.994	0	0.127	0.994
SERPINA3	TTR	9606.ENSP00000450540	9606.ENSP00000237014	0	0	0	0	0.178	0.066	0	0.785	0.820
TBC1D19	TTLL1	9606.ENSP00000264866	9606.ENSP00000266254	0	0	0	0	0.098	0.820	0	0.081	0.837
TPGS1	TTLL1	9606.ENSP00000352265	9606.ENSP00000266254	0	0	0	0	0.044	0.788	0.800	0.334	0.969
TPGS1	TPGS2	9606.ENSP00000352265	9606.ENSP00000464780	0	0	0	0	0	0.608	0.800	0.409	0.949
TPGS2	TTLL1	9606.ENSP00000464780	9606.ENSP00000266254	0	0	0	0	0.104	0.834	0.800	0.141	0.971
