moa_term,count_top50,count_all,enrichment_ratio
Metabolite of ethanol with a role in ethanol addiction,0,1,0.0
DeltaF508-CFTR Correctors,0,1,0.0
Procollagen C-Endopeptidase Inhibitors,0,1,0.0
Aryl hydrocarbon receptor ligand,0,1,0.0
Noradrenaline uptake inhibitor,0,1,0.0
ARF inhibitor,0,2,0.0
Thyrotropin releasing hormone receptor agonist,0,1,0.0
Gluconeogenesis inhibitor,0,1,0.0
DDR1 inhibitor,0,3,0.0
Mycotoxin,0,2,0.0
Nicotinic receptor agonist,0,3,0.0
Neurotransmitter agonist,0,2,0.0
Luteinizing hormone releasing hormone agonist,0,1,0.0
Dynamin inhibitor,0,3,0.0
Cannabinoid metabolite,0,1,0.0
Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites,0,2,0.0
S100A9 inhibitor,0,1,0.0
Osteoclast inhibitor,0,1,0.0
Atherogenesis inhibitor,0,3,0.0
"Fungal 1,3-beta-D-glucan synthase inhibitor",0,3,0.0
GAT inhibitor,0,6,0.0
GABA uptake inhibitor,0,5,0.0
Tryptophan hydroxylase inhibitor,0,1,0.0
Trypsin inhibitor,0,1,0.0
Estrogenic hormone,0,2,0.0
Internal standard for NMR spectroscopy,0,2,0.0
Prolactin inhibitor,0,1,0.0
Histone Acetyltransferase activator,0,1,0.0
FtsZ inhibitor,0,2,0.0
"Colchicine isomer, non-binder of microtubules",0,1,0.0
Negative control for D-erythro-MAPP,0,1,0.0
Triacylglycerol lipase inhibitor,0,1,0.0
Secretory phospholipase inhibitor,0,1,0.0
Elastase inhibitor,0,3,0.0
Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor,0,2,0.0
Centromere associated protein inhibitor,0,1,0.0
Liver receptor homolog inverse agonist,0,3,0.0
DNA binding agent,0,11,0.0
CDK expression enhancer,0,5,0.0
ID1 expression inhibitor,0,5,0.0
Prolyl endopeptidase inhibitor,0,1,0.0
Polyamine biosynthesis inhibitor,0,1,0.0
Compound used in hepatobiliary scans of the liver,0,1,0.0
Ubiquitin-conjugating enzyme inhibitor,0,2,0.0
Lipoprotein lipase activator,0,2,0.0
Antihypertensive,0,1,0.0
Sodium/glucose cotransporter inhibitor,0,2,0.0
Cardiac glycoside,0,1,0.0
Gonadotropin receptor antagonist,0,4,0.0
Transferase inhibitor,0,1,0.0
CRF receptor antagonist,0,1,0.0
MER tyrosine kinase inhibitor,0,2,0.0
Discoidin domain receptor inhibitor,0,2,0.0
DNA mismatch binding,0,1,0.0
Vasoconstrictor,0,1,0.0
Porcupine inhibitor,0,1,0.0
Glutathione Reductase (NADPH) Activators,0,3,0.0
Heme Oxygenase Activators,0,3,0.0
IKK-1 (IKK-alpha) Inhibitors,0,3,0.0
GGTase inhibitor,0,1,0.0
CFMS kinase inhibitor,0,1,0.0
Ubiquitin specific protease inhibitor,0,4,0.0
Transthyretin stabilizer,0,1,0.0
Isoprenylated protein methylation inhibitor,0,1,0.0
Hydroxyphenylpyruvate dioxygenase inhibitor,0,1,0.0
Expectorant,0,1,0.0
