rank,pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name,query
1,alosetron,BRD-K46742498,A375,-0.3947,-1.6546,15.6536,0.225111,Serotonin receptor antagonist,HTR3A,Q2
2,clofarabine,BRD-K34022604,HCC515,-0.391,-1.639,15.6536,0.691704,Ribonucleoside reductase inhibitor,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B,Q2
3,testosterone,BRD-A55393291,HELA,-0.3872,-1.6231,15.6536,0.535036,Androgen receptor agonist,AR|CYP2C19|CYP2C8|CYP3A5|CYP19A1,Q2
4,alisertib,BRD-K75295174,THP1,-0.3779,-1.5842,15.6536,0.222979,Aurora kinase inhibitor,AURKA,Q2
5,GDC-0199,BRD-K62391742,OCILY3,-0.3764,-1.5781,15.6536,0.418971,BCL inhibitor,BCL2,Q2
6,miglustat,BRD-K33251802,THP1,-0.3759,-1.5758,15.6536,0.324269,Glycosylation inhibitor,UGCG|GAA|SLC5A4,Q2
7,enoxacin,BRD-K78113049,PC3,-0.3719,-1.5591,15.6536,0.276846,Bacterial DNA Gyrase inhibitor,TOP2A,Q2
8,BRD-K20152659,BRD-K20152659,HT29,-0.3694,-1.5487,15.6536,0.35238,Cholesterol inhibitor|Platelet aggregation inhibitor|Prostanoid receptor agonist,,Q2
9,AMG-487,BRD-K90239174,THP1,-0.3693,-1.5482,15.6536,0.210153,CC chemokine receptor antagonist,CXCR3,Q2
10,BRD-K76674262,BRD-K76674262,HA1E,-0.367,-1.5384,15.6536,0.693416,Protein synthesis inhibitor,RPL3,Q2
11,tanaproget,BRD-K99604664,HELA,-0.3646,-1.5287,15.6536,0.605798,Progesterone receptor agonist,PGR,Q2
12,PRT-062607,BRD-K53734668,OCILY3,-0.3627,-1.5206,15.6536,0.278312,Syk inhibitor,SYK|FGR|MAP3K9,Q2
13,oxybutynin,BRD-A65013509,YAPC,-0.362,-1.5178,15.6536,0.264842,Acetylcholine receptor antagonist,CHRM3|CHRM2|CHRM1|CHRM4,Q2
14,dinoprost,BRD-K81672972,YAPC,-0.3613,-1.5147,15.3525,0.249859,Prostacyclin analog,PTGFR|PTGDR|PTGER1|PTGER3|PTGER4|PTGDR2|PTGER2|PTGIR|TBXA2R,Q2
15,pregnenolone,BRD-K52183142,HELA,-0.3589,-1.5047,15.3525,0.531879,Glutamate receptor modulator,PGR|CYP17A1|SULT2B1,Q2
16,indibulin,BRD-K74057757,THP1,-0.3576,-1.4991,15.3525,0.476217,Tubulin inhibitor,,Q2
17,PF-02545920,BRD-K31519811,THP1,-0.3575,-1.4985,15.3525,0.343222,Phosphodiesterase inhibitor,PDE10A,Q2
18,LDN-193189,BRD-K04853698,MCF10A,-0.3571,-1.497,15.3525,0.264928,Serine/threonine kinase inhibitor,ACVR1|BMPR1A,Q2
19,oxiconazole,BRD-K56104152,THP1,-0.3571,-1.4971,15.3525,0.247619,Bacterial cell wall synthesis inhibitor,,Q2
20,cyproheptadine,BRD-K28143534,MCF7,-0.3566,-1.4948,15.3525,0.579913,Histamine receptor antagonist,HRH1|HTR2B|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HTR2A|HTR2C|HTR6|HTR7,Q2
21,cytarabine,BRD-K71847383,HCC515,-0.3557,-1.4912,15.3525,0.659282,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE,Q2
22,lisinopril,BRD-K67966701,HT29,-0.3554,-1.4898,15.3525,0.449123,ACE inhibitor,ACE|ACE2,Q2
23,pindolol,BRD-A97701745,HT29,-0.3514,-1.4732,15.3525,0.243442,Adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B,Q2
24,aloisine,BRD-K93658967,VCAP,-0.349,-1.4631,15.3525,0.358679,CDK inhibitor|CFTR channel agonist|GSK inhibitor,CDK2,Q2
25,IBC-293,BRD-K15196155,SKB,-0.3467,-1.4535,15.3525,0.375883,Hydroxycarboxylic acid receptor agonist,HCAR3,Q2
26,PF-03084014,BRD-K61691541,HELA,-0.3459,-1.4501,15.3525,0.228837,Gamma secretase inhibitor,,Q2
27,PHA-767491,BRD-K50000283,THP1,-0.3453,-1.4475,15.3525,0.459179,CDC inhibitor,CDK1|RPS6KB1,Q2
28,quercetin,BRD-K97399794,HELA,-0.3443,-1.4435,15.3525,0.5572,Polar auxin transport inhibitor,PIK3CG|AKR1B1|CYP2C8|EGFR|GAA|MAOA|PTPN1|SCN5A|SIRT1|XDH|ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIM1|STK17B|UGT3A1,Q2
29,Y-39983,BRD-K56751279,HELA,-0.3439,-1.4419,15.3525,0.354264,Rho associated kinase inhibitor,ROCK1|ROCK2,Q2
30,ABT-737,BRD-K56301217,THP1,-0.3437,-1.4409,15.3525,0.300785,BCL inhibitor,BCL2|BCL2L1|BCL2L2,Q2
31,BRL-37344,BRD-K07507905,HT29,-0.3434,-1.4396,15.3525,0.212108,Adrenergic receptor agonist,ADRB3|ADRB1|ADRB2,Q2
32,LY-294002,BRD-K27305650,YAPC,-0.3432,-1.439,15.3525,0.474826,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CD|PIK3CG|PIK3CA|PLK1|PRKDC|PIK3CB|PDE2A|AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,Q2
33,withaferin-a,BRD-K88378636,A549,-0.343,-1.438,15.3525,0.487826,IKK inhibitor,IKBKB|NAMPT,Q2
34,MDL-11939,BRD-A62057054,HA1E,-0.3427,-1.4366,15.3525,0.22992,Serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,Q2
35,XMD-1150,BRD-K01436366,BT20,-0.3425,-1.436,15.3525,0.471227,LRRK inhibitor,LRRK2,Q2
36,BRD-K59573506,BRD-K59573506,HELA,-0.3421,-1.4344,15.3525,0.541319,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist,AR|ADORA1,Q2
37,BRD-K97118047,BRD-K97118047,A375,-0.3415,-1.4315,15.3525,0.202136,Casein kinase inhibitor,,Q2
38,skimmianine,BRD-K25741894,PC3,-0.3415,-1.4315,15.3525,0.258476,Acetylcholinesterase inhibitor|Furoquinoline alkaloid,,Q2
39,WYE-125132,BRD-A45498368,A375,-0.3411,-1.4298,15.3525,0.341136,MTOR inhibitor,MTOR|PIK3CA,Q2
