pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
fmk,BRD-K96672291,TMD8,-0.2303,-0.925,0.0618,0.208068,,
BML-257,BRD-K32584078,HA1E,-0.2303,-0.9253,0.0618,0.207724,AKT inhibitor|HCV inhibitor,AKT1
CGH-2466,BRD-K82028950,PC3,-0.2303,-0.9254,0.0618,0.208191,Adenosine receptor antagonist,ADORA1|ADORA2B|ADORA3
BRD-K30418433,BRD-K30418433,HT29,-0.2303,-0.925,0.0618,0.341355,,
BRD-K67514995,BRD-K67514995,NPC,-0.2303,-0.9252,0.0618,0.331647,,
AZD-1480,BRD-K65928735,HA1E,-0.2303,-0.9251,0.0618,0.22551,JAK inhibitor,JAK1|JAK2|JAK3
BRD-K44200196,BRD-K44200196,PC3,-0.2303,-0.9251,0.0618,0.221955,,
ZM-447439,BRD-K72703948,HELA,-0.2303,-0.9252,0.0618,0.322487,Aurora kinase inhibitor,AURKA|AURKB
RG-14620,BRD-K21853356,HT29,-0.2303,-0.9254,0.0618,0.244573,EGFR inhibitor,EGFR
sunitinib,BRD-K42828737,MCF10A,-0.2303,-0.9254,0.0618,0.414,FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RET inhibitor|VEGFR inhibitor,PDGFRB|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|RET
SEW-00445,BRD-K67867734,ASC,-0.2303,-0.925,0.0618,0.203246,,
LY-364947,BRD-K06234293,HT29,-0.2302,-0.925,0.0618,0.306591,TGF-beta receptor inhibitor|P38 MAPK inhibitor,TGFBR1
