rank,pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name,query
1,CX-5461,BRD-K12787259,CD34,0.5724,2.3262,2.6967,0.257296,RNA polymerase inhibitor,,Q1
2,tazarotene,BRD-K76841105,THP1,0.567,2.3041,2.6475,0.429054,Retinoid receptor agonist,RARG|RARA|RARB|ODC1|RXRB,Q1
3,estrone,BRD-A37959677,THP1,0.5466,2.2212,2.5007,0.205194,Estrogen receptor agonist|Estrogenic hormone,ESR1|ESR2,Q1
4,fluspirilene,BRD-K77947974,MCF7,0.5339,2.1696,2.4294,0.340304,Dopamine receptor antagonist,DRD2|HTR2A|CACNG1|HRH1|HTR1A|HTR1D|HTR1E,Q1
5,stavudine,BRD-K93880783,PC3,0.5338,2.1691,2.4288,0.369515,DNA inhibitor|Reverse transcriptase inhibitor,,Q1
6,PF-03758309,BRD-K37764012,CD34,0.5279,2.1453,2.3996,0.403474,P21 activated kinase inhibitor,PAK4,Q1
7,BRD-K54606188,BRD-K54606188,NPC,0.5271,2.1421,2.3957,0.626074,Bromodomain inhibitor,,Q1
8,dinoprost,BRD-K81672972,THP1,0.5224,2.1229,2.3737,0.574841,Prostacyclin analog,PTGFR|PTGDR|PTGER1|PTGER3|PTGER4|PTGDR2|PTGER2|PTGIR|TBXA2R,Q1
9,paroxetine,BRD-K37991163,THP1,0.514,2.0888,2.3371,0.353576,Selective serotonin reuptake inhibitor (SSRI),SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2,Q1
10,tretinoin,BRD-K71879491,U937,0.513,2.0846,2.3327,0.36016,Retinoid receptor agonist|Retinoid receptor ligand,RARG|RORB|RARA|RARB|ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARRES1|RORC|RXRB|RXRG,Q1
11,Ro-4987655,BRD-K64538373,THP1,0.5129,2.0842,2.3323,0.536807,MEK inhibitor,MAP2K1,Q1
12,XMD-892,BRD-K50387473,MCF7,0.5124,2.0821,2.3302,0.330167,MAP kinase inhibitor,,Q1
13,rociletinib,BRD-K33610132,THP1,0.5118,2.0797,2.3277,0.46083,EGFR inhibitor,EGFR,Q1
14,BRD-K92301463,BRD-K92301463,NOMO1,0.5084,2.0659,2.314,0.328969,Prostanoid receptor agonist,,Q1
15,R-428,BRD-K14870255,THP1,0.5069,2.0599,2.3082,0.349822,AXL kinase inhibitor,AXL,Q1
16,NVP-BHG712,BRD-K79259477,THP1,0.5065,2.0582,2.3066,0.723465,Ephrin inhibitor,EPHB4,Q1
17,tretinoin,BRD-K71879491,HL60,0.5044,2.0496,2.2984,0.486127,Retinoid receptor agonist|Retinoid receptor ligand,RARG|RORB|RARA|RARB|ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARRES1|RORC|RXRB|RXRG,Q1
18,LB-42708,BRD-K18834913,PC3,0.4991,2.0281,2.2786,0.43257,Farnesyltransferase inhibitor,,Q1
19,AS-703026,BRD-K89014967,THP1,0.4988,2.0272,2.2778,0.685183,MEK inhibitor,MAP2K1|MAP2K2,Q1
20,Ro-4987655,BRD-K64538373,YAPC,0.4966,2.018,2.2696,0.563068,MEK inhibitor,MAP2K1,Q1
21,linifanib,BRD-K99749624,MINO,0.4965,2.0178,2.2694,0.382864,PDGFR inhibitor|VEGFR inhibitor,CSF1R|KDR|PDGFRB|FLT1|FLT3|FLT4|PDGFRA|CSF1|KIT|RET|TEK,Q1
22,JQ-1-R,BRD-K17588104,THP1,0.4915,1.9976,2.252,0.559886,Bromodomain inhibitor,,Q1
23,broxuridine,BRD-K79095980,JURKAT,0.4908,1.9944,2.2493,0.201918,Antimetabolite,,Q1
24,BMS-509744,BRD-A13021932,THP1,0.4898,1.9907,2.2461,0.359081,ITK inhibitor,,Q1
25,AV-412,BRD-K23190681,HA1E,0.4847,1.9696,2.2289,0.642131,Receptor tyrosine protein kinase inhibitor,EGFR|ERBB2,Q1
26,BRD-K68202742,BRD-K68202742,HAP1,0.4839,1.9665,2.2264,0.7958,HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor,HDAC1|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC10|HDAC2|HDAC5|HDAC9,Q1
27,auranofin,BRD-K45995181,HBL1,0.4836,1.9651,2.2253,0.26262,NFKB inhibitor,TXNRD1|TXNRD2|IKBKB|PRDX5|TRPA1,Q1
28,ABT-751,BRD-K91623615,NOMO1,0.4834,1.9646,2.2249,0.329218,Tubulin inhibitor,TUBB,Q1
29,palbociclib,BRD-K51313569,THP1,0.4805,1.9526,2.2155,0.551124,CDK inhibitor,CDK4|CDK6|CCND3,Q1
30,trimipramine,BRD-A19195498,A375,0.4797,1.9495,2.213,0.485621,Norepinephrine inhibitor|Tricyclic antidepressant,SLC6A2|SLC6A4|SLC6A3|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|HTR3A,Q1
31,selumetinib,BRD-K57080016,HCC515,0.4792,1.9473,2.2113,0.662445,MEK inhibitor,MAP2K1|MAP2K2,Q1
32,BVD-523,BRD-K28965160,THP1,0.4779,1.942,2.2073,0.52449,MAP kinase inhibitor,,Q1
33,dasatinib,BRD-K49328571,OCILY19,0.4775,1.9404,2.2061,0.521173,KIT inhibitor|Bcr-Abl inhibitor|Ephrin inhibitor|PDGFR inhibitor|Src inhibitor|Tyrosine kinase inhibitor,ABL1|FYN|LCK|SRC|KIT|YES1|EPHA2|LYN|PDGFRB|BCR|BTK|DDR1|DDR2|PDGFRA|ABL2|BLK|FGR|FRK|HCK|SRMS|STAT5B,Q1
34,BIX-02189,BRD-K73368362,THP1,0.4761,1.9349,2.2018,0.508171,MEK inhibitor,MAP2K5|MAPK7,Q1
35,amlodipine,BRD-A22032524,HCC515,0.475,1.9302,2.1984,0.393973,Calcium channel blocker,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|ABCG2|CA1|CACNA1B|CACNA1F|CACNA2D3|CACNB1|CACNB2|SMPD1,Q1
36,UNC-0638,BRD-K86856088,HELA,0.4748,1.9295,2.1978,0.23361,HMTase inhibitor,EHMT1|EHMT2,Q1
37,cerulenin,BRD-K52075040,VCAP,0.4745,1.9283,2.197,0.504428,Fatty acid synthase inhibitor,FASN,Q1
38,XMD-885,BRD-K64857848,THP1,0.4737,1.925,2.1945,0.556598,MAP kinase inhibitor,MAPK7|LRRK2,Q1
39,tranylcypromine,BRD-K47029922,THP1,0.4731,1.9225,2.1927,0.36065,Monoamine oxidase inhibitor,MAOA|MAOB|KDM1A|CYP2A6,Q1
40,BRD-K31342827,BRD-K31342827,HEK293,0.472,1.9183,2.1895,0.42574,CDK inhibitor|PKC inhibitor,,Q1
41,albendazole,BRD-K79131256,THP1,0.4711,1.9144,2.1867,0.302301,Tubulin inhibitor,CYP1A2|CYP2J2|TUBA1A|TUBB|TUBB4B,Q1
42,I-BET-151,BRD-K36363294,CD34,0.4688,1.9053,2.1801,0.317173,Bromodomain inhibitor,,Q1
43,BX-912,BRD-K49669041,BT20,0.4678,1.9011,2.1771,0.312938,PDK inhibitor,PDPK1|AKT2|CDK2|CHEK1|GSK3B|KDR|PDK1,Q1
44,PHA-665752,BRD-K95435023,HCC515,0.4677,1.9009,2.1769,0.429605,MET inhibitor,MET,Q1
45,BIIB-021,BRD-K51967704,THP1,0.4669,1.8974,2.1745,0.698244,HSP inhibitor,AOX1|HSP90AA1,Q1
46,devazepide,BRD-K31238592,MCF7,0.4654,1.8912,2.1701,0.473198,CCK receptor antagonist,CCKAR,Q1
47,TWS-119,BRD-K94176593,BT20,0.4643,1.8867,2.1669,0.207798,GSK inhibitor,GSK3B|JUN|MYC,Q1
48,KW-2478,BRD-K41213548,THP1,0.4639,1.8851,2.1659,0.753742,HSP inhibitor,,Q1
