pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
emetine,BRD-K01976263,A549,-0.4092,-1.7153,15.6536,0.465694,,
emetine,BRD-K01976263,HCC515,-0.4074,-1.708,15.6536,0.638818,,
alosetron,BRD-K46742498,A375,-0.3947,-1.6546,15.6536,0.225111,Serotonin receptor antagonist,HTR3A
emetine,BRD-K01976263,A375,-0.392,-1.6434,15.6536,0.598293,,
clofarabine,BRD-K34022604,HCC515,-0.391,-1.639,15.6536,0.691704,Ribonucleoside reductase inhibitor,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B
testosterone,BRD-A55393291,HELA,-0.3872,-1.6231,15.6536,0.535036,Androgen receptor agonist,AR|CYP2C19|CYP2C8|CYP3A5|CYP19A1
BRD-K29423519,BRD-K29423519,HA1E,-0.3825,-1.6035,15.6536,0.220151,,
alisertib,BRD-K75295174,THP1,-0.3779,-1.5842,15.6536,0.222979,Aurora kinase inhibitor,AURKA
GDC-0199,BRD-K62391742,OCILY3,-0.3764,-1.5781,15.6536,0.418971,BCL inhibitor,BCL2
BRD-A59728941,BRD-A59728941,HEPG2,-0.3761,-1.5766,15.6536,0.322947,,
miglustat,BRD-K33251802,THP1,-0.3759,-1.5758,15.6536,0.324269,Glycosylation inhibitor,UGCG|GAA|SLC5A4
emetine,BRD-K01976263,HA1E,-0.3754,-1.5738,15.6536,0.61091,,
BRD-K06208179,BRD-K06208179,U2OS,-0.3744,-1.5695,15.6536,0.22701,,
BRD-K67697926,BRD-K67697926,A549,-0.3742,-1.5685,15.6536,0.249457,,
enoxacin,BRD-K78113049,PC3,-0.3719,-1.5591,15.6536,0.276846,Bacterial DNA Gyrase inhibitor,TOP2A
QL-XII-47,BRD-K99252563,HA1E,-0.3696,-1.5496,15.6536,0.403664,,
BRD-K55575531,BRD-K55575531,BJAB,-0.3695,-1.549,15.6536,0.271631,,
BRD-K20152659,BRD-K20152659,HT29,-0.3694,-1.5487,15.6536,0.35238,Cholesterol inhibitor|Platelet aggregation inhibitor|Prostanoid receptor agonist,
AMG-487,BRD-K90239174,THP1,-0.3693,-1.5482,15.6536,0.210153,CC chemokine receptor antagonist,CXCR3
BRD-K76674262,BRD-K76674262,HA1E,-0.367,-1.5384,15.6536,0.693416,Protein synthesis inhibitor,RPL3
tanaproget,BRD-K99604664,HELA,-0.3646,-1.5287,15.6536,0.605798,Progesterone receptor agonist,PGR
BRD-K85208848,BRD-K85208848,HCC515,-0.364,-1.5261,15.6536,0.261895,,
BRD-A73965025,BRD-A73965025,U2OS,-0.3638,-1.5253,15.6536,0.25899,,
PRT-062607,BRD-K53734668,OCILY3,-0.3627,-1.5206,15.6536,0.278312,Syk inhibitor,SYK|FGR|MAP3K9
oxybutynin,BRD-A65013509,YAPC,-0.362,-1.5178,15.6536,0.264842,Acetylcholine receptor antagonist,CHRM3|CHRM2|CHRM1|CHRM4
BRD-K73459720,BRD-K73459720,PC3,-0.3616,-1.5158,15.6536,0.316971,,
dinoprost,BRD-K81672972,YAPC,-0.3613,-1.5147,15.3525,0.249859,Prostacyclin analog,PTGFR|PTGDR|PTGER1|PTGER3|PTGER4|PTGDR2|PTGER2|PTGIR|TBXA2R
pregnenolone,BRD-K52183142,HELA,-0.3589,-1.5047,15.3525,0.531879,Glutamate receptor modulator,PGR|CYP17A1|SULT2B1
BRD-K47686295,BRD-K47686295,A375,-0.3579,-1.5003,15.3525,0.200613,,
indibulin,BRD-K74057757,THP1,-0.3576,-1.4991,15.3525,0.476217,Tubulin inhibitor,
PF-02545920,BRD-K31519811,THP1,-0.3575,-1.4985,15.3525,0.343222,Phosphodiesterase inhibitor,PDE10A
oxiconazole,BRD-K56104152,THP1,-0.3571,-1.4971,15.3525,0.247619,Bacterial cell wall synthesis inhibitor,
LDN-193189,BRD-K04853698,MCF10A,-0.3571,-1.497,15.3525,0.264928,Serine/threonine kinase inhibitor,ACVR1|BMPR1A
cyproheptadine,BRD-K28143534,MCF7,-0.3566,-1.4948,15.3525,0.579913,Histamine receptor antagonist,HRH1|HTR2B|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HTR2A|HTR2C|HTR6|HTR7
BRD-K53528245,BRD-K53528245,U2OS,-0.3559,-1.492,15.3525,0.268812,,
BRD-K99718824,BRD-K99718824,A549,-0.3558,-1.4917,15.3525,0.20312,,
cytarabine,BRD-K71847383,HCC515,-0.3557,-1.4912,15.3525,0.659282,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE
COT-10b,BRD-K18190982,U937,-0.3556,-1.4907,15.3525,0.394595,,
lisinopril,BRD-K67966701,HT29,-0.3554,-1.4898,15.3525,0.449123,ACE inhibitor,ACE|ACE2
BRD-K32101742,BRD-K32101742,HA1E,-0.3536,-1.4825,15.3525,0.247358,,
tofacitinib,BRD-K36280065,HA1E,-0.3535,-1.482,15.3525,0.213054,,
BRD-K06414098,BRD-K06414098,A549,-0.3525,-1.4779,15.3525,0.38445,,
VU-0155056,BRD-K31406481,A375,-0.3519,-1.4754,15.3525,0.254288,,
BRD-K87056522,BRD-K87056522,U2OS,-0.3514,-1.473,15.3525,0.244531,,
pindolol,BRD-A97701745,HT29,-0.3514,-1.4732,15.3525,0.243442,Adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B
BRD-K45749103,BRD-K45749103,HEPG2,-0.3507,-1.4702,15.3525,0.213429,,
BRD-K32101742,BRD-K32101742,HT29,-0.3504,-1.4691,15.3525,0.238434,,
BRD-K47951404,BRD-K47951404,U2OS,-0.35,-1.4672,15.3525,0.318916,,
BRD-K20834925,BRD-K20834925,PC3,-0.3499,-1.467,15.3525,0.267056,,
aloisine,BRD-K93658967,VCAP,-0.349,-1.4631,15.3525,0.358679,CDK inhibitor|CFTR channel agonist|GSK inhibitor,CDK2
BRD-K06589444,BRD-K06589444,HT29,-0.3486,-1.4615,15.3525,0.361362,,
BRD-K93116089,BRD-K93116089,HT29,-0.3485,-1.4609,15.3525,0.209537,,
orteronel,BRD-A12409803,A375,-0.3471,-1.4553,15.3525,0.271329,,
IBC-293,BRD-K15196155,SKB,-0.3467,-1.4535,15.3525,0.375883,Hydroxycarboxylic acid receptor agonist,HCAR3
BRD-K24656059,BRD-K24656059,HCC515,-0.3465,-1.4526,15.3525,0.227009,,
BRD-K55575531,BRD-K55575531,SKMEL5,-0.3461,-1.4511,15.3525,0.215788,,
PF-03084014,BRD-K61691541,HELA,-0.3459,-1.4501,15.3525,0.228837,Gamma secretase inhibitor,
EX-527,BRD-K76964878,YAPC,-0.3457,-1.4492,15.3525,0.23288,,
