pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
pimozide,BRD-K01292756,A375,0.2551,1.0365,0.1057,0.211384,Dopamine receptor antagonist,DRD2|DRD3|HTR2A|CACNA1I|CALM1|DRD1|DRD4|DRD5|HRH1|HTR1A|KCNA10|KCNH2
LY-2228820,BRD-K59227464,YAPC,0.2551,1.0366,0.1057,0.277327,P38 MAPK inhibitor,MAPK14
CAY-10594,BRD-K61662457,HA1E,0.2552,1.0369,0.1057,0.244255,Phospholipase inhibitor,PLD2
XMD-885,BRD-K64857848,HUVEC,0.2552,1.0371,0.1059,0.496543,MAP kinase inhibitor,MAPK7|LRRK2
dexamethasone,BRD-A10188456,ASC,0.2552,1.0371,0.1059,0.282155,Glucocorticoid receptor agonist,NR3C1|CYP3A4|CYP3A5|ANXA1|NOS2|NR0B1|NR3C2
AR-A014418,BRD-K67860401,HA1E,0.2552,1.037,0.1059,0.474923,GSK inhibitor,GSK3B
CHIR-99021,BRD-K16189898,NPC,0.2552,1.037,0.1059,0.287148,GSK inhibitor,CDK1|GSK3A|GSK3B|MAPK1
BIX-01294,BRD-K26818574,ASC,0.2552,1.0373,0.106,0.23544,DNA inhibitor|Histone lysine methyltransferase inhibitor,EHMT2|EHMT1
CL-82198,BRD-K00675675,HT29,0.2552,1.0369,0.1057,0.207822,Metalloproteinase inhibitor,MMP13
H-9,BRD-K09790412,PC3,0.2552,1.0372,0.106,0.30609,PKA inhibitor,PRKACA
BIX-01294,BRD-K26818574,MCF7,0.2552,1.0372,0.106,0.362478,DNA inhibitor|Histone lysine methyltransferase inhibitor,EHMT2|EHMT1
LFM-A12,BRD-A44551378,HCC515,0.2553,1.0373,0.1061,0.295155,EGFR inhibitor,EGFR
GW-0742,BRD-K82983861,PC3,0.2553,1.0374,0.1062,0.251377,PPAR receptor agonist|Insulin sensitizer,PPARD|INS
levomepromazine,BRD-K35559145,VCAP,0.2553,1.0374,0.1062,0.20797,Dopamine receptor antagonist,DRD2|DRD3|DRD4|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD5|HRH1|HTR2A|HTR2C
dalfampridine,BRD-K22482860,MCF7,0.2553,1.0376,0.1062,0.300341,Potassium channel antagonist,KCNA10|KCNA5|KCNB2|KCND1|KCNA1|KCNA2|KCNA3|KCNA4|KCNA6|KCNA7|KCNB1|KCNC1|KCNC2|KCNC3|KCND2|KCND3|KCNC4|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2
flunarizine,BRD-K29582677,HA1E,0.2554,1.0379,0.1069,0.214719,Calcium channel blocker,CACNA1G|CACNA1H|CYP2J2|CACNA1I|CALM1|HRH1
tasisulam,BRD-K42495768,MDAMB231,0.2555,1.0383,0.1078,0.303253,Apoptosis stimulant,
E-7438,BRD-K11215326,TMD8,0.2555,1.0385,0.108,0.222865,Histone lysine methyltransferase inhibitor,EZH2
quinoclamine,BRD-K66792149,HT29,0.2556,1.0387,0.108,0.482824,Algicide,
GW-405833,BRD-K10705233,A375,0.2556,1.0387,0.108,0.532099,Cannabinoid receptor agonist,CNR2
MY-5445,BRD-K90524085,PC3,0.2556,1.0388,0.1081,0.223195,Phosphodiesterase inhibitor|Platelet aggregation inhibitor,PDE5A
BRD-K50324045,BRD-K50324045,A375,0.2556,1.0386,0.108,0.613648,Nucleophosmin inhibitor,
rigosertib,BRD-K55187425,MCF7,0.2557,1.0392,0.1081,0.403284,Cell cycle inhibitor|PLK inhibitor,PLK1|MCL1
BRD-K90864987,BRD-K90864987,HA1E,0.2557,1.0393,0.1081,0.315435,HSP inducer,
mocetinostat,BRD-K16485616,HUVEC,0.2557,1.039,0.1081,0.674976,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC11
valdecoxib,BRD-K12994359,AGS,0.2557,1.039,0.1081,0.218776,Cyclooxygenase inhibitor,PTGS2|CYP2C19|CA12
mycophenolate-mofetil,BRD-K92428153,MCF10A,0.2557,1.0393,0.1081,0.49612,Inosine monophosphate dehydrogenase inhibitor|Dehydrogenase inhibitor|Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Inositol monophosphatase inhibitor,IMPDH1|IMPDH2|HCAR2
R-428,BRD-K14870255,MDAMB231,0.2558,1.0395,0.1086,0.322928,AXL kinase inhibitor,AXL
leflunomide,BRD-K78692225,HT29,0.2558,1.0395,0.1086,0.32793,Dihydroorotate dehydrogenase inhibitor|PDGFR inhibitor,DHODH|CYP2C19|JAK3|STAT6|AHR|PTK2B
sulpiride,BRD-A55272860,MCF7,0.2559,1.04,0.1091,0.468976,Dopamine receptor antagonist,DRD3|CA7|DRD2
solanine,BRD-K70881766,HEPG2,0.2559,1.0399,0.1091,0.261895,Acetylcholinesterase inhibitor,
sirolimus,BRD-A79768653,KMS34,0.2559,1.0398,0.1089,0.621694,MTOR inhibitor,MTOR|FKBP1A|CCR5|FGF2
BRD-K15107389,BRD-K15107389,ASC,0.2559,1.0399,0.1091,0.284896,Ribosomal protein inhibitor,
vanoxerine,BRD-K32501161,HA1E,0.256,1.0405,0.1098,0.306023,Dopamine receptor antagonist,SLC6A3|MAOA|MAOB
I-BET-762,BRD-K08109215,K562,0.256,1.0401,0.1097,0.692272,Bromodomain inhibitor,BRD2|BRD3|BRD4|APOA1
gemfibrozil,BRD-K11129031,HELA,0.256,1.0403,0.1098,0.272017,Lipoprotein lipase activator,PPARA|CYP2C8|LPL|SLCO1B1|SLCO1B3|SLCO2B1
KIN001-127,BRD-A29901043,ASC,0.256,1.0403,0.1098,0.36047,ITK inhibitor,ITK
alclometasone,BRD-A90131694,HA1E,0.256,1.0403,0.1098,0.212301,Glucocorticoid receptor agonist,NR3C1|CYP3A4|SERPINA6
triptolide,BRD-K81258678,MCF7,0.256,1.0404,0.1098,0.760017,RNA polymerase inhibitor,CYP2C19|RELA
ketoconazole,BRD-A38350138,MCF10A,0.2561,1.0407,0.1098,0.256277,Sterol demethylase inhibitor,AR|CYP19A1|CYP2C19|CYP3A5|CYP3A7|CYP21A2|KCNA10
lopinavir,BRD-K99451608,MCF7,0.2561,1.0409,0.1098,0.219481,HIV inhibitor,
clofazimine,BRD-K56614220,HT29,0.2561,1.0409,0.1098,0.634752,Bacterial DNA inhibitor,
deferasirox,BRD-K97010173,HA1E,0.2562,1.0411,0.1098,0.298462,Chelating agent,CYP2C19|CYP2C8|CYP3A4
canertinib,BRD-K50168500,MINO,0.2563,1.0416,0.1098,0.320882,EGFR inhibitor,EGFR|ERBB2|ERBB4|AKT1
ivacaftor,BRD-K52818472,HA1E,0.2563,1.0414,0.1098,0.205415,CFTR channel antagonist,CFTR|CYP3A5|CYP3A7
dasatinib,BRD-K49328571,HT29,0.2563,1.0415,0.1098,0.311454,KIT inhibitor|Bcr-Abl inhibitor|Ephrin inhibitor|PDGFR inhibitor|Src inhibitor|Tyrosine kinase inhibitor,ABL1|FYN|LCK|SRC|KIT|YES1|EPHA2|LYN|PDGFRB|BCR|BTK|DDR1|DDR2|PDGFRA|ABL2|BLK|FGR|FRK|HCK|SRMS|STAT5B
L-693403,BRD-K83322645,HEPG2,0.2563,1.0414,0.1098,0.312422,Sigma receptor agonist|Sigma receptor antagonist,DRD2|SIGMAR1
PF-431396,BRD-K93788137,HCC515,0.2563,1.0415,0.1098,0.75356,Focal adhesion kinase inhibitor,PTK2|PTK2B
pyroxamide,BRD-K11663430,HCC515,0.2563,1.0414,0.1098,0.316228,HDAC inhibitor,HDAC1
