GeneSymbol,Type,Degree,DegreeCentrality,BetweennessCentrality,DatasetCount,Neighbors,ImportanceScore
ZMPSTE24,seed,0,0.0,0.0,1,[],0.0
CGGBP1,seed,0,0.0,0.0,1,[],0.0
PTBP3,seed,0,0.0,0.0,1,[],0.0
TMX1,seed,0,0.0,0.0,1,[],0.0
CD44,seed,0,0.0,0.0,1,[],0.0
RAD51C,seed,0,0.0,0.0,1,[],0.0
CD55,seed,0,0.0,0.0,1,[],0.0
WIPF1,seed,0,0.0,0.0,1,[],0.0
CD93,seed,0,0.0,0.0,1,[],0.0
GNLY,seed,0,0.0,0.0,1,[],0.0
AMD1,seed,0,0.0,0.0,1,[],0.0
KRT9,seed,0,0.0,0.0,1,[],0.0
TMEM71,seed,0,0.0,0.0,2,[],0.0
SFT2D1,seed,0,0.0,0.0,1,[],0.0
PAIP2,seed,0,0.0,0.0,1,[],0.0
SNRK,seed,0,0.0,0.0,1,[],0.0
NABP1,seed,0,0.0,0.0,1,[],0.0
SNCA,seed,0,0.0,0.0,1,[],0.0
CD47,seed,0,0.0,0.0,1,[],0.0
CIAO2A,seed,0,0.0,0.0,1,[],0.0
C6orf62,seed,0,0.0,0.0,1,[],0.0
MBNL1,seed,0,0.0,0.0,1,[],0.0
HLA-C,seed,0,0.0,0.0,1,[],0.0
FAM193A,seed,0,0.0,0.0,1,[],0.0
CAVIN2,seed,0,0.0,0.0,1,[],0.0
