Gene_Symbol,logFC_ARS,adj.P.Val_ARS,logFC_RNase_ARS,adj.P.Val_RNase_ARS
SPON1,5.81,7.32e-05,3.27,0.000365
ITIH4,-3.96,0.000235,-3.29,0.000932
CFL2,3.19,0.000994,2.24,0.000584
DBN1,2.86,0.00107,1.74,0.00989
VGF,-4.31,0.00213,-3.16,0.035
CKAP5,2.11,0.00389,1.85,0.0156
NTN1,2.46,0.00423,2.4,0.00815
STIP1,2.34,0.00848,2.52,0.0389
GNAS,2.72,0.016,2.93,0.00023
IGHG1,-2.64,0.0283,-2.19,0.0213
RBM6,-2.4,0.0404,-1.73,0.0377
