GeneSymbol,Type,Degree,DegreeCentrality,BetweennessCentrality,DatasetCount,InLargestComponent,Neighbors,ImportanceScore
FAM117B,seed,0,0.0,0.0,1,False,[],0.0
MARCHF7,seed,0,0.0,0.0,1,False,[],0.0
HFM1,seed,0,0.0,0.0,1,False,[],0.0
S100P,seed,0,0.0,0.0,1,False,[],0.0
TMEM123,seed,0,0.0,0.0,1,False,[],0.0
ZNF652,seed,0,0.0,0.0,1,False,[],0.0
SUZ12,seed,0,0.0,0.0,1,False,[],0.0
WIPF1,seed,0,0.0,0.0,1,False,[],0.0
CX3CR1,seed,0,0.0,0.0,1,False,[],0.0
PAIP2,seed,0,0.0,0.0,1,False,[],0.0
ERC2-IT1,seed,0,0.0,0.0,1,False,[],0.0
S100A8,seed,0,0.0,0.0,1,False,[],0.0
FOXN2,seed,0,0.0,0.0,1,False,[],0.0
TNFSF13B,seed,0,0.0,0.0,1,False,[],0.0
CREBRF,seed,0,0.0,0.0,1,False,[],0.0
PPP1CB,seed,0,0.0,0.0,1,False,[],0.0
FRAT1,seed,0,0.0,0.0,1,False,[],0.0
SLC6A6,seed,0,0.0,0.0,1,False,[],0.0
SGK1,seed,0,0.0,0.0,1,False,[],0.0
ARPC5,seed,0,0.0,0.0,1,False,[],0.0
GCA,seed,0,0.0,0.0,1,False,[],0.0
PPP3R1,seed,8,0.19047619047619047,0.019750516614628108,1,True,"['PPP3CA', 'PPP3CB', 'BAD', 'PPP3CC', 'SOD1', 'TARDBP', 'PPP3R2', 'PSMC4']",0.2102267070908186
XKR8,seed,0,0.0,0.0,1,False,[],0.0
FAM193A,seed,0,0.0,0.0,1,False,[],0.0
YPEL5,seed,0,0.0,0.0,2,False,[],0.0
MMP9,seed,0,0.0,0.0,1,False,[],0.0
BNIP2,seed,0,0.0,0.0,1,False,[],0.0
HMGN4,seed,0,0.0,0.0,1,False,[],0.0
ADGRG3,seed,0,0.0,0.0,1,False,[],0.0
AHR,seed,0,0.0,0.0,1,False,[],0.0
SNHG29,seed,0,0.0,0.0,1,False,[],0.0
TMEM158,seed,0,0.0,0.0,1,False,[],0.0
RGS2,seed,0,0.0,0.0,1,False,[],0.0
SNCA,seed,0,0.0,0.0,1,False,[],0.0
HSH2D,seed,0,0.0,0.0,1,False,[],0.0
SDCBP,seed,0,0.0,0.0,1,False,[],0.0
SPRYD3,seed,0,0.0,0.0,1,False,[],0.0
TRAM1,seed,0,0.0,0.0,1,False,[],0.0
CMTM6,seed,0,0.0,0.0,1,False,[],0.0
MOCS1,seed,0,0.0,0.0,1,False,[],0.0
SF3B1,seed,0,0.0,0.0,1,False,[],0.0
PRNP,seed,0,0.0,0.0,1,False,[],0.0
TAX1BP1,seed,0,0.0,0.0,1,False,[],0.0
SCN2A,seed,0,0.0,0.0,1,False,[],0.0
CD52,seed,0,0.0,0.0,1,False,[],0.0
LMBRD1,seed,0,0.0,0.0,1,False,[],0.0
FBXL5,seed,0,0.0,0.0,1,False,[],0.0
ARL5A,seed,0,0.0,0.0,1,False,[],0.0
ANXA2P1,seed,0,0.0,0.0,1,False,[],0.0
RNASE6,seed,0,0.0,0.0,1,False,[],0.0
RSL24D1,seed,0,0.0,0.0,2,False,[],0.0
EFR3A,seed,0,0.0,0.0,1,False,[],0.0
MME,seed,0,0.0,0.0,1,False,[],0.0
PTBP3,seed,0,0.0,0.0,1,False,[],0.0
AMD1,seed,0,0.0,0.0,1,False,[],0.0
USP14,seed,0,0.0,0.0,1,False,[],0.0
GNA13,seed,0,0.0,0.0,1,False,[],0.0
PPP1CC,seed,0,0.0,0.0,1,False,[],0.0
TOR1AIP1,seed,0,0.0,0.0,1,False,[],0.0
CREB5,seed,0,0.0,0.0,2,False,[],0.0
CLIC1,seed,0,0.0,0.0,1,False,[],0.0
LAD1,seed,0,0.0,0.0,1,False,[],0.0
GABRB3,seed,0,0.0,0.0,1,False,[],0.0
LY96,seed,0,0.0,0.0,1,False,[],0.0
ZDHHC18,seed,0,0.0,0.0,1,False,[],0.0
CGGBP1,seed,0,0.0,0.0,1,False,[],0.0
CAPZA2,seed,0,0.0,0.0,2,False,[],0.0
MYL6,seed,0,0.0,0.0,1,False,[],0.0
VPS4B,seed,0,0.0,0.0,1,False,[],0.0
TLR5,seed,0,0.0,0.0,1,False,[],0.0
SFTPD,seed,0,0.0,0.0,1,False,[],0.0
QPCT,seed,0,0.0,0.0,1,False,[],0.0
SKI,seed,0,0.0,0.0,1,False,[],0.0
PJA2,seed,0,0.0,0.0,1,False,[],0.0
AQP9,seed,0,0.0,0.0,1,False,[],0.0
ARGLU1,seed,0,0.0,0.0,1,False,[],0.0
DOP1B,seed,0,0.0,0.0,1,False,[],0.0
VNN2,seed,0,0.0,0.0,2,False,[],0.0
TNFAIP6,seed,0,0.0,0.0,1,False,[],0.0
POTEKP,seed,0,0.0,0.0,1,False,[],0.0
SGCD,seed,0,0.0,0.0,1,False,[],0.0
ZFAND5,seed,0,0.0,0.0,1,False,[],0.0
NPRL3,seed,0,0.0,0.0,1,False,[],0.0
ZMPSTE24,seed,0,0.0,0.0,1,False,[],0.0
CACNA1A,seed,0,0.0,0.0,1,False,[],0.0
CIAO2A,seed,0,0.0,0.0,1,False,[],0.0
DPYSL5,seed,0,0.0,0.0,1,False,[],0.0
CLK1,seed,0,0.0,0.0,1,False,[],0.0
ACTBP2,seed,0,0.0,0.0,1,False,[],0.0
MATK,seed,0,0.0,0.0,1,False,[],0.0
PROK2,seed,0,0.0,0.0,1,False,[],0.0
SARAF,seed,0,0.0,0.0,1,False,[],0.0
REEP5,seed,0,0.0,0.0,1,False,[],0.0
PCNP,seed,0,0.0,0.0,1,False,[],0.0
CAT,seed,1,0.023809523809523808,0.0,1,True,['SOD1'],0.023809523809523808
IFNGR1,seed,0,0.0,0.0,2,False,[],0.0
PDX1,seed,0,0.0,0.0,1,False,[],0.0
MYH1,seed,0,0.0,0.0,1,False,[],0.0
TP53BP1,seed,0,0.0,0.0,1,False,[],0.0
INSIG1,seed,0,0.0,0.0,1,False,[],0.0
PELI1,seed,0,0.0,0.0,1,False,[],0.0
SFT2D1,seed,0,0.0,0.0,1,False,[],0.0
DCP2,seed,0,0.0,0.0,1,False,[],0.0
TPT1,seed,0,0.0,0.0,2,False,[],0.0
PAPOLA,seed,0,0.0,0.0,1,False,[],0.0
JMJD1C,seed,0,0.0,0.0,1,False,[],0.0
ZIC3,seed,0,0.0,0.0,1,False,[],0.0
CMTM2,seed,0,0.0,0.0,1,False,[],0.0
IL1R2,seed,0,0.0,0.0,1,False,[],0.0
HEATR1,seed,0,0.0,0.0,1,False,[],0.0
EVI2B,seed,0,0.0,0.0,1,False,[],0.0
LILRA5,seed,0,0.0,0.0,1,False,[],0.0
ETS1,seed,0,0.0,0.0,1,False,[],0.0
RGS18,seed,0,0.0,0.0,2,False,[],0.0
CD55,seed,0,0.0,0.0,1,False,[],0.0
SLC40A1,seed,0,0.0,0.0,1,False,[],0.0
ITM2B,seed,0,0.0,0.0,1,False,[],0.0
STX11,seed,0,0.0,0.0,1,False,[],0.0
H2AC6,seed,0,0.0,0.0,1,False,[],0.0
