node1,node2,node1_type,node2_type,combined_score,source
PSMD12,PSMD7,neighbor,seed,0.999,original
PSMD12,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD12,PRKN,neighbor,neighbor,0.804,added_ppi
PSMD12,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMA4,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMA7,neighbor,neighbor,0.997,added_ppi
PSMD12,PSMA8,neighbor,neighbor,0.923,added_ppi
PSMD12,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMB3,neighbor,neighbor,0.998,added_ppi
PSMD12,PSMB4,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMB5,neighbor,neighbor,0.997,added_ppi
PSMD12,PSMB6,neighbor,neighbor,0.997,added_ppi
PSMD12,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMD12,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMD12,SOD1,neighbor,neighbor,0.669,added_ppi
PSMD12,PSMD2,neighbor,neighbor,0.999,added_ppi
PSMD12,VCP,neighbor,neighbor,0.807,added_ppi
PSMD12,PSMD9,neighbor,neighbor,0.987,added_ppi
PSMD12,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD7,neighbor,seed,0.999,original
PSMB4,ADRM1,neighbor,neighbor,0.967,added_ppi
PSMB4,PRKN,neighbor,neighbor,0.81,added_ppi
PSMB4,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA4,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA7,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMA8,neighbor,neighbor,0.998,added_ppi
PSMB4,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMB3,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD3,neighbor,neighbor,0.998,added_ppi
PSMB4,SOD1,neighbor,neighbor,0.726,added_ppi
PSMB4,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD9,neighbor,neighbor,0.654,added_ppi
PSMB4,VCP,neighbor,neighbor,0.738,added_ppi
PSMB4,PSMC5,neighbor,neighbor,0.998,added_ppi
PSMB4,PSMC3,neighbor,neighbor,0.998,added_ppi
PSMB4,PSMD2,neighbor,neighbor,0.998,added_ppi
PSMB4,PSMD1,neighbor,neighbor,0.998,added_ppi
PSMB4,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMB4,PSMC6,neighbor,neighbor,0.999,added_ppi
CAT,SOD1,seed,neighbor,0.92,original
PSMA4,PSMD7,neighbor,seed,0.999,original
PSMA4,ADRM1,neighbor,neighbor,0.978,added_ppi
PSMA4,PRKN,neighbor,neighbor,0.894,added_ppi
PSMA4,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMD9,neighbor,neighbor,0.635,added_ppi
PSMA4,SOD1,neighbor,neighbor,0.745,added_ppi
PSMA4,VCP,neighbor,neighbor,0.821,added_ppi
PSMA4,PSMA8,neighbor,neighbor,0.995,added_ppi
PSMA4,PSMD3,neighbor,neighbor,0.998,added_ppi
PSMA4,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMB3,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMD2,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMA7,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMA4,PSMD11,neighbor,neighbor,0.999,added_ppi
PPP3CA,PPP3R1,neighbor,seed,0.999,original
PPP3CA,BAD,neighbor,neighbor,0.9,added_ppi
PPP3CA,TARDBP,neighbor,neighbor,0.92,added_ppi
PPP3CA,SOD1,neighbor,neighbor,0.95,added_ppi
PPP3CA,PPP3CB,neighbor,neighbor,0.994,added_ppi
PPP3CA,PPP3CC,neighbor,neighbor,0.967,added_ppi
PPP3CA,PPP3R2,neighbor,neighbor,0.993,added_ppi
PPP3CB,PPP3R1,neighbor,seed,0.999,original
PPP3CB,BAD,neighbor,neighbor,0.9,added_ppi
PPP3CB,TARDBP,neighbor,neighbor,0.912,added_ppi
PPP3CB,SOD1,neighbor,neighbor,0.909,added_ppi
PPP3CB,PPP3R2,neighbor,neighbor,0.993,added_ppi
PPP3CB,PPP3CC,neighbor,neighbor,0.994,added_ppi
VCP,PSMD7,neighbor,seed,0.775,original
VCP,ADRM1,neighbor,neighbor,0.562,added_ppi
VCP,PRKN,neighbor,neighbor,0.928,added_ppi
VCP,PSMA1,neighbor,neighbor,0.8,added_ppi
VCP,PSMA2,neighbor,neighbor,0.859,added_ppi
VCP,PSMA5,neighbor,neighbor,0.705,added_ppi
VCP,PSMA6,neighbor,neighbor,0.774,added_ppi
VCP,PSMA7,neighbor,neighbor,0.729,added_ppi
VCP,PSMA8,neighbor,neighbor,0.622,added_ppi
VCP,PSMB2,neighbor,neighbor,0.899,added_ppi
VCP,PSMB3,neighbor,neighbor,0.654,added_ppi
VCP,PSMB5,neighbor,neighbor,0.679,added_ppi
VCP,PSMB6,neighbor,neighbor,0.756,added_ppi
VCP,PSMB7,neighbor,neighbor,0.665,added_ppi
VCP,PSMC1,neighbor,neighbor,0.783,added_ppi
VCP,PSMC2,neighbor,neighbor,0.817,added_ppi
VCP,PSMC3,neighbor,neighbor,0.79,added_ppi
VCP,PSMC4,neighbor,neighbor,0.855,added_ppi
VCP,PSMC5,neighbor,neighbor,0.808,added_ppi
VCP,PSMC6,neighbor,neighbor,0.625,added_ppi
VCP,PSMD1,neighbor,neighbor,0.778,added_ppi
VCP,PSMD11,neighbor,neighbor,0.785,added_ppi
VCP,PSMD2,neighbor,neighbor,0.91,added_ppi
VCP,PSMD3,neighbor,neighbor,0.77,added_ppi
PSMB3,PSMD7,neighbor,seed,0.999,original
PSMB3,ADRM1,neighbor,neighbor,0.965,added_ppi
PSMB3,PRKN,neighbor,neighbor,0.786,added_ppi
