"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","significant","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_1780141",0.763202783647571,10.3783947603988,8.16541799302936,1.37645702776091e-15,4.59795219911623e-14,24.6812688028038,TRUE,51669,"SARAF","SARAF",0.763202783647571,1.37645702776091e-15,4.59795219911623e-14,"SARAF","SARAF","GSE112676"
"ILMN_2363586",0.607246237852657,9.36617366871867,7.56089217486592,1.18538476511776e-13,2.88653286069084e-12,20.3252000222196,TRUE,6386,"SDCBP","SDCBP",0.607246237852657,1.18538476511776e-13,2.88653286069084e-12,"SDCBP","SDCBP","GSE112676"
"ILMN_1706075",0.538962366696817,8.65099332872516,10.5492988655734,2.45588533832733e-24,3.36050732304148e-22,44.4557982890328,TRUE,23451,"SF3B1","SF3B1",0.538962366696817,2.45588533832733e-24,3.36050732304148e-22,"SF3B1","SF3B1","GSE112676"
"ILMN_1734895",0.509453456533057,9.28359403875938,10.9558460174624,5.42043923214347e-26,1.02988345410726e-23,48.2083958363633,TRUE,113402,"SFT2D1","SFT2D1",0.509453456533057,5.42043923214347e-26,1.02988345410726e-23,"SFT2D1","SFT2D1","GSE112676"
"ILMN_1702487",0.503391774533966,9.00893256529555,8.4011216524963,2.24763205534951e-16,8.50540620713284e-15,26.4554794979432,TRUE,6446,"SGK1","SGK1",0.503391774533966,2.24763205534951e-16,8.50540620713284e-15,"SGK1","SGK1","GSE112676"
"ILMN_2053103",0.701814701350383,8.08824357903011,16.1010365864857,3.05663931234751e-50,9.11795506873262e-46,103.273097382066,TRUE,30061,"SLC40A1","SLC40A1",0.701814701350383,3.05663931234751e-50,9.11795506873262e-46,"SLC40A1","SLC40A1","GSE112676"
"ILMN_2107184",0.662242268574069,8.36205293233157,9.66687830512402,6.70823982800761e-21,5.15739159972853e-19,36.6769452900485,TRUE,54861,"SNRK","SNRK",0.662242268574069,6.70823982800761e-21,5.15739159972853e-19,"SNRK","SNRK","GSE112676"
"ILMN_1813491",0.511421985851929,7.84247799459065,12.530758244897,8.2664038586766e-33,7.04533791726637e-30,63.6707115010659,TRUE,10558,"SPTLC1","SPTLC1",0.511421985851929,8.2664038586766e-33,7.04533791726637e-30,"SPTLC1","SPTLC1","GSE112676"
"ILMN_1798804",0.553982347658666,8.34310249178855,14.1827265781345,1.42946584997931e-40,8.52819326097658e-37,81.2981912104418,TRUE,6732,"SRPK1","SRPK1",0.553982347658666,1.42946584997931e-40,8.52819326097658e-37,"SRPK1","SRPK1","GSE112676"
"ILMN_1720771",0.525004743795883,9.41520155564747,10.8923482932423,9.90014958349161e-26,1.75786584568783e-23,47.6155088589739,TRUE,8676,"STX11","STX11",0.525004743795883,9.90014958349161e-26,1.75786584568783e-23,"STX11","STX11","GSE112676"
"ILMN_1797813",0.690766947612389,8.65171102765259,11.8255464474348,1.11054123801941e-29,4.61627093218419e-27,56.5721602455555,TRUE,23512,"SUZ12","SUZ12",0.690766947612389,1.11054123801941e-29,4.61627093218419e-27,"SUZ12","SUZ12","GSE112676"
"ILMN_1803279",0.684755468154923,7.41222121273729,13.5304933404249,1.94271069926974e-37,4.82925501326802e-34,74.1809154868511,TRUE,50999,"TMED5","TMED5",0.684755468154923,1.94271069926974e-37,4.82925501326802e-34,"TMED5","TMED5","GSE112676"
"ILMN_1724139",0.884263677440595,8.46862036564807,11.7308694904001,2.85999692836806e-29,1.04041107772219e-26,55.6402246967709,TRUE,114908,"TMEM123","TMEM123",0.884263677440595,2.85999692836806e-29,1.04041107772219e-26,"TMEM123","TMEM123","GSE112676"
"ILMN_1674402",0.719733787596866,9.57348574069821,13.4391600007842,5.25105941574288e-37,1.11885073122579e-33,73.2001462299178,TRUE,137835,"TMEM71","TMEM71",0.719733787596866,5.25105941574288e-37,1.11885073122579e-33,"TMEM71","TMEM71","GSE112676"
