Gene_Symbol,direction,present_in_Q1,present_in_Q2,Q2_sources
JUP,UP,True,True,pathway_enrichment
KPNB1,UP,True,True,pathway_enrichment
KRT1,UP,True,True,pathway_enrichment
LAMP2,UP,True,True,pathway_enrichment
LAMTOR3,UP,True,True,pathway_enrichment
LCN2,UP,True,True,pathway_enrichment
LCP1,UP,False,True,SetA_multiomics_UP
LCP2,UP,False,True,SetA_multiomics_UP
LGALS3,UP,True,True,pathway_enrichment
LRG1,UP,True,True,pathway_enrichment
LTA4H,UP,True,True,pathway_enrichment
LTF,UP,True,True,pathway_enrichment
LYZ,UP,True,True,pathway_enrichment
MAGT1,UP,True,True,pathway_enrichment
MAPK1,UP,True,True,pathway_enrichment
MAPK14,UP,True,True,pathway_enrichment
MGAM,UP,True,True,pathway_enrichment
MME,UP,True,True,pathway_enrichment
MMP8,UP,True,True,pathway_enrichment
MMP9,UP,True,True,pathway_enrichment
MNDA,UP,True,True,pathway_enrichment
MOSPD2,UP,True,True,pathway_enrichment
MPO,UP,True,True,pathway_enrichment
NCKAP1L,UP,True,True,pathway_enrichment
NDUFC2,UP,True,True,pathway_enrichment
NEU1,UP,True,True,pathway_enrichment
NFAM1,UP,True,True,pathway_enrichment
NPC2,UP,True,True,pathway_enrichment
NRAS,UP,True,True,pathway_enrichment
OLR1,UP,True,True,pathway_enrichment
ORM1,UP,True,True,pathway_enrichment
ORM2,UP,True,True,pathway_enrichment
OSBPL11,UP,False,True,SetA_multiomics_UP
OSTF1,UP,True,True,pathway_enrichment
PADI2,UP,True,True,pathway_enrichment
PAFAH1B2,UP,True,True,pathway_enrichment
PDXK,UP,True,True,pathway_enrichment
PECAM1,UP,True,True,pathway_enrichment
PGM2,UP,True,True,pathway_enrichment
PGRMC1,UP,True,True,pathway_enrichment
PIGR,UP,True,True,pathway_enrichment
PLD1,UP,True,True,pathway_enrichment
PLEKHO2,UP,True,True,pathway_enrichment
PPBP,UP,True,True,pathway_enrichment
PRCP,UP,True,True,pathway_enrichment
PRDX4,UP,True,True,pathway_enrichment
PRDX6,UP,True,True,pathway_enrichment
PRG2,UP,True,True,pathway_enrichment
PRKCD,UP,True,True,pathway_enrichment
PRTN3,UP,True,True,pathway_enrichment
PSEN1,UP,True,True,pathway_enrichment
PSMB1,UP,True,True,pathway_enrichment
PSMC2,UP,True,True,pathway_enrichment
PSMD12,UP,True,True,pathway_enrichment
PSME1,UP,False,True,SetA_multiomics_UP
PTAFR,UP,True,True,pathway_enrichment
PTPN12,UP,False,True,SetA_multiomics_UP
PTPN6,UP,True,True,pathway_enrichment
PTPRC,UP,True,True,SetA_multiomics_UP+network_hub+pathway_enrichment
PTPRJ,UP,True,True,pathway_enrichment
PTX3,UP,True,True,pathway_enrichment
PYCARD,UP,True,True,pathway_enrichment
RAB10,UP,True,True,pathway_enrichment
RAB14,UP,True,True,pathway_enrichment
RAB18,UP,True,True,pathway_enrichment
RAB27A,UP,True,True,pathway_enrichment
RAB31,UP,True,True,pathway_enrichment
RAB5B,UP,True,True,pathway_enrichment
RAB6A,UP,True,True,pathway_enrichment
RAP1A,UP,True,True,pathway_enrichment
RAP2B,UP,True,True,pathway_enrichment
RHOA,UP,True,True,pathway_enrichment
RHOG,UP,True,True,pathway_enrichment
RNASE2,UP,True,True,pathway_enrichment
RNASE3,UP,True,True,pathway_enrichment
RPA2,UP,False,True,SetA_multiomics_UP
S100A11,UP,True,True,pathway_enrichment
S100A7,UP,True,True,pathway_enrichment
S100A8,UP,True,True,pathway_enrichment
S100A9,UP,True,True,pathway_enrichment
SCAMP1,UP,True,True,pathway_enrichment
SDCBP,UP,True,True,pathway_enrichment
SELL,UP,True,True,pathway_enrichment
SERPINA1,UP,True,True,pathway_enrichment
SERPINA3,UP,True,True,SetA_multiomics_UP+pathway_enrichment
SERPINB1,UP,True,True,pathway_enrichment
SIRPA,UP,True,True,pathway_enrichment
SLC2A3,UP,True,True,pathway_enrichment
SLC39A14,UP,False,True,SetA_multiomics_UP
SLCO4C1,UP,True,True,pathway_enrichment
SLPI,UP,True,True,pathway_enrichment
STING1,UP,True,True,pathway_enrichment
STK10,UP,True,True,pathway_enrichment
STOM,UP,True,True,pathway_enrichment
SVIP,UP,True,True,pathway_enrichment
SYPL1,UP,False,True,SetA_multiomics_UP
TCIRG1,UP,True,True,pathway_enrichment
TICAM2,UP,True,True,pathway_enrichment
TMBIM1,UP,True,True,pathway_enrichment
TMC6,UP,True,True,pathway_enrichment
TMED7-TICAM2,UP,True,True,pathway_enrichment
TMEM30A,UP,True,True,pathway_enrichment
TMEM63A,UP,True,True,pathway_enrichment
TNFRSF1B,UP,True,True,pathway_enrichment
TTR,UP,True,True,pathway_enrichment
TUBB,UP,True,False,
TXNDC5,UP,True,True,pathway_enrichment
VAMP8,UP,True,True,pathway_enrichment
VAPA,UP,True,True,pathway_enrichment
VAT1,UP,True,True,pathway_enrichment
VCL,UP,True,True,pathway_enrichment
XRCC5,UP,True,True,pathway_enrichment
YPEL5,UP,True,True,pathway_enrichment
