Gene_Symbol,direction,source,n_up_sources
MAPK1,UP,pathway_enrichment,1
MAPK14,UP,pathway_enrichment,1
MGAM,UP,pathway_enrichment,1
MME,UP,pathway_enrichment,1
MMP8,UP,pathway_enrichment,1
MMP9,UP,pathway_enrichment,1
MNDA,UP,pathway_enrichment,1
MOSPD2,UP,pathway_enrichment,1
MPO,UP,pathway_enrichment,1
NCKAP1L,UP,pathway_enrichment,1
NDUFC2,UP,pathway_enrichment,1
NEU1,UP,pathway_enrichment,1
NFAM1,UP,pathway_enrichment,1
NPC2,UP,pathway_enrichment,1
NRAS,UP,pathway_enrichment,1
OLR1,UP,pathway_enrichment,1
ORM1,UP,pathway_enrichment,1
ORM2,UP,pathway_enrichment,1
OSBPL11,UP,SetA_multiomics_UP,1
OSTF1,UP,pathway_enrichment,1
PADI2,UP,pathway_enrichment,1
PAFAH1B2,UP,pathway_enrichment,1
PDXK,UP,pathway_enrichment,1
PECAM1,UP,pathway_enrichment,1
PGM2,UP,pathway_enrichment,1
PGRMC1,UP,pathway_enrichment,1
PIGR,UP,pathway_enrichment,1
PLD1,UP,pathway_enrichment,1
PLEKHO2,UP,pathway_enrichment,1
PPBP,UP,pathway_enrichment,1
PRCP,UP,pathway_enrichment,1
PRDX4,UP,pathway_enrichment,1
PRDX6,UP,pathway_enrichment,1
PRG2,UP,pathway_enrichment,1
PRKCD,UP,pathway_enrichment,1
PRTN3,UP,pathway_enrichment,1
PSEN1,UP,pathway_enrichment,1
PSMB1,UP,pathway_enrichment,1
PSMC2,UP,pathway_enrichment,1
PSMD12,UP,pathway_enrichment,1
PSME1,UP,SetA_multiomics_UP,1
PTAFR,UP,pathway_enrichment,1
PTPN12,UP,SetA_multiomics_UP,1
PTPN6,UP,pathway_enrichment,1
A1BG,UP,pathway_enrichment,1
PTPRJ,UP,pathway_enrichment,1
PTX3,UP,pathway_enrichment,1
PYCARD,UP,pathway_enrichment,1
RAB10,UP,pathway_enrichment,1
RAB14,UP,pathway_enrichment,1
RAB18,UP,pathway_enrichment,1
RAB27A,UP,pathway_enrichment,1
RAB31,UP,pathway_enrichment,1
RAB5B,UP,pathway_enrichment,1
RAB6A,UP,pathway_enrichment,1
RAP1A,UP,pathway_enrichment,1
RAP2B,UP,pathway_enrichment,1
RHOA,UP,pathway_enrichment,1
RHOG,UP,pathway_enrichment,1
RNASE2,UP,pathway_enrichment,1
RNASE3,UP,pathway_enrichment,1
RPA2,UP,SetA_multiomics_UP,1
S100A11,UP,pathway_enrichment,1
S100A7,UP,pathway_enrichment,1
S100A8,UP,pathway_enrichment,1
S100A9,UP,pathway_enrichment,1
SCAMP1,UP,pathway_enrichment,1
SDCBP,UP,pathway_enrichment,1
ADGRE5,UP,pathway_enrichment,1
