Gene_Symbol,direction,source
PTPRJ,UP,pathway_enrichment
PTX3,UP,pathway_enrichment
PYCARD,UP,pathway_enrichment
RAB10,UP,pathway_enrichment
RAB14,UP,pathway_enrichment
RAB18,UP,pathway_enrichment
RAB27A,UP,pathway_enrichment
RAB31,UP,pathway_enrichment
RAB5B,UP,pathway_enrichment
RAB6A,UP,pathway_enrichment
RAP1A,UP,pathway_enrichment
RAP2B,UP,pathway_enrichment
RHOA,UP,pathway_enrichment
RHOG,UP,pathway_enrichment
RNASE2,UP,pathway_enrichment
RNASE3,UP,pathway_enrichment
S100A11,UP,pathway_enrichment
S100A7,UP,pathway_enrichment
S100A8,UP,pathway_enrichment
S100A9,UP,pathway_enrichment
SCAMP1,UP,pathway_enrichment
SDCBP,UP,pathway_enrichment
SELL,UP,pathway_enrichment
SERPINA1,UP,pathway_enrichment
SERPINA3,UP,pathway_enrichment
SERPINB1,UP,pathway_enrichment
SIRPA,UP,pathway_enrichment
SLC2A3,UP,pathway_enrichment
SLCO4C1,UP,pathway_enrichment
SLPI,UP,pathway_enrichment
STING1,UP,pathway_enrichment
STK10,UP,pathway_enrichment
STOM,UP,pathway_enrichment
SVIP,UP,pathway_enrichment
TCIRG1,UP,pathway_enrichment
TICAM2,UP,pathway_enrichment
TMBIM1,UP,pathway_enrichment
TMC6,UP,pathway_enrichment
TMED7-TICAM2,UP,pathway_enrichment
TMEM30A,UP,pathway_enrichment
TMEM63A,UP,pathway_enrichment
TNFRSF1B,UP,pathway_enrichment
TTR,UP,pathway_enrichment
TUBB,UP,pathway_enrichment
TXNDC5,UP,pathway_enrichment
VAMP8,UP,pathway_enrichment
VAPA,UP,pathway_enrichment
VAT1,UP,pathway_enrichment
VCL,UP,pathway_enrichment
XRCC5,UP,pathway_enrichment
YPEL5,UP,pathway_enrichment
