NUP188	NUP62
NUP188	NUP37
NUP188	NUP160
NUP205	NUP107
NUP205	NUP155
NUP205	NUP210
NUP205	HSPA5
NUP205	SRSF7
NUP205	HNRNPA1
NUP205	SRSF3
NUP205	ALYREF
NUP205	NUP50
NUP205	NUP37
NUP205	NDC1
NUP205	NUP43
NUP205	NUP153
NUP205	SEC13
NUP205	NUP160
NUP205	NUP62
NUP205	NUP188
NUP210	NUP107
NUP210	NUP155
NUP210	SRSF7
NUP210	SRSF3
NUP210	HSPA5
NUP210	ALYREF
NUP210	NUP50
NUP210	SEC13
NUP210	NUP153
NUP210	NUP37
NUP210	NUP160
NUP210	NUP43
NUP210	NUP62
NUP210	NDC1
NUP210	NUP205
NUP210	NUP188
NUP37	NUP107
NUP37	NUP155
NUP37	NUP210
NUP37	NUP205
NUP37	HSPA5
NUP37	SRSF7
NUP37	NUP43
NUP37	NUP50
NUP37	NDC1
NUP37	NUP188
NUP37	SRSF3
NUP37	NUP160
NUP37	SEC13
NUP37	ALYREF
NUP37	NUP153
NUP37	NUP62
NUP43	NUP107
NUP43	NUP155
NUP43	NUP210
NUP43	NUP205
NUP43	HSPA5
NUP43	SRSF7
NUP43	SRSF3
NUP43	ALYREF
NUP43	NDC1
NUP43	NUP153
NUP43	NUP50
NUP43	NUP62
NUP43	NUP188
NUP43	NUP160
NUP43	NUP37
NUP43	SEC13
NUP50	NUP107
NUP50	NUP155
NUP50	NUP210
NUP50	NUP205
NUP50	HSPA5
NUP50	SRSF7
NUP50	NUP43
NUP50	SRSF3
NUP50	ALYREF
NUP50	SEC13
NUP50	NDC1
NUP50	NUP37
NUP50	NUP160
NUP50	NUP188
NUP50	NUP62
NUP50	NUP153
NUP62	NXT2
NUP62	NUP107
NUP62	NUP155
NUP62	NUP210
NUP62	NUP205
NUP62	HSPA5
NUP62	SRSF7
NUP62	HNRNPA1
NUP62	NUP43
NUP62	NUP50
NUP62	NDC1
NUP62	NUP188
NUP62	SRSF3
NUP62	NUP160
NUP62	SEC13
NUP62	ALYREF
NUP62	NUP153
NUP62	NUP37
NXT2	NUP153
NXT2	NUP62
OPTN	PFN1
OPTN	FUS
OPTN	SPG11
OPTN	WIPI1
OPTN	TP53
OPTN	NEFH
OPTN	ANG
OPTN	HNRNPA1
OPTN	HNRNPA2B1
OPTN	DCTN2
PFN1	HNRNPA2B1
PFN1	SPG11
PFN1	OPTN
PFN1	HNRNPA1
PFN1	NEFH
PFN1	FUS
PRPH	NEFM
PRPH	NEFL
PRPH	NEFH
PSMA4	HNRNPA2B1
PSMA4	TP53
PSMA4	PSMB3
PSMA4	PSMB6
PSMA4	PSMC5
PSMB3	PSMA4
PSMB3	TP53
PSMB3	PSMB6
PSMB3	PSMC5
PSMB6	PSMA4
PSMB6	TP53
PSMB6	PSMC5
PSMB6	PSMB3
PSMC5	PSMA4
PSMC5	TP53
PSMC5	PSMB6
PSMC5	PSMB3
SEC13	NUP107
SEC13	NUP155
SEC13	NUP210
SEC13	NUP205
SEC13	HSPA5
SEC13	SRSF7
SEC13	NUP43
SEC13	NUP50
SEC13	NDC1
SEC13	NUP188
SEC13	SRSF3
SEC13	NUP160
SEC13	GRIA1
SEC13	ALYREF
SEC13	NUP153
SEC13	NUP62
SEC13	NUP37
SLC1A2	NEFM
SLC1A2	FUS
SLC1A2	NEFL
SLC1A2	NEFH
SLC1A2	GRIA1
SPG11	PFN1
SPG11	FUS
SPG11	HNRNPA1
SPG11	NEFH
SPG11	OPTN
SRSF3	NUP107
SRSF3	NUP155
SRSF3	FUS
SRSF3	NUP210
SRSF3	TP53
SRSF3	NUP205
SRSF3	SRSF7
SRSF3	HNRNPA1
SRSF3	NUP43
SRSF3	NUP50
SRSF3	HNRNPA2B1
SRSF3	NDC1
SRSF3	NUP188
SRSF3	SEC13
SRSF3	NUP160
SRSF3	NUP37
SRSF3	NUP62
SRSF3	NUP153
SRSF3	ALYREF
SRSF7	NUP107
SRSF7	NUP155
SRSF7	FUS
SRSF7	NUP210
SRSF7	NUP205
SRSF7	NDC1
SRSF7	NUP188
SRSF7	NUP62
SRSF7	NUP50
SRSF7	SEC13
SRSF7	NUP153
SRSF7	NUP160
SRSF7	NUP37
SRSF7	NUP43
SRSF7	HNRNPA2B1
SRSF7	ALYREF
SRSF7	HNRNPA1
SRSF7	SRSF3
TP53	PSMA4
TP53	XBP1
TP53	FUS
TP53	SRSF3
TP53	MAP2K6
TP53	PSMB6
TP53	OPTN
TP53	HNRNPA2B1
TP53	HNRNPA1
TP53	PSMB3
TP53	GPX8
TP53	EIF2AK3
TP53	ANG
TP53	ERBB4
TP53	HSPA5
TP53	BID
TP53	PSMC5
TP53	APAF1
TP53	BCL2
UQCR10	NDUFS6
UQCR10	NDUFB1
WIPI1	XBP1
WIPI1	OPTN
XBP1	TP53
XBP1	DERL1
XBP1	BCL2
XBP1	WIPI1
XBP1	EIF2AK3
XBP1	HSPA5
