gene	degree	betweenness	closeness
HSPA5	44	230.040672498296	0.0113636363636364
SRSF3	38	99.1847114443864	0.0113636363636364
TP53	38	371.194418691903	0.0120481927710843
ALYREF	36	44.7147663610899	0.0099009900990099
NUP153	36	29.0667015131411	0.00961538461538462
NUP62	36	29.0667015131411	0.00961538461538462
SRSF7	36	44.7147663610899	0.0099009900990099
NUP205	34	5.06670151314114	0.00952380952380953
SEC13	34	25.5558561278763	0.00961538461538462
NDC1	32	0.884230797582191	0.00909090909090909
