SYMBOL	ORIGINAL_ID
PHF17	PHF17
LIN28A	LIN28A
PREPL	PREPL
ALG3	ALG3
TMEM66	TMEM66
SPP1	SPP1
GARNL3	GARNL3
C2CD2L	C2CD2L
KIAA1009	KIAA1009
ZNRF3	ZNRF3
MEF2D	MEF2D
RPS6KC1	RPS6KC1
MICAL3;OTTHUMG00000150085;XXbac-B461K10.4	MICAL3;OTTHUMG00000150085;XXbac-B461K10.4
ATP1B2	ATP1B2
HIST2H3A;HIST2H3C;HIST2H3D	HIST2H3A;HIST2H3C;HIST2H3D
MAGEH1	MAGEH1
AC058791.2;FLJ43663;OTTHUMG00000155000	AC058791.2;FLJ43663;OTTHUMG00000155000
BOD1L1	BOD1L1
SNORD115-2	SNORD115-2
KLHL14	KLHL14
OTTHUMG00000014778;RP1-8B1.4	OTTHUMG00000014778;RP1-8B1.4
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
SP3	SP3
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
ART3	ART3
DGKK	DGKK
SEC24A	SEC24A
ABHD2	ABHD2
AMIGO2	AMIGO2
PFAS	PFAS
ZNF43	ZNF43
PSMD5	PSMD5
MED17	MED17
TADA2A	TADA2A
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
MCF2L2	MCF2L2
CDC42SE2	CDC42SE2
TBX2	TBX2
GSS	GSS
HIST2H2BC	HIST2H2BC
MUT	MUT
BAZ1A	BAZ1A
H3F3A;H3F3B;MIR4738	H3F3A;H3F3B;MIR4738
IL1RAP	IL1RAP
CHTF8	CHTF8
COG6	COG6
QTRTD1	QTRTD1
PLXNB1	PLXNB1
CXCL14	CXCL14
TFAP2A	TFAP2A
KRT8	KRT8
PDGFRL	PDGFRL
HAND2	HAND2
NDFIP1	NDFIP1
SST	SST
ATRN	ATRN
ERAP2	ERAP2
CA14	CA14
DNAH6	DNAH6
SCN11A	SCN11A
CDC14A;OTTHUMG00000010984;RP5-837M10.2	CDC14A;OTTHUMG00000010984;RP5-837M10.2
ZC3H14	ZC3H14
CYSLTR2	CYSLTR2
HIST1H2AI	HIST1H2AI
HIST1H2AB;HIST1H2AE	HIST1H2AB;HIST1H2AE
MAT2A	MAT2A
BTN3A1	BTN3A1
NASP	NASP
SPG11	SPG11
SYNCRIP	SYNCRIP
FBXL2	FBXL2
ANXA1	ANXA1
ATP5SL	ATP5SL
DLK1	DLK1
CNN3	CNN3
SP4	SP4
SEMA5A	SEMA5A
C18orf1;LDLRAD4	C18orf1;LDLRAD4
MID2	MID2
SRSF7	SRSF7
CCDC152	CCDC152
IGF2BP1	IGF2BP1
TBX3	TBX3
HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM	HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM
SNAI2	SNAI2
MEGF11	MEGF11
PRICKLE1	PRICKLE1
CP	CP
LPCAT2	LPCAT2
SCFD2	SCFD2
MCHR1	MCHR1
LPHN1	LPHN1
NCAM2	NCAM2
SLC8A1	SLC8A1
ENTPD4	ENTPD4
TCF12	TCF12
FAM177A1	FAM177A1
GFPT1	GFPT1
HIST1H2BI	HIST1H2BI
MIR622	MIR622
RRAS2	RRAS2
PPP3CC	PPP3CC
CDH6	CDH6
AKTIP	AKTIP
DOCK1	DOCK1
HIST2H2AC	HIST2H2AC
OTTHUMG00000161243;RP11-138I17.1	OTTHUMG00000161243;RP11-138I17.1
DOCK7	DOCK7
SEC62	SEC62
PCDHB1	PCDHB1
UBE2Q2P1	UBE2Q2P1
LOC100507639;OTTHUMG00000161381;RP11-362F19.1	LOC100507639;OTTHUMG00000161381;RP11-362F19.1
SCN5A	SCN5A
SDCCAG3	SDCCAG3
CHST1	CHST1
TICAM2;TMED7;TMED7-TICAM2	TICAM2;TMED7;TMED7-TICAM2
GUF1	GUF1
HRH1	HRH1
RPN1	RPN1
UFM1	UFM1
FSBP;OTTHUMG00000164425;RAD54B;RP11-267M23.1	FSBP;OTTHUMG00000164425;RAD54B;RP11-267M23.1
HIST1H2BC;HIST1H2BE;HIST1H2BF;HIST1H2BG;HIST1H2BI	HIST1H2BC;HIST1H2BE;HIST1H2BF;HIST1H2BG;HIST1H2BI
RNMT	RNMT
OPTN	OPTN
ARHGAP26	ARHGAP26
PABPC1L	PABPC1L
BMPR1B	BMPR1B
NME4	NME4
ARSE	ARSE
C6orf211	C6orf211
FXN	FXN
ZZEF1	ZZEF1
PRTG	PRTG
SRP54	SRP54
AP006222.2;OTTHUMG00000002553	AP006222.2;OTTHUMG00000002553
BAI2	BAI2
ABCA3	ABCA3
ACSL3	ACSL3
PIRT	PIRT
ZNF844	ZNF844
ZNF25	ZNF25
OTTHUMG00000144166;RP11-168O22.1	OTTHUMG00000144166;RP11-168O22.1
MRPS9	MRPS9
HM13;PSIMCT-1	HM13;PSIMCT-1
CXCL11	CXCL11
CDKL2	CDKL2
ZDHHC2	ZDHHC2
LOC401164;OTTHUMG00000160242;RP11-219G10.3	LOC401164;OTTHUMG00000160242;RP11-219G10.3
CTCF	CTCF
MIA3;OTTHUMG00000037651;RP11-378J18.5	MIA3;OTTHUMG00000037651;RP11-378J18.5
FAM118B	FAM118B
ZNF486	ZNF486
SCG2	SCG2
TRA2A	TRA2A
PRUNE2	PRUNE2
HIST2H3A;HIST2H3C;HIST2H3D	HIST2H3A;HIST2H3C;HIST2H3D
WDR44	WDR44
SQLE	SQLE
ZNF75A	ZNF75A
LAP3	LAP3
B3GNT1	B3GNT1
PDE4B	PDE4B
LIFR	LIFR
SRSF3	SRSF3
VAMP4	VAMP4
MIR636;SRSF2	MIR636;SRSF2
LINGO2	LINGO2
ACBD3	ACBD3
BRP44L;MPC1	BRP44L;MPC1
PPM1D	PPM1D
ACSL1	ACSL1
DYNLL1	DYNLL1
MED1	MED1
PCSK5	PCSK5
FAM168A	FAM168A
MGST1	MGST1
GAPVD1	GAPVD1
SYT9	SYT9
GCGR	GCGR
SPIRE1	SPIRE1
WFDC2	WFDC2
DDX24	DDX24
ARL6IP6	ARL6IP6
RRM2	RRM2
CCDC34	CCDC34
PLEKHG4B	PLEKHG4B
RPSAP58	RPSAP58
HIST2H2BF;HIST2H3PS2	HIST2H2BF;HIST2H3PS2
GOLT1B	GOLT1B
KIAA1324	KIAA1324
KIT	KIT
RET	RET
CPSF2	CPSF2
PTGES	PTGES
SFXN3	SFXN3
SLC9A7	SLC9A7
HP1BP3	HP1BP3
AMBN	AMBN
OLFML2A	OLFML2A
CRYL1	CRYL1
OTTHUMG00000008422;RP11-436K8.1	OTTHUMG00000008422;RP11-436K8.1
PRAF2	PRAF2
DARS2	DARS2
KDELR2	KDELR2
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
SNORD115-27	SNORD115-27
ZBTB8B	ZBTB8B
LOC100653515;TIMP2	LOC100653515;TIMP2
LINC00087	LINC00087
EIF5	EIF5
PSMC5	PSMC5
SALL4	SALL4
EPCAM	EPCAM
FAM70A;TMEM255A	FAM70A;TMEM255A
PAWR	PAWR
CCDC99;SPDL1	CCDC99;SPDL1
CDH19	CDH19
KCTD12	KCTD12
PTPRB	PTPRB
ERO1L	ERO1L
COQ2	COQ2
ANO5	ANO5
TBC1D23	TBC1D23
SNORD115-24	SNORD115-24
LOC100996752;LOC101060261;NUDT4;NUDT4P1	LOC100996752;LOC101060261;NUDT4;NUDT4P1
ELMO2	ELMO2
FADS2	FADS2
ZIC2	ZIC2
SLC43A3	SLC43A3
FERMT1	FERMT1
ECEL1	ECEL1
C3orf35	C3orf35
MDN1	MDN1
CYLD	CYLD
UCP2	UCP2
KIAA0101	KIAA0101
RBBP4	RBBP4
SEL1L	SEL1L
SEC61A2	SEC61A2
MECOM	MECOM
SLC35E1	SLC35E1
ITGA11	ITGA11
OSBP	OSBP
GS1-600G8.5;OTTHUMG00000021149	GS1-600G8.5;OTTHUMG00000021149
GPR107;OTTHUMG00000020802;RP11-88G17.2	GPR107;OTTHUMG00000020802;RP11-88G17.2
QRSL1	QRSL1
CSN1S1	CSN1S1
ORC2	ORC2
DKK3	DKK3
SNORD114-3	SNORD114-3
MIR3615;SLC9A3R1	MIR3615;SLC9A3R1
ANKRD44	ANKRD44
MED10	MED10
MIR100HG	MIR100HG
COPB2	COPB2
LONP2	LONP2
ROCK2	ROCK2
CFTR	CFTR
DDX52	DDX52
ZNF826P	ZNF826P
CYB5R2	CYB5R2
DLGAP1	DLGAP1
SAR1B	SAR1B
IQSEC2	IQSEC2
ACIN1	ACIN1
PAG1	PAG1
SLC17A5	SLC17A5
MELK	MELK
SLC37A4	SLC37A4
LURAP1L	LURAP1L
LUZP2	LUZP2
ARHGEF3	ARHGEF3
TUBD1	TUBD1
SCARNA7	SCARNA7
LLGL1	LLGL1
COPS3	COPS3
TXNDC17	TXNDC17
PCNA	PCNA
HIST1H2AD;HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H2AD;HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
ABCG1	ABCG1
PRTFDC1	PRTFDC1
AL035610.2;OTTHUMG00000078706	AL035610.2;OTTHUMG00000078706
SET	SET
LLPH;LOC100506562	LLPH;LOC100506562
JAK1	JAK1
CAMK1G	CAMK1G
NDUFAF1	NDUFAF1
SNORD115-3	SNORD115-3
TMX1	TMX1
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
CASC4	CASC4
LOC100134868	LOC100134868
SRPRB	SRPRB
PPP4R1	PPP4R1
ST3GAL1	ST3GAL1
KIF13B	KIF13B
CREM	CREM
GDAP2	GDAP2
