SYMBOL	ORIGINAL_ID
BMS1P15	M64231_rna1_at
CEP164	U22897_at
RXFP1	X59350_at
FAM204A	D63877_at
CHMP1B	S57132_s_at
IGHV3-30	M28439_at
CELF2	Y10659_at
CHCHD3	M54927_at
ESRP2	D80004_at
COPG2	M26958_s_at
SPINK5	L11005_at
AKAP11	Y11215_at
ARL6IP5	U10550_at
PKNOX2	D63876_at
RUFY1	X80230_at
LPCAT1	X79888_at
PRSS21	M10942_at
CRIPTOP2	U22816_at
OR7E99P	S81419_at
ENOX2	D10495_at
NXF5	M55998_s_at
INTS14	U81556_at
MPZL2	Y10205_at
SCOC	X60592_at
MRPS28	L28957_at
IQCA1	X79781_at
DIP2B	M57609_at
OR52E7P	S81264_s_at
LYPLA2	U11313_at
NPEPL1	U79716_at
OR52E1	U79296_at
TRIM17	U51127_at
ZNF397	D84307_at
KCNG4	M93107_at
AIF1L	X83543_at
DENND3	M22898_at
OXSM	M54995_at
IGHV3-65	U28413_at
UBBP2	M23668_at
RTP3	D83597_at
YIPF2	X78992_at
ISYNA1	U51477_at
UBE4B	M10277_s_at
ATP13A4	D84239_at
SCAF4	M57466_s_at
ZDHHC14	X79683_s_at
YAP1	L10413_at
IGHV7-27	D28383_at
ACP4	M93650_at
P2RY12	U64805_s_at
HACL1	M26061_at
ANKRD36B	M57730_at
DAPP1	L27071_at
SUSD5	U26032_at
TRAPPC2P5	U27193_at
TMPRSS11E	M28983_at
GALNT16	U57452_at
CDH23	X64072_s_at
SMC4	M10051_s_at
GUSBP11	U91316_at
METTL16	X79066_at
QRICH1	X54870_at
IGHD6-6	U28488_s_at
ZFYVE28	M57732_at
FUZ	X80199_at
ZKSCAN5	D23660_at
PPP4R3A	M55671_at
ADAM29	D11086_at
TMEM70	M54968_at
KCTD17	U79734_at
RIC8A	M60626_at
ZC3H14	X79882_at
SH3BGRL2	D83699_at
EML4	M27436_s_at
FUT9	U10690_f_at
MLXIP	M22877_at
MTMR9	U66036_at
LRIG1	D26018_at
TM2D1	M83941_at
RSL1D1	D26156_s_at
LILRB3	M11025_s_at
GOLIM4	U27333_at
TRIM3	M10612_at
STN1	D79991_at
KIAA1614	M57710_at
AVEN	U57099_at
FAF2	M23197_at
TRAJ42	M28713_at
PRR16	U51334_at
MIR9-1HG	U10485_at
CA5B	L11238_s_at
OR4C7P	U79294_at
KRTAP5-8	X57830_at
ZNF423	Z23090_at
ATG16L1	U55054_at
CERS2	D29956_at
OR51P1P	U79300_at
RTP4	M64108_at
MMEL1	U79258_at
TMEM116	X89894_at
HAPLN2	X60484_at
IGHJ1	D28483_at
FBXL5	L26234_at
IGKV2D-29	M28882_s_at
PCDH15	M65217_at
PCDHGB3	U56102_at
OTUD5	M55593_at
SINHCAF	U58516_at
IGLV3-27	D28791_at
TTYH1	X57348_s_at
NTM	D50863_at
RBM22	D55696_at
OR4C10P	U79526_at
TUBA1B	Y10376_at
IGLV1-36	M28826_at
OR52J1P	U79302_at
PATJ	Y10207_at
INTS1	U26173_s_at
DEAF1	D10522_at
TBC1D22A	U25771_at
GPSM3	D63940_s_at
IGHVII-33-1	U28369_at
OR5D15P	X81198_at
RTN3	Y10313_at
DMGDH	D29958_at
PARVG	M64098_at
WDR82	S80335_at
SECISBP2	S79048_at
HDGFL3	D50810_at
DYDC2	M84332_at
IGLJ1	U28833_at
MCU	U90550_at
ZNF771	U51333_s_at
OR52L2P	U79274_at
BLOC1S4	X55330_at
RNF114	M55905_at
PAXIP1	M22976_at
IGHVII-40-1	U28368_at
SAR1A	X56681_s_at
RNF111	U54778_at
C19orf73	M55150_at
PNKP	L11284_at
STXBP6	U29091_at
PTGDR2	Y11251_at
DHRS2	D10202_at
NPDC1	X56654_at
TPSD1	U23430_s_at
RASSF1	M11186_at
SPTBN4	M57731_s_at
FAHD1	X81889_at
DUSP21	M63904_at
NETO1	X81832_s_at
CYB5B	Z80777_at
HYAL6P	M26062_at
SETX	Z23064_at
DPY19L1	L23333_s_at
SETD5	U55209_at
ACP6	U51205_at
PIGO	U84720_at
NPFFR2	U10886_at
GTPBP8	Z29083_at
RMI1	D80010_at
MUS81	X80198_at
DENND4A	Y10260_at
PLA2G3	D50487_at
KHDRBS3	D10656_at
NICN1	D84276_at
PLEKHH3	D79990_at
AFAP1-AS1	X84740_at
IGHJ5	D28476_at
IGHV1-3	D28473_s_at
CRISP3	M10321_s_at
PCNX2	D80003_at
KRTAP4-5	M85289_at
OR8G1	L26494_at
ABCB6	M10058_at
CENPK	U64105_at
RPL41P2	Z22970_at
EIF1	Y10209_at
SPEF1	L25876_at
PSRC1	Z84722_at
UTP18	U51096_at
COX16	U51241_at
IGHV3-75	Z28407_at
TRAPPC13	D80006_at
SLC52A2	Z79581_at
ANKRA2	M57763_at
ECHDC2	M55268_at
CCT6B	U10693_at
OR5W1P	M81182_s_at
C10orf88	D80007_at
INGX	M27160_at
OR52U1P	S81243_s_at
TLR6	L10333_s_at
TRMT11	X60487_at
DYNLRB2	D83657_at
OR5H4P	U79299_at
FRMD1	X79981_at
TECPR1	L25851_at
SEMA4F	Y10505_at
INO80	U54617_at
OR5H8	M95809_at
FUNDC1	S77576_at
SYCE1	U72209_at
STON1	M63835_at
EPN3	X98001_at
COL18A1	D83243_at
FAM135A	Z22780_at
TRBV7-9	S85963_at
H3P26	U14383_at
IGHV3-62	U13706_at
ANKS1A	X66533_at
IGLV2-33	U02556_at
SLC13A4	X06389_at
AP4B1	L07033_at
MYEOV	HG3934-HT4204_at
MUC13	D89050_at
TRBV10-1	U96114_at
OR2L1P	Y11681_at
RNF19A	D38496_s_at
CLSPN	D84454_at
OR4G6P	M63967_at
MYG1	X59834_at
COQ6	X79536_at
OXNAD1	X04143_at
POLR2J4	S82240_at
CDCA3	M84820_s_at
ANKRD53	S46622_at
IGKV3-7	X07876_at
RBM38	AB000114_at
FBXW10	X55544_at
OR5H7P	X04325_at
COMMD8	X67491_f_at
TFAP2D	U82256_at
RRAGD	AF001548_rna1_at
SNX13	HG4272-HT4542_at
BRI3	M23161_at
MXRA5	HG2562-HT2658_s_at
SEL1L2	M21121_at
MYRF-AS1	HG3729-HT3999_f_at
ZNF687	X81882_at
ENAM	J05272_at
METTL14	U13696_s_at
CACFD1	HG3039-HT3200_at
OR8B6P	X12517_at
MED15	L02426_at
IGHVII-49-1	U36448_at
CIB2	J05068_at
MSL3	U19251_s_at
DHRS4	HG4126-HT4396_at
GPR75	U16296_at
KAZN	M16594_at
OR5H5P	X69819_at
COL21A1	M86752_at
ABHD4	X95237_at
TOPORS	M62783_at
CMTR1	D63412_at
CABYR	D13637_at
SLC44A2	AC002077_at
PLAAT1	Z49148_s_at
CCDC71	X57110_s_at
OR9H1P	M37984_rna1_at
PASK	X61079_at
ANKRD13C-DT	U07681_at
KRTAP1-1	U17033_at
USP20	D16469_at
PTCD3	U07856_at
LMO3	AC002045_xpt2_s_at
OR4F3	L20348_at
SLC7A5P1	M26683_at
IFT122	U63332_at
OR13A1	U73682_at
TSBP1	S69115_at
GOLGA6B	U38904_at
CHERP	M59216_s_at
PARM1	AB002365_at
GPN1	M96954_s_at
STX12	M59979_at
IGHV5-10-1	D23673_at
NOC2L	J04162_at
SPAG5	M27394_s_at
TMEM214	U58675_cds2_at
TUBB3	U78524_at
BTBD2	D17547_at
AADAT	U78876_at
GREB1L	U51166_at
SLC25A51	X06617_at
TMEM127	U20536_s_at
CRIPTOP4	L41887_rna1_at
DPH7	X87871_s_at
TRAJ6	L13286_at
IGHV3-49	M33684_s_at
OTULIN	U20158_at
SUB1	S69370_s_at
BANK1	M22760_at
LINC01587	D86425_at
STRIP2	Y10141_s_at
MGARP	AF009426_at
CIP2A	U11701_at
GPATCH2L	J02906_at
ELMOD1	X12901_at
OR7E24	Z29064_at
TMEM59L	M36118_s_at
GCA	U41737_at
OLFM1	Z75330_at
HMGN1P36	Z68204_at
DNAJC9	M75106_at
HMG20B	M63180_at
CCDC82	L48211_at
DPEP2	M89914_s_at
OR5K1	L76465_at
PNPLA8	X04688_at
FAM136A	L41559_at
CHP2	L38932_at
NDC80	X01630_at
FCRL5	X59841_at
CPA6	Z81326_at
IGLV1-50	L14269_at
CTNNBIP1	M77698_at
CHRDL2	X76029_at
FARS2	Z25884_at
TMEM156	X04526_at
H2AJ	U73737_at
GFOD3P	X99393_s_at
FNDC4	U00968_at
PHC3	AC002115_cds4_at
KLHL41	D80012_at
OR2W1	M34516_at
SRGAP1	U71374_at
MRPL17	M12625_at
SVEP1	L38969_at
TBL1XR1	U83600_at
HINFP	M83363_at
ABITRAM	X83425_at
MYOZ1	U90304_at
NUAK2	J03810_at
ADAMTS6	S81944_at
BAZ2B	Y00796_at
EGFL6	L34587_at
OR5BD1P	U79249_at
OR4G3P	M15059_at
IGLV1-40	X96586_at
CNKSR1	U13991_at
YRDC	Y10256_at
SIRPB1	D28235_s_at
ICE1	D00596_at
PADI1	HG1723-HT1729_at
ZNF280D	X65724_at
UBD	X69908_rna1_at
SYBU	X16666_s_at
TSSK1A	U14550_at
NPLOC4	Z48605_at
MYBBP1A	U41766_s_at
MCF2L	L35545_at
B3GNT2	U16261_at
THNSL2	U21936_at
YTHDF1	X57351_s_at
CD300C	J04809_rna1_at
KCNMB3P1	L42450_at
TMEM53	X86564_at
CRLF2	U26710_at
ZFAT	HG4116-HT4386_s_at
BBC3	U46767_at
CLDN16	U82321_at
DOCK5	X69433_at
NFASC	Y08417_s_at
PKDREJ	U79285_at
PNMA2	U36501_at
MHW1	L12052_at
TREML2	X57809_at
SIX4	M69203_s_at
TAS2R14	X72790_at
DOK4	X90846_at
SDAD1	X75342_at
DISC1	X87344_cds10_at
PILRA	Z48804_at
ZMAT5	HG273-HT273_s_at
FOCAD	Z48519_s_at
TARDBP	D86965_at
MAP1LC3A	U23435_s_at
RIMBP3	U48405_at
SPX	U12255_at
TOM1L1	U36221_at
SEMA3C	U13948_at
LRRC2-AS1	S81916_at
B3GNT5	X07619_s_at
NECTIN4	X59373_at
ADPRS	U82130_at
TAS2R10	X54936_at
CEP152	S76756_s_at
CDKN2AIPNL	L21998_at
DUX1	V01516_f_at
SYNCRIP	Z31690_s_at
IGKV2D-38	D13640_at
SAE1	U22662_at
CORO1A	U42360_cds2_at
IL23A	X60655_at
GRAPL-AS1	U51561_at
CXXC1	U25997_at
CEP63	L05515_at
OR2B7P	Z47055_s_at
SIGLEC12	M81695_s_at
TUBGCP2	L40401_at
B4GALT7	X56692_at
TMTC1	X70811_at
OR4R1P	HG3162-HT3339_at
FABP3P2	U25138_at
SBNO1	D83777_at
ZNF331	X00588_at
RCC1L	S41458_at
OR52X1P	M31724_at
OR5H6	D87455_at
ERMN	U79295_at
TTTY5	U29171_at
PRR34	HG3369-HT3546_at
CDRT8	M20642_s_at
LRCH1	Z72499_at
SEC61A1	Z83735_at
RPS15AP4	HG4018-HT4288_at
ZNF319	U09178_s_at
UTP23	HG2059-HT2114_at
TTTY15	L00137_cds1_at
TTLL1	D83784_at
EVL	D78335_at
DMAC2L	M73239_s_at
UBL5	D78275_at
TOGARAM1	Y13247_at
IDI2-AS1	X60036_at
TRBV8-1	U01038_at
BTN3A1	D28588_at
ZC3H7A	M97856_at
MRM2	U31248_at
MRPL18	M14483_rna1_s_at
IGHVIII-76-1	U88666_at
SCARA3	Z28339_at
SARS2	X51435_s_at
YTHDF2	D29012_at
IGLJ3	L20320_at
ZNF669	U30245_at
SLITRK3	X77909_at
IFT56	AF000231_at
NUDT18	U09578_at
FAM114A1	U09303_at
THAP9	M60891_s_at
WDR6	X62429_s_at
CDC40	X14885_rna1_s_at
APOBEC3G	U24183_s_at
SLAMF8	X60489_at
OR7E94P	HG4490-HT4876_f_at
DNAAF2	U56833_at
OR7E93P	D87450_at
MAIP1	K03195_at
CWC22	U19765_at
ZNF436	U50079_s_at
ARL4C	U25041_at
RANBP6	D63390_at
TRMT1	U57341_r_at
IGLJ7	X03484_at
ELOVL7	D90224_at
RPS6KA6	L00058_at
TIMM21	U57450_at
MARVELD1	X51405_at
ENAH	X87767_at
MXD3	U25265_at
POF1B	X55740_at
METTL4	M83772_at
SF3B4	U64863_at
TP53I13	HG537-HT537_at
ENTR1	M58028_at
BOC	L27943_at
PCNP	D83646_at
NUTF2	S70609_at
AGPAT4-IT1	D82060_at
PALS2	X67683_at
UBASH3A	L05597_at
