PROBEID	SYMBOL	ORIGINAL_ID
ILMN_1723481	CHST3	ILMN_1723481
ILMN_1709204	CLEC4A	ILMN_1709204
ILMN_1669635	NUP85	ILMN_1669635
ILMN_2396292	ZNF655	ILMN_2396292
ILMN_1764415	ZNF585A	ILMN_1764415
ILMN_1718610	ARHGAP17	ILMN_1718610
ILMN_1795181	DDX60	ILMN_1795181
ILMN_1797933	MRPL17	ILMN_1797933
ILMN_1754220	SF3A2	ILMN_1754220
ILMN_1702817	B3GNTL1	ILMN_1702817
ILMN_2146372	KCTD6	ILMN_2146372
ILMN_2413508	ADGRE5	ILMN_2413508
ILMN_1786215	ZNF3	ILMN_1786215
ILMN_1773247	ZNF410	ILMN_1773247
ILMN_1700001	TCTA	ILMN_1700001
ILMN_1744628	FDX2	ILMN_1744628
ILMN_1753265	C12orf76	ILMN_1753265
ILMN_1705032	SEH1L	ILMN_1705032
ILMN_1696757	TTC14	ILMN_1696757
ILMN_1790688	AHNAK2	ILMN_1790688
ILMN_1782419	GNG11	ILMN_1782419
ILMN_1727127	PPM1A	ILMN_1727127
ILMN_1753040	ASB7	ILMN_1753040
ILMN_1697652	PLEKHB2	ILMN_1697652
ILMN_1760575	PTP4A1	ILMN_1760575
ILMN_1656487	FGA	ILMN_1656487
ILMN_1783392	BTN2A1	ILMN_1783392
ILMN_1776480	HINFP	ILMN_1776480
ILMN_2138765	PLIN2	ILMN_2138765
ILMN_1671765	TRIM35	ILMN_1671765
ILMN_1672759	MCU	ILMN_1672759
ILMN_1652790	CLK1	ILMN_1652790
ILMN_2195138	SAMD11	ILMN_2195138
ILMN_1655225	C19orf25	ILMN_1655225
ILMN_2410905	HTR4	ILMN_2410905
ILMN_1808059	BCAS4	ILMN_1808059
ILMN_2376723	CDKN2B	ILMN_2376723
ILMN_1726930	TRAPPC13	ILMN_1726930
ILMN_1755134	HSPA4	ILMN_1755134
ILMN_1660364	CYTH4	ILMN_1660364
ILMN_1772316	SUN1	ILMN_1772316
ILMN_1734991	PPM1B	ILMN_1734991
ILMN_1666420	ZNF679	ILMN_1666420
ILMN_2340052	NCOR2	ILMN_2340052
ILMN_2234956	LEPR	ILMN_2234956
ILMN_1735548	HIVEP1	ILMN_1735548
ILMN_1732885	SLX4	ILMN_1732885
ILMN_2383964	CDCA4	ILMN_2383964
ILMN_1748432	ZNF525	ILMN_1748432
ILMN_1655154	PTBP1	ILMN_1655154
ILMN_2099798	LYPLA1	ILMN_2099798
ILMN_2152010	ZNG1A	ILMN_2152010
ILMN_1668194	LMTK3	ILMN_1668194
ILMN_1724984	EIF2AK3	ILMN_1724984
ILMN_1704079	RBM38	ILMN_1704079
ILMN_2370365	RFC4	ILMN_2370365
ILMN_1661778	TESMIN	ILMN_1661778
ILMN_1722438	MGAT4B	ILMN_1722438
ILMN_2229839	RAP2B	ILMN_2229839
ILMN_1686535	SLC37A3	ILMN_1686535
ILMN_2301725	PDE8B	ILMN_2301725
ILMN_2300695	IKZF3	ILMN_2300695
ILMN_1694950	MRPL28	ILMN_1694950
ILMN_1798475	CSF2RB	ILMN_1798475
ILMN_1701007	PON3	ILMN_1701007
ILMN_1771120	TMEM45B	ILMN_1771120
ILMN_2102787	HDAC10	ILMN_2102787
ILMN_1661337	SRM	ILMN_1661337
ILMN_1679134	NSMCE4A	ILMN_1679134
ILMN_1695370	RPS3A	ILMN_1695370
ILMN_2259949	BCKDHB	ILMN_2259949
ILMN_1720274	PRR30	ILMN_1720274
ILMN_1715698	RNASEK	ILMN_1715698
ILMN_1715698	RNASEK-C17orf49	ILMN_1715698
ILMN_1697827	ATP2A3	ILMN_1697827
ILMN_2189037	CFAP44	ILMN_2189037
ILMN_1761486	BORA	ILMN_1761486
ILMN_2113102	PHKG1	ILMN_2113102
ILMN_1809141	ING4	ILMN_1809141
ILMN_2110561	IFNA8	ILMN_2110561
ILMN_1692731	TTYH3	ILMN_1692731
ILMN_1676980	MTSS1	ILMN_1676980
ILMN_1776073	CCT4	ILMN_1776073
ILMN_1680239	NUDT9	ILMN_1680239
ILMN_2129388	CCSER2	ILMN_2129388
ILMN_1689646	FSD1	ILMN_1689646
ILMN_1683916	PEX13	ILMN_1683916
ILMN_1745034	SLC11A2	ILMN_1745034
ILMN_1678238	ZNF683	ILMN_1678238
ILMN_1721712	SYNGR1	ILMN_1721712
ILMN_1652379	SUCLG2	ILMN_1652379
ILMN_1669888	CSTA	ILMN_1669888
ILMN_1789244	SOX8	ILMN_1789244
ILMN_1703573	DNAJC17	ILMN_1703573
ILMN_2185077	C14orf39	ILMN_2185077
ILMN_2323491	NUP62	ILMN_2323491
ILMN_1801020	ADK	ILMN_1801020
ILMN_1758323	ACP3	ILMN_1758323
ILMN_1779423	MRPS14	ILMN_1779423
ILMN_1714643	MGAM	ILMN_1714643
ILMN_1760303	PIK3R1	ILMN_1760303
ILMN_1659202	B3GALT1	ILMN_1659202
ILMN_1811171	GPR132	ILMN_1811171
ILMN_1720344	NIPA2	ILMN_1720344
ILMN_1770865	TRIM46	ILMN_1770865
ILMN_1792076	TRERF1	ILMN_1792076
ILMN_1669931	TM9SF3	ILMN_1669931
ILMN_1699423	ZNF146	ILMN_1699423
ILMN_2390859	NFKB2	ILMN_2390859
ILMN_1852384	ERC1	ILMN_1852384
ILMN_1668484	LRRC47	ILMN_1668484
ILMN_1727567	OLIG2	ILMN_1727567
ILMN_2135991	CNEP1R1	ILMN_2135991
ILMN_1684520	TSTD2	ILMN_1684520
ILMN_1717262	PROCR	ILMN_1717262
ILMN_1811775	CCDC124	ILMN_1811775
ILMN_1714756	YIPF5	ILMN_1714756
ILMN_1773505	USP4	ILMN_1773505
ILMN_1679188	DMAC2L	ILMN_1679188
ILMN_1666933	ASH2L	ILMN_1666933
ILMN_1686360	ZNF124	ILMN_1686360
ILMN_1802316	SMPD3	ILMN_1802316
ILMN_1757180	WDR49	ILMN_1757180
ILMN_1669310	RHOT2	ILMN_1669310
ILMN_1767470	SCPEP1	ILMN_1767470
ILMN_2339825	YME1L1	ILMN_2339825
ILMN_1714093	RMND5A	ILMN_1714093
ILMN_1761138	PAXX	ILMN_1761138
ILMN_1690442	TMEM241	ILMN_1690442
