drug_name,is_approved,is_anti_neoplastic,is_immunotherapy,avg_degree,max_degree,avg_betweenness,max_betweenness,avg_closeness,avg_eigenvector,avg_page_rank,avg_clustering_coef,num_communities,avg_edge_score,avg_neighbor_connectivity,num_targets,hub_target_ratio,bottleneck_target_ratio,avg_interaction_score,avg_interaction_type,drug_id
METOPROLOL SUCCINATE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.5530746839074464,-0.5,12094
METOPROLOL TARTRATE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.4618613014483122,-0.5,12095
METRAZOLINE OXALATE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,0.040224624333333334,0,12096
METRELEPTIN,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,5,0,0,6.490531584731676,0.16666666666666666,12097
METRH,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,26.25383561784724,1,12098
METRIBOLONE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.810609352954982,1,12099
METRIBUZIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.7001022831425933,0,12100
METRIFUDIL,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.5048814541893701,1,12101
METRONIDAZOLE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,5,0,0,0.321387093406379,0,12102
METYRAPONE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,5,0,0,2.1212429722277797,-0.4,12103
METYROSINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,13,0,0,0.4854691981070838,-0.14285714285714285,12104
MEVASTATIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,0.14451018226465362,-0.25,12105
MEVIDALEN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.8099139994287813,0,12106
MEVOCICLIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.2972483483190365,-0.5,12107
MEXILETINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,0.4358544235657849,0,12108
MEXILETINE HYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,10,0,0,0.0790753111,0,12109
MEZAGITAMAB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,9.480551750889282,0,12110
MEZIGDOMIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.917092846427472,0,12111
MEZLOCILLIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.058471794,0,12112
MEZLOCILLIN SODIUM,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0,-1,12113
MF 498,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.280674908,-1,12114
MF101,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.250182648468916,0.5,12115
MF266-1,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.100306849,-1,12116
MG-132,FALSE,FALSE,FALSE,28,28,8.454792775553359e-4,8.454792775553359e-4,0.44964028776978415,0.12630061553156532,0.007457395451185756,0.8351648351648352,2,0.9104285714285715,42.57142857142857,7,0,0,1.4541254589336643,-0.14285714285714285,12117
MG-277,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.917092846427472,0,12118
MG149,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,7.57322181296181,-1,12119
MG2+,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,13,0,0,0.6796844448054048,-0.2857142857142857,12120
MGD-010,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,4.102161815288633,0,12121
MGIPANT-1,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,2.100306849,-1,12122
MGS-0210,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,2.2503287672440493,0,12123
MHC BINDING PEPTIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.166837138570988,1,12124
MI-1148,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,13.12691780892362,-1,12125
MI-503,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.640864726115453,0,12126
MIANSERIN,FALSE,FALSE,FALSE,94,94,0.186940392391121,0.186940392391121,0.5681818181818182,0.5460254767776811,0.02171395027355296,0.272895467160037,2,0.619468085106383,39.02127659574468,19,0.05263157894736842,0.05263157894736842,0.06743957392921299,-0.45,12127
MIANSERIN HYDROCHLORIDE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.053700091000000005,0,12128
MIBAMPATOR,FALSE,FALSE,FALSE,9,10,0.002583363603889871,0.003188909503299078,0.37931839402427636,0.026333267745949483,0.0038349928153184575,0.5,2,0.68285,30.65,5,0,0,0.4326145234611528,0,12129
MIBAVADEMAB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,8.751278539282415,1,12130
MIBEFRADIL,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,17,0,0,0.1922791328381697,0,12131
MIBEFRADIL DIHYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,7,0,0,0.14469763500299349,0,12132
MIBOLERONE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.810609352954982,1,12133
MICAFUNGIN,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.1174668260306364,0,12134
MICAFUNGIN SODIUM,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,10.50153424713889,-1,12135
MICELLAR PACLITAXEL,FALSE,FALSE,FALSE,68,68,0.057872007813804076,0.057872007813804076,0.5605381165919282,0.4101622652100837,0.017127617625598543,0.34224598930481287,1,0.7228235294117648,36.64705882352941,1,1,1,1.280674908,0,12136
MICHLER'S KETONE,FALSE,FALSE,FALSE,92,92,0.10150708577025484,0.10150708577025484,0.589622641509434,0.44949666261067367,0.022796106189732285,0.2618357487922705,2,0.634891304347826,35.17391304347826,9,0.1111111111111111,0.1111111111111111,0.04872987896560168,0,12137
MICONAZOLE NITRATE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,17,0,0,0.07908789795948046,-0.05555555555555555,12138
MICROCYSTIN-LR,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,9.188842466246534,-1,12139
MICRONOMICIN,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,6.375931507284724,0,12140
MICROPARTICLE MDP/BACTERIAL DNA-CONTAINING MIS416,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,1.3237228042612057,0,12141
MIDAZOLAM HYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,36,0,0,0.07680065369346209,0,12142
MIDODRINE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,8,0,0,0.13648375276714417,0.2727272727272727,12143
MIDOSTAURIN,TRUE,TRUE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,37,0,0,0.190657956053774,-0.475,12144
MIFAMURTIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,3.750547945,0,12145
