#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WikiPathways	WP2806	Complement system	9	96	1.47	1.98	3.47e-08	9606.ENSP00000245907,9606.ENSP00000316228,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000472620	C3,CLEC4M,CR2,CFHR2,CFHR4,MBL2,VSIG4,C1S,C5AR2
WikiPathways	WP5090	Complement system in neuronal development and plasticity	6	105	1.25	0.92	0.00056	9606.ENSP00000245907,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000385035,9606.ENSP00000472620,9606.ENSP00000496959	C3,CR2,MBL2,C1S,C5AR2,ITGAM
DISEASES	DOID:10871	Age related macular degeneration	6	44	1.63	1.3	5.38e-05	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395	C3,CFHR5,CFHR1,CFHR2,CFHR4,CFHR3
DISEASES	DOID:2914	Immune system disease	14	675	0.81	0.84	5.38e-05	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000325525,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356395,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000410926,9606.ENSP00000496959	MPO,TTR,C3,CFHR5,CFHR1,KIR3DL2,LCE3B,HP,CR2,CFHR3,HLA-C,CYBB,LMLN,ITGAM
DISEASES	DOID:612	Primary immunodeficiency disease	12	470	0.9	0.92	5.38e-05	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356395,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000496959	MPO,TTR,C3,CFHR5,CFHR1,LCE3B,HP,CR2,CFHR3,HLA-C,CYBB,ITGAM
DISEASES	DOID:0080301	Atypical hemolytic-uremic syndrome	4	11	2.06	1.31	9.55e-05	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356395	C3,CFHR5,CFHR1,CFHR3
DISEASES	DOID:2921	Glomerulonephritis	5	36	1.64	1.2	0.00013	9606.ENSP00000225275,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000356395,9606.ENSP00000496959	MPO,C3,CFHR5,CFHR3,ITGAM
DISEASES	DOID:12554	Hemolytic-uremic syndrome	4	14	1.95	1.22	0.00016	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356395	C3,CFHR5,CFHR1,CFHR3
DISEASES	DOID:934	Viral infectious disease	7	133	1.22	1.03	0.00016	9606.ENSP00000264613,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000315477,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000370767	CP,ITIH4,AHSG,CD209,CR2,HLA-C,GP2
DISEASES	DOID:0050117	Disease by infectious agent	9	368	0.88	0.71	0.0011	9606.ENSP00000245907,9606.ENSP00000264613,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000315477,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000370767,9606.ENSP00000410926	C3,CP,ITIH4,AHSG,CD209,CR2,HLA-C,GP2,LMLN
DISEASES	DOID:557	Kidney disease	8	275	0.96	0.74	0.0011	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356395,9606.ENSP00000496959	MPO,TTR,C3,CFHR5,CFHR1,HP,CFHR3,ITGAM
DISEASES	DOID:0050736	Autosomal dominant disease	15	1386	0.53	0.43	0.0078	9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363868,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000410926,9606.ENSP00000421736,9606.ENSP00000450540	HRG,TTR,C3,CFHR5,CFHR1,HP,CFHR2,CFHR4,CFHR3,ABCA1,GP2,C1S,LMLN,CR1L,SERPINA3
DISEASES	DOID:417	Autoimmune disease	7	317	0.84	0.45	0.0216	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000496959	MPO,TTR,LCE3B,HP,CR2,HLA-C,ITGAM
DISEASES	DOID:16	Integumentary system disease	9	575	0.69	0.4	0.0249	9606.ENSP00000225275,9606.ENSP00000245907,9606.ENSP00000273784,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000385035,9606.ENSP00000410926	MPO,C3,AHSG,LCE3B,HP,HLA-C,CYBB,C1S,LMLN
DISEASES	DOID:9120	Amyloidosis	4	75	1.22	0.47	0.0285	9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000323929,9606.ENSP00000450540	TTR,C3,A2M,SERPINA3
DISEASES	DOID:2920	Membranoproliferative glomerulonephritis	2	4	2.19	0.5	0.0326	9606.ENSP00000245907,9606.ENSP00000256785	C3,CFHR5
TISSUES	BTO:0000392	Plasma cell	16	171	1.47	3.25	1.30e-15	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000450540	MPO,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CD163,MBL2,C1S,ORM2,SERPINA3
TISSUES	BTO:0000141	Bone marrow	18	528	1.03	1.71	4.41e-11	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000421736,9606.ENSP00000450540,9606.ENSP00000496959	MPO,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CD163,MBL2,C1S,ORM2,CR1L,SERPINA3,ITGAM
TISSUES	BTO:0000759	Liver	28	2125	0.61	0.88	7.76e-09	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000350314,9606.ENSP00000352071,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000412733,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,CFHR5,ORM1,FOXRED1,CP,HPX,AHSG,CFHR1,CLEC4M,A2M,HP,BCO2,CD163,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,HLA-C,CYBB,C1S,ORM2,OSBPL9,SERPINA3,ITGAM
TISSUES	BTO:0000237	Cerebrospinal fluid	7	45	1.69	2.01	1.38e-07	9606.ENSP00000237014,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000348170,9606.ENSP00000394936	TTR,ORM1,CP,HPX,AHSG,HP,ORM2
