#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
COMPARTMENTS	GOCC:0030139	Endocytic vesicle	7	260	0.93	0.66	0.0024	9606.ENSP00000225275,9606.ENSP00000265983,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851	MPO,HPX,HP,CD163,ABCA1,HLA-C,CYBB
COMPARTMENTS	GOCC:1990204	Oxidoreductase complex	6	197	0.98	0.62	0.0048	9606.ENSP00000159060,9606.ENSP00000255416,9606.ENSP00000263578,9606.ENSP00000342848,9606.ENSP00000367851,9606.ENSP00000380450	NOX3,MYBPH,FOXRED1,NOXA1,CYBB,NOXO1
COMPARTMENTS	GOCC:0098797	Plasma membrane protein complex	10	682	0.66	0.49	0.0062	9606.ENSP00000159060,9606.ENSP00000245907,9606.ENSP00000342848,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000380450,9606.ENSP00000496959	NOX3,C3,NOXA1,CR2,MBL2,ABCA1,HLA-C,CYBB,NOXO1,ITGAM
COMPARTMENTS	GOCC:0031226	Intrinsic component of plasma membrane	11	851	0.61	0.46	0.0073	9606.ENSP00000159060,9606.ENSP00000245907,9606.ENSP00000342848,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000380450,9606.ENSP00000496959	NOX3,C3,NOXA1,CD163,MBL2,ABCA1,HLA-C,CYBB,GP2,NOXO1,ITGAM
COMPARTMENTS	GOCC:0071682	Endocytic vesicle lumen	3	23	1.61	0.68	0.0073	9606.ENSP00000225275,9606.ENSP00000265983,9606.ENSP00000348170	MPO,HPX,HP
COMPARTMENTS	GOCC:0042581	Specific granule	5	158	1.0	0.52	0.0141	9606.ENSP00000259396,9606.ENSP00000348170,9606.ENSP00000367851,9606.ENSP00000394936,9606.ENSP00000496959	ORM1,HP,CYBB,ORM2,ITGAM
COMPARTMENTS	GOCC:0005887	Integral component of plasma membrane	10	792	0.6	0.41	0.0165	9606.ENSP00000159060,9606.ENSP00000245907,9606.ENSP00000342848,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000380450,9606.ENSP00000496959	NOX3,C3,NOXA1,CD163,MBL2,ABCA1,HLA-C,CYBB,NOXO1,ITGAM
COMPARTMENTS	GOCC:0045335	Phagocytic vesicle	4	105	1.08	0.45	0.0301	9606.ENSP00000225275,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851	MPO,ABCA1,HLA-C,CYBB
COMPARTMENTS	GOCC:0031838	Haptoglobin-hemoglobin complex	2	8	1.89	0.49	0.0318	9606.ENSP00000348170,9606.ENSP00000352071	HP,CD163
COMPARTMENTS	GOCC:0031224	Intrinsic component of membrane	14	1606	0.44	0.32	0.0332	9606.ENSP00000159060,9606.ENSP00000245907,9606.ENSP00000263578,9606.ENSP00000316228,9606.ENSP00000342848,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000380450,9606.ENSP00000496959	NOX3,C3,FOXRED1,CLEC4M,NOXA1,CD163,CR2,MBL2,ABCA1,HLA-C,CYBB,GP2,NOXO1,ITGAM
COMPARTMENTS	GOCC:0009986	Cell surface	7	438	0.7	0.37	0.0353	9606.ENSP00000232003,9606.ENSP00000315477,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000365402,9606.ENSP00000370767,9606.ENSP00000496959	HRG,CD209,CD163,MBL2,HLA-C,GP2,ITGAM
UniProt Keywords	KW-0768	Sushi	10	57	1.74	3.08	7.42e-12	9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000421736	CFHR5,CFHR1,HP,CR2,CFHR2,CFHR4,CFHR3,C1S,B4E1Z4_HUMAN,CR1L
UniProt Keywords	KW-1015	Disulfide bond	36	3338	0.53	0.8	2.54e-10	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000291860,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000325525,9606.ENSP00000342215,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000410815,9606.ENSP00000421736,9606.ENSP00000437563,9606.ENSP00000472620,9606.ENSP00000493607,9606.ENSP00000496416,9606.ENSP00000496959	MPO,HRG,C3,CFHR5,ORM1,CP,HPX,ITIH4,AHSG,KIR3DL3,CFHR1,CD209,CLEC4M,A2M,KIR3DL2,KIR2DL3,HP,CD163,CR2,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,VSIG4,HLA-C,GP2,C1S,ORM2,B4E1Z4_HUMAN,CR1L,KLRC3-2,C5AR2,ENSP00000493607,CD8B2,ITGAM
UniProt Keywords	KW-0732	Signal	33	3277	0.5	0.72	2.16e-08	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000291860,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000325525,9606.ENSP00000342215,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000410815,9606.ENSP00000421736,9606.ENSP00000450540,9606.ENSP00000493607,9606.ENSP00000496416,9606.ENSP00000496959	MPO,HRG,TTR,C3,CFHR5,ORM1,CP,HPX,ITIH4,AHSG,KIR3DL3,CFHR1,A2M,KIR3DL2,KIR2DL3,HP,CD163,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,HLA-C,GP2,C1S,ORM2,B4E1Z4_HUMAN,CR1L,SERPINA3,ENSP00000493607,CD8B2,ITGAM
UniProt Keywords	KW-0011	Acute phase	6	19	1.99	2.38	2.33e-08	9606.ENSP00000259396,9606.ENSP00000266041,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000394936,9606.ENSP00000450540	ORM1,ITIH4,HP,CD163,ORM2,SERPINA3
UniProt Keywords	KW-0325	Glycoprotein	36	4386	0.41	0.59	3.25e-07	9606.ENSP00000159060,9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000291860,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000325525,9606.ENSP00000342215,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000421736,9606.ENSP00000437563,9606.ENSP00000450540,9606.ENSP00000472620,9606.ENSP00000496416,9606.ENSP00000496959	NOX3,MPO,HRG,TTR,C3,CFHR5,ORM1,CP,HPX,ITIH4,AHSG,KIR3DL3,CFHR1,CD209,CLEC4M,A2M,KIR3DL2,KIR2DL3,HP,CD163,CR2,CFHR2,CFHR4,CFHR3,ABCA1,HLA-C,CYBB,GP2,C1S,ORM2,CR1L,KLRC3-2,SERPINA3,C5AR2,CD8B2,ITGAM
UniProt Keywords	KW-0964	Secreted	23	1839	0.59	0.78	5.68e-07	9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000370767,9606.ENSP00000394936,9606.ENSP00000421736,9606.ENSP00000450540	HRG,TTR,C3,CFHR5,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,CD209,CLEC4M,A2M,HP,CD163,CFHR2,CFHR4,CFHR3,MBL2,GP2,ORM2,CR1L,SERPINA3
UniProt Keywords	KW-1068	Hemolytic uremic syndrome	4	10	2.1	1.63	8.80e-06	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356395	C3,CFHR5,CFHR1,CFHR3
UniProt Keywords	KW-0391	Immunity	11	537	0.81	0.81	9.45e-05	9606.ENSP00000245907,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000385035,9606.ENSP00000496416,9606.ENSP00000496959	C3,CD209,CLEC4M,HP,CR2,MBL2,VSIG4,HLA-C,C1S,CD8B2,ITGAM
UniProt Keywords	KW-0399	Innate immunity	9	329	0.93	0.9	9.45e-05	9606.ENSP00000245907,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000385035,9606.ENSP00000496959	C3,CD209,CLEC4M,CR2,MBL2,VSIG4,HLA-C,C1S,ITGAM
UniProt Keywords	KW-0180	Complement pathway	4	30	1.62	1.11	0.00025	9606.ENSP00000245907,9606.ENSP00000356024,9606.ENSP00000363079,9606.ENSP00000385035	C3,CR2,MBL2,C1S
UniProt Keywords	KW-0465	Mannose-binding	3	7	2.13	1.18	0.00025	9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000363079	CD209,CLEC4M,MBL2
UniProt Keywords	KW-0882	Thioester bond	2	8	1.89	0.53	0.0248	9606.ENSP00000245907,9606.ENSP00000323929	C3,A2M
UniProt Keywords	KW-0179	Complement alternate pathway	2	12	1.72	0.44	0.0459	9606.ENSP00000245907,9606.ENSP00000363869	C3,VSIG4
UniProt Keywords	KW-0677	Repeat	27	4794	0.25	0.25	0.0467	9606.ENSP00000232003,9606.ENSP00000255416,9606.ENSP00000256649,9606.ENSP00000256785,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000291860,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000325525,9606.ENSP00000342215,9606.ENSP00000342848,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000363869,9606.ENSP00000380450,9606.ENSP00000385035,9606.ENSP00000421736,9606.ENSP00000496959	HRG,MYBPH,TRIM45,CFHR5,CP,HPX,AHSG,KIR3DL3,CFHR1,CD209,CLEC4M,KIR3DL2,KIR2DL3,NOXA1,HP,CD163,CR2,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,VSIG4,NOXO1,C1S,CR1L,ITGAM
Pfam	PF01237	Oxysterol-binding protein 	3	12	1.89	0.5	0.0316	9606.ENSP00000296220,9606.ENSP00000379804,9606.ENSP00000412733	OSBPL11,OSBPL10,OSBPL9
InterPro	IPR000436	Sushi/SCR/CCP domain	10	56	1.75	2.87	6.76e-11	9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000421736	CFHR5,CFHR1,HP,CR2,CFHR2,CFHR4,CFHR3,C1S,B4E1Z4_HUMAN,CR1L
InterPro	IPR035976	Sushi/SCR/CCP superfamily	10	58	1.73	2.85	6.76e-11	9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000421736	CFHR5,CFHR1,HP,CR2,CFHR2,CFHR4,CFHR3,C1S,B4E1Z4_HUMAN,CR1L
InterPro	IPR000648	Oxysterol-binding protein	3	12	1.89	0.49	0.0327	9606.ENSP00000296220,9606.ENSP00000379804,9606.ENSP00000412733	OSBPL11,OSBPL10,OSBPL9
InterPro	IPR018494	Oxysterol-binding protein, conserved site	3	12	1.89	0.49	0.0327	9606.ENSP00000296220,9606.ENSP00000379804,9606.ENSP00000412733	OSBPL11,OSBPL10,OSBPL9
InterPro	IPR037239	Oxysterol-binding protein superfamily	3	12	1.89	0.49	0.0327	9606.ENSP00000296220,9606.ENSP00000379804,9606.ENSP00000412733	OSBPL11,OSBPL10,OSBPL9
SMART	SM00032	Domain abundant in complement control proteins	10	56	1.75	3.09	7.73e-12	9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000421736	CFHR5,CFHR1,HP,CR2,CFHR2,CFHR4,CFHR3,C1S,B4E1Z4_HUMAN,CR1L
