Gene_Symbol,logFC,adjPval,tissue,omic,direction
TFAM,-0.498272895579468,0.00916793311603189,spinal_cord,protein,DOWN
FGA,2.87254677746133,0.00916793311603189,spinal_cord,protein,UP
NDUFS7,-0.720538288376028,0.00931245219451135,spinal_cord,protein,DOWN
HLA-B,2.15112557434638,0.00931245219451135,spinal_cord,protein,UP
TTC39C,0.721446151512083,0.00931245219451135,spinal_cord,protein,UP
NDUFB9,-0.846388176915625,0.00931245219451135,spinal_cord,protein,DOWN
SERPINA1,2.88179747581622,0.00969371673496565,spinal_cord,protein,UP
HLA-DRB5,1.54980082438105,0.00971971638159165,spinal_cord,protein,UP
NPC1,-0.573863925111548,0.00996636432472101,spinal_cord,protein,DOWN
FAS,1.26142772219186,0.0100125173172194,spinal_cord,protein,UP
NDUFB3,-0.795120278753044,0.0100125173172194,spinal_cord,protein,DOWN
FERMT3,1.60026524477026,0.0102889431358438,spinal_cord,protein,UP
SARS2,-0.549063192587704,0.010923831135306,spinal_cord,protein,DOWN
C6,2.21825691757717,0.010923831135306,spinal_cord,protein,UP
HMGCS1,-1.06934962030159,0.0109859448234842,spinal_cord,protein,DOWN
NUDT2,-0.827631696256083,0.0111051357072096,spinal_cord,protein,DOWN
EARS2,-0.591542422930398,0.0112307830554357,spinal_cord,protein,DOWN
PDXDC1,0.356349924439142,0.0112920616423406,spinal_cord,protein,UP
D2HGDH,-0.798625018489051,0.0112920616423406,spinal_cord,protein,DOWN
RAB32,0.658418196825194,0.0112951718049906,spinal_cord,protein,UP
CMC4,-0.722007208278363,0.0114479780763783,spinal_cord,protein,DOWN
BDH1,-0.932871034572203,0.0114479780763783,spinal_cord,protein,DOWN
FGB,2.48827656060871,0.0114479780763783,spinal_cord,protein,UP
PYROXD2,-1.29618934171774,0.0114479780763783,spinal_cord,protein,DOWN
PNPLA8,-0.419409874473901,0.0114479780763783,spinal_cord,protein,DOWN
C1R,1.59550526960207,0.0114479780763783,spinal_cord,protein,UP
MRPL47,-0.558397486822951,0.0114479780763783,spinal_cord,protein,DOWN
GMFG,0.731475217112598,0.0114479780763783,spinal_cord,protein,UP
CAPG,1.07628130600843,0.0115284402381449,spinal_cord,protein,UP
NDUFA9,-0.758302012725879,0.0115348735761287,spinal_cord,protein,DOWN
BLVRA,0.347047170730058,0.0118199792188964,spinal_cord,protein,UP
NDUFA2,-1.03673932859484,0.0118199792188964,spinal_cord,protein,DOWN
PRMT7,-0.507177251622536,0.0124573059484599,spinal_cord,protein,DOWN
GATD3B,-0.642459368566534,0.0124573059484599,spinal_cord,protein,DOWN
NDUFB10,-0.797705162373211,0.0126536883679375,spinal_cord,protein,DOWN
BID,0.532154403058682,0.0126536883679375,spinal_cord,protein,UP
NIPSNAP3B,-1.24511280822566,0.0126536883679375,spinal_cord,protein,DOWN
LBP,1.92246451048285,0.0131070552605153,spinal_cord,protein,UP
C4BPA,2.62330536085432,0.0131070552605153,spinal_cord,protein,UP
MT-ND1,-0.522099801976932,0.0131070552605153,spinal_cord,protein,DOWN
NDUFA10,-0.822296362181795,0.0134247308835864,spinal_cord,protein,DOWN
AHCY,0.405551910749626,0.0136071393822156,spinal_cord,protein,UP
NDUFV1,-0.835654903678854,0.0136071393822156,spinal_cord,protein,DOWN
CORO7,0.430470611231264,0.013621007149997,spinal_cord,protein,UP
POLR2E,-0.550196312425276,0.013621007149997,spinal_cord,protein,DOWN
LDHD,-0.578705246751471,0.013621007149997,spinal_cord,protein,DOWN
FLII,0.314155098232087,0.0139229135420423,spinal_cord,protein,UP
MTCH1,-0.609216799163006,0.0139676675748411,spinal_cord,protein,DOWN
CFI,1.93817149344962,0.0142025441243236,spinal_cord,protein,UP
NDUFV2,-0.725696368966252,0.0148336645375826,spinal_cord,protein,DOWN
FGG,2.48436418373098,0.0152845228122847,spinal_cord,protein,UP
C1S,1.81644167199525,0.015298009265666,spinal_cord,protein,UP
FOXRED1,-0.58785553528466,0.015298009265666,spinal_cord,protein,DOWN
MRPL22,-0.484358187669594,0.0153675555461405,spinal_cord,protein,DOWN
ILVBL,0.409939008899599,0.0153675555461405,spinal_cord,protein,UP
CPM,1.12480216166095,0.0157143207996479,spinal_cord,protein,UP
NDUFB7,-0.68517197180579,0.0159529467473723,spinal_cord,protein,DOWN
ASAH1,0.991813730311295,0.0159751522768199,spinal_cord,protein,UP
CAMP,1.64934854319055,0.0159751522768199,spinal_cord,protein,UP
ASAP2,-0.352122433354236,0.0163846180068028,spinal_cord,protein,DOWN
BTN3A3,0.693059811310734,0.0167453731211564,spinal_cord,protein,UP
PITPNC1,-0.644063477400771,0.0167453731211564,spinal_cord,protein,DOWN
IQGAP2,1.95503867908418,0.016969105006159,spinal_cord,protein,UP
OSBPL9,0.536865949941717,0.0177126210832516,spinal_cord,protein,UP
PSMB8,0.679832493348401,0.0178227380912881,spinal_cord,protein,UP
NDUFS1,-0.707883400718963,0.0178227380912881,spinal_cord,protein,DOWN
CZIB,0.732953979836706,0.0178227380912881,spinal_cord,protein,UP
PTGR3,-0.678714026424029,0.0178227380912881,spinal_cord,protein,DOWN
IDE,0.372576700220042,0.0178227380912881,spinal_cord,protein,UP
CTSG,3.53348705348235,0.0178227380912881,spinal_cord,protein,UP
