Gene_Symbol,CTX_mRNA_logFC,CTX_mRNA_adjPval,CTX_protein_logFC,CTX_protein_adjPval,direction,evidence_count,tissue,SC_mRNA_source
PRODH,-0.691598913,0.000740426,-1.75724458319356,1.58154519653983e-05,DOWN,2,cortex,
C2orf88,0.588013477,0.035571836,0.707645473260293,0.0318166146117414,UP,2,cortex,
