Gene_Symbol,direction,LCM_SMD,LCM_FDR
ASPHD2,DOWN,-0.902,0.0197
PGAP4,DOWN,-0.901,0.0479
PRKCQ,DOWN,-0.901,0.0205
TNRC6C,UP,0.901,0.035
GPR162,DOWN,-0.899,0.0318
EMP1,UP,0.898,0.0187
NLK,DOWN,-0.897,0.0191
ETNPPL,UP,0.895,0.0191
EML1,DOWN,-0.895,0.0191
NDNF,UP,0.893,0.0197
GOLIM4,UP,0.892,0.0286
CDK5,DOWN,-0.891,0.0208
FXR2,DOWN,-0.891,0.0226
ZFPM2,DOWN,-0.89,0.0209
CAPN5,DOWN,-0.889,0.0191
MLH3,UP,0.886,0.0209
COL12A1,UP,0.886,0.0309
TM7SF3,DOWN,-0.886,0.0166
ANGPT1,UP,0.883,0.036
BRINP3,DOWN,-0.88,0.0226
CLCN5,DOWN,-0.879,0.0469
LASP1,UP,0.879,0.0239
SARM1,DOWN,-0.878,0.0212
EVI2B,UP,0.877,0.0328
TSPAN33,DOWN,-0.876,0.0175
ALKBH6,DOWN,-0.876,0.0242
AMN1,DOWN,-0.876,0.0327
MARK2,DOWN,-0.874,0.0374
TPGS2,DOWN,-0.871,0.0187
MAPRE2,DOWN,-0.871,0.0166
SNUPN,DOWN,-0.87,0.0232
MAPK8IP3,DOWN,-0.87,0.0165
SLC35B3,DOWN,-0.865,0.0226
SRD5A3,DOWN,-0.865,0.0236
MRPL37,DOWN,-0.862,0.0236
COX7A1,UP,0.86,0.0447
TRIM36,DOWN,-0.859,0.0212
PRPF4,DOWN,-0.859,0.0256
RIMS1,DOWN,-0.858,0.0175
SLC45A4,DOWN,-0.857,0.0175
PI4K2A,DOWN,-0.856,0.0483
HSPB7,DOWN,-0.85,0.0175
PAPPA,DOWN,-0.85,0.0175
PITRM1,DOWN,-0.845,0.0438
PPP3CB,DOWN,-0.845,0.0182
CLDN11,UP,0.845,0.0271
LRRC8A,DOWN,-0.844,0.0187
SOAT1,UP,0.844,0.0378
HCLS1,UP,0.844,0.0284
SLITRK3,DOWN,-0.839,0.0195
AHSA1,DOWN,-0.838,0.0393
HAVCR2,UP,0.837,0.0461
MAN2A1,UP,0.836,0.0287
PRKCZ,DOWN,-0.834,0.0421
CHI3L1,UP,0.833,0.0338
RASGRF2,UP,0.833,0.0467
OLFM3,DOWN,-0.832,0.0298
TTL,DOWN,-0.829,0.033
FUT9,UP,0.829,0.0304
C8orf34,DOWN,-0.829,0.0218
PSMB6,DOWN,-0.828,0.0295
SHISA6,UP,0.828,0.031
COPS7A,DOWN,-0.826,0.0318
SEMA6A,DOWN,-0.823,0.023
NTNG2,DOWN,-0.822,0.035
ANO5,DOWN,-0.821,0.0226
