Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
ALCAM,DOWN,GEO_merged,-0.2986809416654337,
RARA,UP,GEO_merged,1.8642256696629715,
ATR,DOWN,GEO_merged,-1.2261138743626718,
APOC1,UP,GEO_merged,1.317532084717465,
PSMB2,UP,GEO_merged,0.3910152751024742,
ST6GAL1,UP,GEO_merged,1.7600513997482163,
KCNJ10,DOWN,GEO_merged,-1.710681186597849,
QDPR,DOWN,GEO_merged,-0.414318901902824,
SFXN3,UP,GEO_merged,1.6963699174574176,
PIK3R3,DOWN,GEO_merged,-0.5253017000385856,
GABRA1,UP,GEO_merged,0.2000919866144299,
HLA-DRA,UP,GEO_merged,1.586732096929435,
NUBP1,DOWN,GEO_merged,-1.2968342567484976,
TAX1BP1,DOWN,GEO_merged,-0.3937201439886487,
GFAP,DOWN,GEO_merged,-0.177674581390852,
ENO2,DOWN,GEO_merged,-0.6333376044532635,
PRDX3,UP,GEO_merged,1.3537457027229445,
GNAQ,DOWN,GEO_merged,-1.4381058549572538,
SLC25A16,DOWN,GEO_merged,-0.847198462508837,
IGFBP5,UP,GEO_merged,1.0342697238119816,
SCP2,UP,GEO_merged,1.2781404821558466,
CSTF3,DOWN,GEO_merged,-0.342391151124546,
CTNND2,UP,GEO_merged,0.5204459319210675,
PTPRG,UP,GEO_merged,1.158158470993355,
SRD5A1,DOWN,GEO_merged,-0.5388134052335779,
EIF3E,DOWN,GEO_merged,-0.164350299929458,
RPS27A,DOWN,GEO_merged,-0.1477421570619689,
POLD3,UP,GEO_merged,1.4258965403624335,
RGS16,DOWN,GEO_merged,-0.3426109913196346,
C1QB,UP,GEO_merged,1.30552868210323,
PKN2,UP,GEO_merged,1.4918540325449674,
UBC,DOWN,GEO_merged,-0.565925796045412,
MPP3,DOWN,GEO_merged,-0.9606071811487203,
MAP4,DOWN,GEO_merged,-0.3641376358693058,
BTN2A1,DOWN,GEO_merged,-0.5702625112442951,
UFD1L,DOWN,GEO_merged,-0.2058611940282595,
NCSTN,UP,GEO_merged,0.609373048022399,
TPR,DOWN,GEO_merged,-0.3348607970778944,
HMGA1,UP,GEO_merged,1.2966090875365557,
PSAP,UP,GEO_merged,0.4165287167593781,
CENPB,UP,GEO_merged,2.449895890795185,
GGA3,DOWN,GEO_merged,-0.4551161997696185,
FCGR2B,UP,GEO_merged,1.3015569523645063,
RPL36AL,UP,GEO_merged,1.0144836209496464,
EIF2S1,UP,GEO_merged,0.5371884018024569,
MTMR3,UP,GEO_merged,1.4026749144222406,
CHAF1A,DOWN,GEO_merged,-0.8648141508811594,
ZNF134,DOWN,GEO_merged,-0.5329571020208727,
AKT3,UP,GEO_merged,1.455373613006281,
CSE1L,DOWN,GEO_merged,-0.5216771797236694,
RPL14,UP,GEO_merged,0.6872892614443885,
HNRNPA2B1,DOWN,GEO_merged,-0.394792075400705,
BCL2L1,DOWN,GEO_merged,-0.4602272816967895,
ENOX2,DOWN,GEO_merged,-1.3036198566903223,
LMOD1,UP,GEO_merged,1.8010144468324365,
ACVR1B,DOWN,GEO_merged,-0.6619692662807082,
HIP1,UP,GEO_merged,1.6274660796265925,
DNAJC7,DOWN,GEO_merged,-1.0024433106397523,
NIPA2,UP,GEO_merged,1.504483886461036,
IER2,DOWN,GEO_merged,-0.4264408860803955,
ALDH1A1,UP,GEO_merged,0.824014730459999,
APP,DOWN,GEO_merged,-0.4098620553030707,
THBS1,UP,GEO_merged,1.569119821037538,
NMT1,UP,GEO_merged,0.5404141278405071,
FLNB,DOWN,GEO_merged,-0.0770040692577074,
ANXA7,UP,GEO_merged,1.1901140296820265,
MAOB,UP,GEO_merged,0.8083933364323941,
HIST1H2BD,DOWN,GEO_merged,-1.4198901988880324,
ERH,UP,GEO_merged,1.7259654175025338,
ENTPD1,DOWN,GEO_merged,-0.6850832790350393,
ASPA,UP,GEO_merged,0.165822239517375,
TEF,DOWN,GEO_merged,-0.565613945395104,
CTCF,DOWN,GEO_merged,-0.4681211882364185,
