Gene_Symbol,SC_mRNA_logFC,SC_mRNA_adjPval,SC_protein_logFC,SC_protein_adjPval,direction,evidence_count,tissue
ITGB2,3.9217259209891697,0.0016173783283579,0.955594036665232,0.00798666366872113,UP,2,sc
SERPINA3,1.578410369501715,0.0331955810277442,3.32543572131089,0.00481601076149044,UP,2,sc
CFI,2.446468726000985,0.0475089569700714,1.93817149344962,0.0142025441243236,UP,2,sc
GBP2,1.916003064612392,0.0224253294576422,1.30644877795542,0.0335756402450224,UP,2,sc
CP,0.8340815818289861,0.0113061998430028,1.65709952782969,0.0451276491588058,UP,2,sc
