"Probe_ID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2053103","SLC40A1",0.701814701350391,8.08824357903011,16.1010365864859,3.05663931234106e-50,9.1179550687134e-46,103.273097382068
"ILMN_1819608","HS.568928",-0.388825855710397,8.89995686560388,-14.4799084409142,5.01078514490493e-42,7.4735860436257e-38,84.6045311913262
"ILMN_1766054","ABCA1",0.645598994935288,8.22384038370234,14.385602518154,1.45722756006156e-41,1.44896993722121e-37,83.5511537919909
"ILMN_1743032","CTSS",0.487886479394842,9.51601143793539,14.274811882892,5.08208059001366e-41,3.78996160000269e-37,82.3185723697696
"ILMN_1798804","SRPK1",0.553982347658661,8.34310249178855,14.1827265781343,1.42946584998176e-40,8.52819326099116e-37,81.2981912104401
"ILMN_1741727","QPCT",0.639653007832713,9.92699501375646,14.1121585535824,3.14955856132635e-40,1.56585553140608e-36,80.518783297994
"ILMN_1770803","BNIP2",0.616584463406866,7.62550201250471,14.0869215821291,4.17548899207269e-40,1.7793548090504e-36,80.2405863863242
"ILMN_1729318","TOR1AIP1",0.509224203939716,8.86296509002859,13.9620763529292,1.67747912619603e-39,6.25490029180343e-36,78.868587009525
"ILMN_2307740","CD46",0.891563964908356,8.48228542055112,13.5961727066556,9.47967456290574e-38,3.14198546901642e-34,74.8886661458414
"ILMN_1752117","TMEM55A",0.390292861124157,7.11281671108031,13.5685099607998,1.28276678413785e-37,3.8264933170832e-34,74.5903267234157
"ILMN_1738632","PRKAR1A",0.863527636997196,9.36283773492957,13.5478332307609,1.60777806210227e-37,4.36000178113734e-34,74.3675680724451
"ILMN_1803279","TMED5",0.684755468154932,7.41222121273729,13.530493340425,1.94271069926613e-37,4.82925501325906e-34,74.180915486853
"ILMN_2101278","RGS18",0.850062196191443,7.98707846016865,13.4484602175451,4.74628409572008e-37,1.08908965057946e-33,73.299832032289
"ILMN_1674402","TMEM71",0.71973378759688,9.57348574069821,13.4391600007845,5.25105941572853e-37,1.11885073122273e-33,73.2001462299204
"ILMN_1717337","MARCH7",0.904313521252764,8.45080125048823,13.3420680566727,1.50450745002239e-36,2.99196381561119e-33,72.161948246481
"ILMN_1894072","HS.561747",0.443164028103367,7.91845350813585,13.2276718495818,5.16954341774067e-36,9.63796750945027e-33,70.9446113558938
"ILMN_1768870","CAPZA2",0.78643342541803,8.47483215518444,13.210241752203,6.23567753728161e-36,1.09417800551241e-32,70.7596949489822
"ILMN_1903159","HS.130036",0.378200593405388,7.01480437080955,13.1924545296312,7.54946659457966e-36,1.25111438064617e-32,70.5711444750694
"ILMN_1727361","LEMD3",0.418373642647392,7.03381037213661,13.1665310226616,9.97258929550876e-36,1.56569651939488e-32,70.2966270959568
"ILMN_1711069","YPEL5",0.828849981872477,8.40554564030596,13.0083676807477,5.4104149507067e-35,8.06963389897904e-32,68.6290105005685
"ILMN_1715068","AQP9",0.526177891480188,11.9461444574036,12.9764660477059,7.59804505696978e-35,1.07928420975909e-31,68.2941739545149
"ILMN_1737462","OXR1",0.498256730527748,7.1723387680139,12.9252098889597,1.30970585621737e-34,1.775842076862e-31,67.7572734943826
"ILMN_1696494","CMTM6",0.608656660823499,9.24050591284762,12.8708107684312,2.33082692009582e-34,3.0229811750634e-31,67.1889133988535
"ILMN_1756937","ST8SIA4",0.380633158262409,7.08091711218076,12.8601753731224,2.60840869580395e-34,3.24203464149299e-31,67.0779718576676
"ILMN_1807994","PCNP",0.757219854587206,7.92930232067127,12.8423107052815,3.15065116501064e-34,3.7593569700907e-31,66.8917496749312
"ILMN_1738784","PPP2R5A",0.448968302923468,8.96399646113644,12.8097267793143,4.44451381877073e-34,5.09922489284349e-31,66.5525152268356
"ILMN_1657515","RPS6KA5",0.44590648803065,8.66302726442389,12.7863344972132,5.68788114086505e-34,6.2840553493335e-31,66.3093128952669
"ILMN_1682180","VCPIP1",0.36299215957952,7.02643850604538,12.7426248599787,9.01139448323818e-34,9.60035347982125e-31,65.8556347544259
"ILMN_2405018","PPP1CB",0.526315648963594,8.00510314800569,12.7271505556859,1.06032207675858e-33,1.09066922585201e-30,65.6952585326746
"ILMN_1744534","LYRM5",0.396067495781155,7.42963155915121,12.6382639657585,2.69270036204176e-33,2.65303298399365e-30,64.7764493321422
"ILMN_1742230","BAZ1A",0.578174813433739,7.81291755860918,12.6360049777296,2.7570909320752e-33,2.65303298399365e-30,64.7531522499296
"ILMN_1720850","BAZ2B",0.564000814855529,7.76246308374174,12.6001963956243,4.00849810748591e-33,3.73667182957202e-30,64.3842137583951
"ILMN_1665557","USP15",0.37733501633732,7.23416294503094,12.5744324611439,5.24492999527168e-33,4.74109884118043e-30,64.1191830845914
"ILMN_1792587","VPS4B",0.638349401609581,8.18546480457767,12.5374667019766,7.70897869987899e-33,6.76349513580559e-30,63.7395321723843
"ILMN_1813491","SPTLC1",0.511421985851944,7.84247799459065,12.5307582448973,8.26640385864681e-33,7.04533791724098e-30,63.6707115010694
"ILMN_1651628","EXOC6",0.283767331681347,7.09243475381672,12.5237211441023,8.89427623345041e-33,7.36989611232849e-30,63.5985449596372
"ILMN_1750693","SSR1",0.486194020578361,8.75921099269143,12.5130021857152,9.94300186867714e-33,8.01620934439565e-30,63.4886708545338
"ILMN_2307598","SLC37A3",0.289588742779036,7.00116644351297,12.4779193821265,1.4314178469459e-32,1.12366300985253e-29,63.1294831251465
"ILMN_1703074","CPD",0.646620847764477,7.7647229951378,12.459522000964,1.73236040716828e-32,1.32503361399564e-29,62.9413873060365
"ILMN_1810729","UBL3",0.49503608783693,7.60287492619251,12.4445169434884,2.023816531579e-32,1.50926117842504e-29,62.7881084577333
"ILMN_1794190","CCPG1",0.528248256231632,7.70583465592099,12.4207224368692,2.58913884918275e-32,1.88375638710052e-29,62.5452907924873
"ILMN_2214678","MXD1",0.482179003469215,10.7019963268481,12.3941292790218,3.40852844558656e-32,2.42086675075826e-29,62.2742723315075
"ILMN_1783120","SLMAP",0.438048311499402,7.33643373180946,12.3805034393302,3.92362352984095e-32,2.72189976500362e-29,62.1355545707243
"ILMN_1679195","C20ORF24",0.286143812625001,11.8190566978411,12.3492326088946,5.41742057526762e-32,3.67276490364166e-29,61.8175797512847
"ILMN_1725862","USP3",0.282734852661381,9.71741724994605,12.3419909067703,5.83721247289089e-32,3.86942329036301e-29,61.7440182570615
"ILMN_1726245","TGFBR2",0.446331086916601,9.92196279795965,12.3293642952403,6.64800330758529e-32,4.31108562315803e-29,61.6158243510402
"ILMN_1814247","TCFL5",0.226427150429271,6.8962449486101,12.2624223915432,1.32291790621119e-31,8.39630662601697e-29,60.9376265409159
"ILMN_1691559","ELF2",0.431768089978601,7.74083364717968,12.2580060077681,1.38423986486462e-31,8.60247399352325e-29,60.8929690723094
"ILMN_1730611","RTN4",0.48467888105602,9.79453402131066,12.2386597976714,1.68794999794622e-31,1.02758262119869e-28,60.6974697371988
"ILMN_1795893","C1ORF119",0.439177205161236,7.99487032045083,12.2148136893812,2.15488368037228e-31,1.2856036037101e-28,60.4567783733788
"ILMN_1736796","RB1CC1",0.428729234634711,7.13228740296867,12.2075513685633,2.32112679921444e-31,1.35763161608954e-28,60.3835376300819
"ILMN_2155322","ZNF652",-0.526155135377076,11.53900370976,-12.1744188735607,3.25676570763002e-31,1.86825617420391e-28,60.0497615920699
"ILMN_1781580","BRI3",0.443365948765313,10.3633522163349,12.1694353502636,3.42679132536635e-31,1.92870160822034e-28,59.9996097447023
"ILMN_1766408","CBFB",0.455859083521346,7.36741567052444,12.1537177032091,4.02303839196104e-31,2.22235620800366e-28,59.8415240248223
"ILMN_2358202","ARS2",-0.319206800164686,10.250482173324,-12.130550022944,5.09488672234931e-31,2.76328128959418e-28,59.6087546754774
"ILMN_1667430","DEGS1",0.335094335303959,8.04450375996042,12.1136529250558,6.05158973134219e-31,3.22355217296317e-28,59.4391733163606
"ILMN_1688702","PJA2",0.755842159542668,8.67068219912083,12.0500055283885,1.15548306128043e-30,6.0470280207009e-28,58.8018168699873
"ILMN_1784753","PAIP2",0.765541348534512,8.7539638140837,12.042027145761,1.25286918768511e-30,6.44363583942185e-28,58.722080792973
"ILMN_1669905","DCP2",0.608513090128282,8.03428868586073,12.0199972875269,1.56624698135911e-30,7.91883855151563e-28,58.5020978135344
"ILMN_2087692","CYBRD1",0.458352190630111,7.48440607388683,12.0060451408405,1.80386365019131e-30,8.96820878086781e-28,58.3629159704157
"ILMN_1789510","STIP1",-0.344700181511852,8.69169655522865,-11.9908989467075,2.10253734266441e-30,1.02817522838819e-27,58.21194559963
"ILMN_1697024","LOC730432",0.49043837060264,7.83785184955202,11.9858099532833,2.21354384082464e-30,1.06500020599676e-27,58.1612495715842
"ILMN_1780132","PELI2",0.484460696786527,7.62253189758586,11.9836706834965,2.26193028617783e-30,1.07100603867754e-27,58.1399427055649
"ILMN_2076463","SLC15A4",0.483837577188851,9.21013979647509,11.9775456978997,2.40636159010141e-30,1.12159009738633e-27,58.0789527410683
"ILMN_1713978","SDF2",0.261296569606449,8.97938165005828,11.9656906143396,2.71247199674976e-30,1.2263224740291e-27,57.9609645341713
