Gene_Symbol,mRNA_logFC,mRNA_adjPval
UBE3A,6.44492906652745,1.87636823872509e-06
PKP1,-5.13855097048739,4.04710639610314e-05
SELL,5.66920675609016,8.43749195600042e-05
ARHGAP25,5.96996358313869,0.0011037443174163
FURIN,5.10033064562031,0.0011037443174163
SLC12A3,-2.9450109379783,0.0011622209492791
CHRNA4,4.54601593899987,0.0014944184871867
ITGB2,6.72341855022847,0.0016173783283579
MEP1A,-4.42089932398977,0.0019734572565824
BAK1,5.00481240793309,0.0022309060459098
ELN,5.21641898414054,0.0065390076272679
BMPR1A,3.6670779521392,0.0071258845275856
KRT33B,-2.93434854525028,0.0137375435777728
RARRES2,2.12260891911827,0.0180095660249265
GDF10,4.62331387370186,0.0201333445232229
LGMN,5.71122126777379,0.0201333445232229
NUCB2,3.52142802207152,0.0219680172110147
ALK,-6.39582579227742,0.0219680172110147
PTX3,4.00984625688553,0.023650889019893
PRKCD,5.56996313556755,0.0282466358482436
SERPINA3,2.25660148691568,0.0331955810277442
FABP6,-3.88272136894178,0.0341706909666646
PDLIM4,5.51215316816301,0.0382038101129042
COL9A2,-0.913128718962735,0.0422047819618877
CDH1,-1.658289640362,0.0422047819618877
IL13RA1,3.67384471709863,0.0422047819618877
CHIC1,-1.81316547211199,0.0422047819618877
ABCE1,3.38848139737565,0.0439340057138117
EMP3,3.31960929681396,0.0476614473752767
CAPG,6.52538304860383,0.0504197661615813
TNXB,-4.27834314597561,0.0543548167848929
NME4,5.25272344119857,0.0571704442447983
FHL3,-1.81991808064096,0.0605079562393519
PPFIA1,-2.66699817336251,0.0629271560703625
CBX5,-1.03895781276032,0.063959428059479
FOLR1,-4.66393033747588,0.0744274521724848
PCYT1A,2.4039988464184,0.0744274521724848
SEC24C,4.88382091171715,0.0744274521724848
PGAM2,5.25394281217525,0.0744274521724848
DTNA,2.2621951014245,0.0744274521724848
CCDC85B,-1.39588631901725,0.0817613273888414
PRKCSH,5.82148427486178,0.0817613273888414
TAF13,2.94224849060435,0.0886155155499571
RHOC,0.927427919185304,0.0886155155499571
PLSCR1,4.78477002507026,0.0886222888094416
SRM,-5.44201870925463,0.0886222888094416
ACTN1,5.9952632472874,0.0886222888094416
CYBA,5.78357210955394,0.0982614571878181
HTR2B,-3.51730435591838,0.0982614571878181
BMPR2,-1.91514885206344,0.0982614571878181
ADCY2,5.47980848941453,0.0982614571878181
PLP1,-1.86389119754282,0.0982614571878181
TF,-1.61445575633646,0.0982614571878181
DARS,1.49579308581506,0.0982614571878181
ZNF267,4.28440487127059,0.0982614571878181
PPARD,-4.34211993751341,0.0982614571878181
DPEP1,4.49840751069646,0.0982614571878181
SPP2,-4.31070123038193,0.0995360951989818
TNC,3.99103299770259,0.101279641549758
ARHGDIB,1.17136945006913,0.106591892417512
MAPK6,-1.34695823538175,0.106591892417512
DRD4,4.88974103663998,0.106591892417512
GYS1,5.06597579555693,0.106591892417512
CALCOCO2,-1.10455822039595,0.106591892417512
CD14,6.13252113517927,0.106591892417512
CARTPT,-0.939825572523546,0.106591892417512
CHI3L1,4.37523110169277,0.106591892417512
DPYSL2,-0.889539564362535,0.106591892417512
MT1E,1.20655154414422,0.106591892417512
GNB2,4.04736086958014,0.106591892417512
HLA-DMA,4.83120903248175,0.108078262531792
CHI3L2,2.5836049518062,0.1103746504413
CFDP1,4.77885329827126,0.115412202646535
