"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"AF002224_at",6.44492906652745,8.42324659176847,21.3452641233358,2.65398619338768e-10,1.87636823872509e-06,11.1856879164682,"UBE3A"
"Z73677_at",-5.13855097048739,6.2215250436156,-14.9929367650343,1.14486743878448e-08,4.04710639610314e-05,9.10607562326349,"PKP1"
"M25280_at",5.66920675609016,7.92960512149019,13.4465427772973,3.58026532786439e-08,8.43749195600042e-05,8.34224886154984,"SELL"
"D29642_at",5.96996358313869,8.70147785333382,10.0383394378543,7.11361303211803e-07,0.00110374431741636,6.07592100029366,"ARHGAP25"
"X17094_at",5.10033064562031,7.5675930511912,9.94547533459894,7.80582968469843e-07,0.00110374431741636,6.00003384647894,"FURIN"
"X91220_at",-2.9450109379783,5.31933070998171,-9.71461962843942,9.86326123857814e-07,0.00116222094927912,5.8075362832894,"SLC12A3"
"U62433_at",4.54601593899987,7.78060593025482,9.32467127291053,1.47962226454134e-06,0.00149441848718676,5.46950052951045,"CHRNA4"
"X64072_s_at",6.72341855022847,8.60046717230548,9.12529264522982,1.83013106462001e-06,0.00161737832835794,5.29017120279687,"ITGB2"
"M82962_at",-4.42089932398977,6.36293691361779,-8.83445122581286,2.51218038320253e-06,0.00197345725658243,5.02037281443048,"MEP1A"
"U49974_f_at",-5.22550415373554,6.61228045802878,-8.66251320930404,3.04114802245581e-06,0.00215009165187626,4.85615686224478,""
"X84213_s_at",5.00481240793309,7.50680871811751,8.5450624642961,3.47099950565891e-06,0.00223090604590986,4.74191254214714,"BAK1"
"X52896_s_at",5.21641898414054,7.64146744843134,7.56276068653795,1.10987399614167e-05,0.00653900762726798,3.71689712261865,"ELN"
"Z22535_at",3.6670779521392,7.17738886565216,7.42946617180222,1.31027579715152e-05,0.0071258845275856,3.56772622793337,"BMPR1A"
"X82634_at",-2.93434854525028,8.89475573915399,-6.86196782353837,2.7203056589649e-05,0.0137375435777728,2.90384600442438,"KRT33B"
"M97796_s_at",2.13071662148549,11.7581339001237,6.67725272834984,3.4803976437279e-05,0.0164042742274375,2.67738466694077,"ID2 /// ID2B"
"U77594_at",2.12260891911827,9.75337985175797,6.56057770585179,4.07571508343457e-05,0.0180095660249265,2.53164135126122,"RARRES2"
"D55696_at",5.71122126777379,8.21524760635791,6.40005039371066,5.07944077726729e-05,0.0201333445232229,2.32765998912491,"LGMN"
"HG1595-HT4788_s_at",4.56330074125004,9.00346757586417,6.37964031385762,5.22490426209116e-05,0.0201333445232229,2.30143558160879,""
"D49493_at",4.62331387370186,7.26403692360673,6.35444306812712,5.41065835843332e-05,0.0201333445232229,2.26896975156468,"GDF10"
"U66559_at",-6.39582579227742,7.92903208331219,-6.23017623769256,6.43595804675634e-05,0.0219680172110147,2.10738748226985,"ALK"
"X76732_at",3.52142802207152,7.3893294664517,6.22038302762097,6.52515362703408e-05,0.0219680172110147,2.09454935990649,"NUCB2"
"X97748_s_at",4.00984625688553,7.46127275194919,6.13515359516791,7.3595411377319e-05,0.023650889019893,1.98217495141104,"PTX3"
"D10495_at",5.56996313556755,9.16291672657636,5.97970392688169,9.18914603266764e-05,0.0282466358482436,1.77422092215397,"PRKCD"
"X68733_rna1_at",2.25660148691568,13.8531912579016,5.83888476345498,0.000112686555115398,0.0331955810277442,1.58248030467525,"SERPINA3"
"X90908_at",-3.88272136894178,6.27218041472401,-5.79115266777215,0.000120829883191883,0.0341706909666646,1.51676039447832,"FABP6"
"X93510_at",5.51215316816301,9.19410974423693,5.68873380412458,0.000140494916964004,0.0382038101129042,1.37449911684535,"PDLIM4"
"Y10659_at",3.67384471709863,7.56055038067519,5.57161499706054,0.000167236091769165,0.0422047819618877,1.20973395894862,"IL13RA1"
"Y11897_at",-1.81316547211199,10.4181812726093,-5.55307055181627,0.000171944551096377,0.0422047819618877,1.18344113955246,"CHIC1"
"Z35402_rna1_s_at",-1.658289640362,9.62707157476733,-5.54325711328807,0.000174493028282507,0.0422047819618877,1.16950480609322,"CDH1"
"HG4460-HT4729_at",4.07070215152783,7.87562431549022,5.51318038047824,0.000182556908921774,0.0422047819618877,1.12669471403634,""
"M95610_at",-0.913128718962735,11.8325538071776,-5.50414394155873,0.000185056328262874,0.0422047819618877,1.11380392880381,"COL9A2"
"X74987_s_at",3.38848139737565,7.407756334662,5.45648900568715,0.000198852642551906,0.0439340057138117,1.04560360875087,"ABCE1"
"U52101_at",3.31960929681396,11.0614337899115,5.38254584728737,0.000222465030181631,0.0476614473752767,0.939053511772637,"EMP3"
"M94345_at",6.52538304860383,10.0884818390245,5.32614135371381,0.000242471294129245,0.0504197661615813,0.857181964376005,"CAPG"
"U52700_at",-4.27834314597561,6.78337573524603,-5.2583230475113,0.000269083251410361,0.0543548167848929,0.758064131612668,"TNXB"
"Y07604_at",5.25272344119857,9.97809713639704,5.20736718411166,0.000291108344103641,0.0571704442447983,0.683104735609223,"NME4"
"U60116_at",-1.81991808064096,10.2843012884924,-5.15313617951773,0.000316661157122492,0.0605079562393519,0.602870631461188,"FHL3"
"U22816_at",-2.66699817336251,6.17258213772383,-5.11086514287356,0.000338222338143391,0.0629271560703625,0.540005698042202,"PPFIA1"
"L07515_at",-1.03895781276032,10.762945896169,-5.08383981587466,0.000352817212775061,0.063959428059479,0.499665079872842,"CBX5"
"U78793_at",-4.66393033747588,8.45432746834594,-4.96078704081306,0.000428211592104277,0.0744274521724848,0.31452534377952,"FOLR1"
"D38555_at",4.88382091171715,8.9884586195626,4.92874861926512,0.000450515514970456,0.0744274521724848,0.265931768937564,"SEC24C"
"J05073_at",5.25394281217525,7.6653462480898,4.92186956439957,0.000455462524802624,0.0744274521724848,0.255477240672831,"PGAM2"
"U84551_cds2_at",2.2621951014245,11.6643029966687,4.91348637056515,0.000461568878296585,0.0744274521724848,0.2427268246583,"DTNA"
"L28957_at",2.4039988464184,8.99746612477127,4.91126996554175,0.00046319772214842,0.0744274521724848,0.239353957892231,"PCYT1A"
"U63825_at",-1.39588631901725,11.4268322978924,-4.82896317091864,0.00052819205621567,0.0817613273888414,0.113563290696517,"CCDC85B"
"U50327_s_at",5.82148427486178,9.68421228514692,4.82451376257952,0.0005319690325158,0.0817613273888414,0.106733459358989,"PRKCSH"
"X84003_at",2.94224849060435,5.69426804345377,4.76036838308459,0.000589700972536073,0.0886155155499571,0.0079343141028545,"TAF13"
"L25081_at",0.927427919185304,13.8168590396283,4.74793806856719,0.000601632920282594,0.0886155155499571,-0.0112836933689771,"RHOC"
"M95178_at",5.9952632472874,8.13709561588844,4.73039201699945,0.00061891017618966,0.0886222888094416,-0.038450687349628,"ACTN1"
"M64231_rna1_at",-5.44201870925463,7.38436819252239,-4.71397262755079,0.000635551737156377,0.0886222888094416,-0.0639152630231052,"SRM"
"AF008445_at",4.78477002507026,8.6516695853045,4.71035251332338,0.000639283837239254,0.0886222888094416,-0.0695350941776631,"PLSCR1"
"HG174-HT174_at",4.0072297540451,6.87198339291607,4.6629979249266,0.000690285344829223,0.0938522574604347,-0.143228476611784,""
"J05257_at",4.49840751069646,7.18455105623966,4.59929146286531,0.000765747873066034,0.0982614571878181,-0.24289346495412,"DPEP1"
"X77307_at",-3.51730435591838,7.21837955596407,-4.58849433611571,0.000779374349364966,0.0982614571878181,-0.259844022665522,"HTR2B"
"L21993_at",5.47980848941453,10.800243587646,4.58618767662799,0.000782318363550031,0.0982614571878181,-0.263467485305734,"ADCY2"
"Z48923_at",-1.91514885206344,8.91142411523663,-4.58417756406914,0.000784893422576372,0.0982614571878181,-0.266625743740414,"BMPR2"
"HG3945-HT4215_at",5.50277954607416,10.7061118775524,4.5668724405633,0.000807434093867615,0.0982614571878181,-0.293839611378535,""
