Gene_Symbol,mRNA_logFC,mRNA_adjPval
CP,1.56278424209238,0.0113061998430028
LST1,1.7335894845952,0.0113061998430028
TM4SF1,1.68795740661079,0.0130170759921875
HLA-DPB1,1.29359815673592,0.0224253294576422
GBP2,2.86958922733286,0.0224253294576422
AK310078,0.289452764312669,0.0224253294576422
CCND1,1.19366133992137,0.0224253294576422
SETD7,0.317888376260415,0.0224253294576422
KLHL18,2.05603583341658,0.0224253294576422
HLA-DPA1,1.42746011755797,0.0228783687729519
CD68,2.56477150390029,0.0269086673904863
Y09859,1.57712146613414,0.0269086673904863
SFRS1,0.206907186856188,0.0300473564893774
PRUNE2,-0.249872639230026,0.0300716283081945
TPM4,0.542307299270821,0.0300716283081945
PECAM1,1.79746268304785,0.0322624472845909
GSTM4,0.977993613488929,0.035954001902208
KCNA1,-0.154298181118441,0.035954001902208
HMGB2,0.37037070804079,0.035954001902208
CCDC50,0.721008960291863,0.035954001902208
ITGB2,1.12003329174987,0.0363947801602039
GPNMB,0.277894793083568,0.0363947801602039
CD9,2.08146840249694,0.0363947801602039
CRYAB,0.368421920078563,0.0363947801602039
CDKN1A,0.500997688327436,0.0363947801602039
ZFP36L1,1.20824282232787,0.0363947801602039
CNN3,0.656474942309285,0.0363947801602039
MLC1,1.60827093597713,0.0363947801602039
ZSIG13,0.319219712568304,0.0363947801602039
RCN1,0.80457929923157,0.0363947801602039
BC034684,0.615293877456193,0.0363947801602039
ARMC10,0.213523756359757,0.0363947801602039
IL13RA1,0.60421090563036,0.0363947801602039
BC005981,0.78443127100549,0.0363947801602039
MGST1,0.437667184764665,0.0363947801602039
LAP3,0.486297057721157,0.0363947801602039
CLCN5,-0.259301571223886,0.037241566477667
TRIM56,2.28510585510745,0.0375831416370444
FTL,0.693356403883171,0.038886668326288
RPL30,0.25698330197654,0.0392540512077995
CD44,0.598048933253679,0.0392540512077995
RPL38,0.345525709518442,0.0392540512077995
NQO1,0.688856805504279,0.0392540512077995
TGFBI,2.11197834788916,0.0392540512077995
RPL37A,0.364462641840837,0.0392540512077995
HLA-C,0.446081968672926,0.0396464438974741
MS4A6A,3.81161479643923,0.044632081473539
SERPING1,1.11298058183162,0.044632081473539
TMEM123,1.05608714455576,0.044632081473539
BC022313,1.37924966532482,0.0461530839868014
REST,1.4210241100291,0.0461530839868014
ARHGEF2,1.49265887365709,0.0461530839868014
TPT1,0.123581166461985,0.0461530839868014
CFI,1.57500002693445,0.0475089569700714
AL133111,0.246517022511836,0.0484596849824475
PTPRA,0.492461972596601,0.0487871676793266
TSPAN14,2.35606467679566,0.0487871676793266
RPL19,0.196680786538933,0.0487871676793266
IGF2,1.42160547823378,0.0487871676793266
APOD,0.623937167771067,0.0487871676793266
SFRS7,0.404041151886108,0.0498900682880376
AK056852,1.42830237610494,0.050208228206155
SAMD9L,1.71968488762245,0.050208228206155
RBP1,1.26827187090761,0.050208228206155
PHKA1,0.902690332394313,0.050208228206155
RPL14,0.307267949355047,0.0506583409813257
ZFP36L2,1.41923059335226,0.0506583409813257
NEK9,0.533797731755583,0.0515427885409503
SEMA3G,2.80909626007475,0.0523943249330511
ACTN1,2.23834208761317,0.052727253137652
PABPC1,0.224303651172294,0.0541797913975843
RND3,0.328021375769318,0.0559442905887752
FBXL7,2.14647165479188,0.0569135715754426
UNQ514,-0.260552649140874,0.0577288715550887
SLC25A26,0.608869419039129,0.0585267961475345
PHF10,0.85319165444214,0.0585267961475345
WBSCR5,2.73010035793254,0.0585267961475345
THBS2,1.26118172198747,0.0585267961475345
YBX1,0.53393598710204,0.0585267961475345
MAL,0.675817782457649,0.0585267961475345
ASAH1,0.214781551264711,0.0585267961475345
ITGA6,0.527706548430152,0.0585267961475345
CSRP2,1.71559387657854,0.0585267961475345
FOXN3,0.381265988247568,0.0585267961475345
CORO2A,-0.289357711191189,0.0585267961475345
TPM2,2.2433017212558,0.0585267961475345
CR601100,0.175642463066392,0.0585267961475345
SRF,0.298610264289395,0.0585267961475345
RPL27,0.326584742093071,0.0585267961475345
ANXA5,0.193856470556627,0.0585267961475345
PADI2,0.51110428167288,0.0585267961475345
HOPX,0.883091582319562,0.0585267961475345
GLDN,0.641459439267872,0.0585267961475345
PABPC3,0.344878953606306,0.0585267961475345
RPL36,0.466984755961676,0.0585267961475345
WASF2,0.722396869799304,0.0585267961475345
DCN,2.34780131030062,0.0585267961475345
MYCBP2,-0.10359007407732,0.0585267961475345
RPL27A,0.222465981244868,0.0585267961475345
CD74,1.45721272774048,0.0585267961475345
AQP1,0.760316788382585,0.0585267961475345
EGR1,1.31993503415551,0.0585267961475345
SP1,0.776826116512946,0.0585267961475345
SLK,0.151473314274785,0.058815041236241
NOTCH2NL,0.984553279181468,0.058815041236241
ELK4,1.47217146470076,0.058815041236241
RPL36AL,0.355641621865083,0.0589107236146825
ARHGAP29,0.23396328167599,0.0589280272218629
LAMC1,0.595413578762167,0.0589280272218629
SNX5,0.391217026780934,0.0589280272218629
STMN1,0.245822799839739,0.0589280272218629
PTPRZ1,0.856012684726232,0.0589280272218629
FIBL-5,1.70295213723208,0.0590524880548704
BBX,0.323153632886771,0.0590524880548704
APLNR,1.07323971943865,0.0590524880548704
IFITM1,1.71426281815628,0.0590524880548704
CTNNA1,0.50205926689686,0.0590524880548704
IFITM3,1.92011856851219,0.0590524880548704
PARVA,0.421454520930256,0.0590524880548704
RPS5,0.743162291102037,0.0590524880548704
ID3,1.97006920125925,0.0590524880548704
RAB31,0.325469416599778,0.0590524880548704
FAM36A,0.195647152531557,0.0590524880548704
WDR6,2.69249091488111,0.0590524880548704
RPL11,0.280750912234735,0.0590524880548704
NEK3,1.52876993714064,0.0590524880548704
AK127910,0.380041382108707,0.0592627240353642
FCER1G,1.71084173406451,0.0601014350506589
RPS24,0.244517718731103,0.0601014350506589
MIR16,0.120881458649021,0.0601014350506589
HSP90B1,0.0940925238283152,0.0604577896009764
HNRNPH3,0.175072337915771,0.060515540625245
GTF2F2,0.375378408994232,0.0620436816566487
PFKFB2,0.456468977879645,0.0621898938704137
MADD,-0.323989228240977,0.0626931330083563
MAP2K4,-0.192058884372023,0.0626931330083563
ERBB2IP,0.337470348923836,0.0632164285094889
FLT1,3.00868467152134,0.0638318533838181
KCNA3,2.1495241162992,0.0638318533838181
EFEMP1,1.14695076869524,0.0638318533838181
LASS1,0.383264557289411,0.0638318533838181
CR610292,1.41923420896774,0.0638318533838181
CST3,1.57978820647225,0.0638318533838181
TGM2,1.53316020248192,0.0647943305826821
SERPINE2,1.00529418074554,0.0647943305826821
OLR1,2.3947771033755,0.0647943305826821
IFIT3,0.436760470375207,0.0647943305826821
GADD45B,0.748782271795882,0.0657458997996786
MYO1B,2.15553173356968,0.0658614822164298
UBE3C,-0.18055855352044,0.0668072812428772
BEST1,0.292635628003963,0.0668072812428772
EPB41,-0.153160189135638,0.0668072812428772
RPL5,0.267284346716939,0.0696255114535551
TIPARP,0.533525189414756,0.0696255114535551
BGN,1.95204807559704,0.069831111155978
TMEM98,1.4497658341922,0.069831111155978
MAGT1,1.20573214466864,0.069831111155978
