"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-399721","Glutamate binding, activation of AMPA receptors and synaptic plasticity",-2.27616230614407,4.02520864729651e-06,8.18921759277566e-05,28,"1175/2036/9463/160/818/163/23426/1173/817/816/5578/27092/815/5582/2890/59283/2892/2893/1742/10369/7102/2891/10368"
"R-HSA-2129379","Molecules associated with elastic fibres",2.05544968931833,4.23625038918183e-06,8.47250077836365e-05,22,"7448/2192/84034/2335/2200/10516/4053/11117/90187/2202/3690/4237/4239/2199/8425"
"R-HSA-2168880","Scavenging of heme from plasma",1.98818415684929,4.85751764394719e-06,9.55311803309614e-05,10,"3240/3263/259/335/3512/9332/3043/8542"
"R-HSA-425393","Transport of inorganic cations/anions and amino acids/oligopeptides",-2.13800935669546,7.29010680260128e-06,0.00014102173814868,49,"6505/57835/84679/6547/81539/8402/23657/6565/6546/6520/10479/83733/57030/8671/6543/57282/79751/6507/57084/6506/6509/57468/140679"
"R-HSA-1566948","Elastic fibre formation",2.03522981107957,8.05656729999083e-06,0.000153334667967567,23,"7448/2192/84034/2335/2200/10516/4053/11117/90187/2202/3690/4237/4239/2199/8425"
"R-HSA-168799","Neurotoxicity of clostridium toxins",-2.10977818005239,1.38919289063937e-05,0.000259400003145349,10,"6843/6804/112755/6844/127833/22987/9899/6857/9900"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",1.99391080020524,1.40691527129681e-05,0.000259400003145349,42,"6288/4318/3929/1278/2335/3934/2162/3383/7431/4313/3689/3687/3684/6624/3606/6778/3162/948/2308"
"R-HSA-8963898","Plasma lipoprotein assembly",1.98375870010091,1.6481018187803e-05,0.000299193868640116,14,"335/338/345/2/336/341/348"
"R-HSA-5602498","MyD88 deficiency (TLR2/4)",1.96437836758138,1.70979475526484e-05,0.000301128031524256,10,"6280/6279/2243/2266/2244/929"
"R-HSA-5603041","IRAK4 deficiency (TLR2/4)",1.96437836758138,1.70979475526484e-05,0.000301128031524256,10,"6280/6279/2243/2266/2244/929"
"R-HSA-9854311","Maturation of TCA enzymes and regulation of TCA cycle",-2.16583768025083,2.99204843819174e-05,0.00051920840545092,17,"6390/38/50/122961/2395/1431/6392/81689/9054/6391/23410/23479/3418"
"R-HSA-8949613","Cristae formation",-2.16649805718192,3.218964253622e-05,0.000550489539025212,28,"9551/513/84833/515/498/506/522/55735/3313/25813/539/10476/509/10651/125988/9556/4580/10989/54927/79135/514/84303/440574/8834/27109"
"R-HSA-70895","Branched-chain amino acid catabolism",-2.16362534126144,3.46548935631294e-05,0.000584182491492752,21,"587/64087/9673/1629/593/38/10295/586/594/549/1738/152926/56922/3028/3712/36/4329/26275"
"R-HSA-77289","Mitochondrial Fatty Acid Beta-Oxidation",-2.15718096853084,3.60670671564324e-05,0.000599424496402679,31,"1666/23597/10449/84129/1632/35/5095/5096/80724/51102/4594/414149/117145/84693/26027"
"R-HSA-9864848","Complex IV assembly",-2.15314049548204,4.13129734211374e-05,0.000677073731068641,30,"29090/1337/80775/51241/9377/9997/116228/152100/51204/4697/1327/1347/6341/9167/1340/1350"
"R-HSA-1638074","Keratan sulfate/keratin metabolism",1.91599947964324,4.96264435449302e-05,0.000802180868260515,12,"4060/4969/5549/4958/2331/176"
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism",1.98056030737687,5.86688467508981e-05,0.000935530259000807,26,"4060/1634/4969/5549/4958/633/3339/2331/6383/176/1464"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",1.62548982486193,6.70753593931922e-05,0.00105531898778622,208,"53938/22826/22938/84324/2963/27316/9785/9092/10284/65109/22985/3185/4670/7536/6427/3181/10772/11052/10212/1665/58517/6626/9775/83443/8683/10992/9584/10482/10914/1660/6629/23451/10291/6429/9130/3183/55696/10189/10946/55749/6625/51747/6426/5725/6432/29894/4928/10915/55234/27336/23350/11338/56949/988/6633/3312/9128/55110/5411/6431/3190/23517/84991/8241/3187/3550/3192/6635/9410/9416/9879/25804/23020/79902/9939/7175/51729/5903/23524/8189/6631/11051/24144/55339/10594/7919/8563/6634/57819/51639/10236/6428/3191/57122/220988/51593/23450/9631/1477/10921/51691/5436/10907/9818/9295/9589/23165/23279/1479/6628/56339/53371/56259/8021/27258/8106/3184/2733/10713/6396/23636/7307/79869/53981/3178/10285/6627/9716/10286/1977/11017/23759/11157/9129/9984/8480"
"R-HSA-181429","Serotonin Neurotransmitter Release Cycle",-2.10441046618133,6.84480513975846e-05,0.00106274606117302,16,"6616/6812/8499/8224/22999/6804/6844/5864/6854/6853/6857"
"R-HSA-3000170","Syndecan interactions",1.97344952554387,7.13110746644879e-05,0.00109281906628696,25,"7448/7057/1277/1278/2335/3371/1281/1290/3690/50509/6383"
"R-HSA-3781865","Diseases of glycosylation",1.85655726808382,7.43423578253728e-05,0.00112466643889666,70,"4060/1634/4969/7057/5549/4958/633/3339/2331/1605/6383/176/1464/79875/9060/57188/5476/10418"
"R-HSA-1592230","Mitochondrial biogenesis",-1.93837585025658,7.61227054059681e-05,0.00113599962962996,62,"513/84833/515/6604/4209/498/506/522/55735/3313/6742/5442/25813/539/5600/10476/509/10651/125988/9556/6300/4580/10989/54927/79135/7019/514/814/84303/23408/440574/23410/54205/2746/8834/27109/3418"
"R-HSA-449147","Signaling by Interleukins",1.62058740027382,7.70169240427094e-05,0.00113599962962996,233,"6288/1511/5657/4318/3929/759/1278/2335/3934/2162/3383/1270/7431/4313/3689/3936/3687/6888/5777/5720/5699/79792/3684/5721/3055/6624/6195/3606/5696/3146/6285/27250/3185/6778/9491/302/4792/3162/948/3181/2308/5715/7409/6647"
"R-HSA-1280218","Adaptive Immune System",1.49216529069518,8.64697268322068e-05,0.00125968244027166,428,"6280/6279/2243/2266/718/2244/3123/999/1277/3106/3107/1278/3710/929/3105/3383/3122/1535/1281/4008/1280/3127/4360/51752/567/3689/3683/9902/972/947/1536/1075/10437/6891/5788/6890/5777/8673/7408/5720/5699/2209/5721/10384/9402/6892/1520/5696/1785/3146/5476/3093/9491/4792/10422/10120/10859/154881/948/3797/10382/5641/7318/10324/151636/8773/5715/7280/7409/4267/8655/57674/25793/25780/808/63893/3937/1780/2214/5478/347733/5579/10381/208/10952/10540/84617/5062/3798/6810/1781/51128/8517/84790/7332/6737/11146/9871/5698/84876"
"R-HSA-8978868","Fatty acid metabolism",-1.75401828516663,9.70797067151616e-05,0.00139700065760842,114,"1666/10478/23597/2877/10449/1374/1384/84129/23305/2053/1376/1632/35/9415/5095/5096/7923/80724/23600/84869/51102/79966/4594/5445/414149/5538/8644/117145/10455/22949/26063/84693/26027"
"R-HSA-8963899","Plasma lipoprotein remodeling",1.91271944241116,0.000142443916764064,0.00202510628652524,14,"335/4023/338/345/336/348/5360"
"R-HSA-8849932","Synaptic adhesion-like molecules",-2.04116416369153,0.000144491324801565,0.00202975908649818,14,"5792/2890/2892/2893/1742/2902"
"R-HSA-76009","Platelet Aggregation (Plug Formation)",1.93664839904897,0.000162562187419788,0.00225674566065118,28,"2243/2266/2244/2147/1277/1278/2335/3690"
"R-HSA-977444","GABA B receptor activation",-2.07502030138368,0.000167101050909631,0.00226642804682028,20,"2782/2785/2771/109/2773/3766/2783/114/2786/10681/2774/108/9568/2550"
"R-HSA-991365","Activation of GABAB receptors",-2.07502030138368,0.000167101050909631,0.00226642804682028,20,"2782/2785/2771/109/2773/3766/2783/114/2786/10681/2774/108/9568/2550"
"R-HSA-5682910","LGI-ADAM interactions",-2.02444693744108,0.000186577436473017,0.00249521260000311,14,"55203/9211/27092/6804/4185/112755/59283/1742/10369/10368"
"R-HSA-2022857","Keratan sulfate degradation",1.89141697985411,0.000188198238474811,0.00249521260000311,11,"4060/4969/5549/4958/2331/176"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",1.92024088647961,0.000230619319239068,0.00302367551891222,32,"718/999/1277/3106/3107/1278/3105/3383/1281/1280/567/3689/3683/947"
"R-HSA-9619665","EGR2 and SOX10-mediated initiation of Schwann cell myelination",1.94626752788076,0.000276395893785314,0.0035840346666667,16,"4359/57716/1821/3912/4155/1605/3908/3915/10413/7402/4099"
"R-HSA-9671793","Diseases of hemostasis",1.88909821344778,0.000282756030024137,0.00362665342857046,10,"2147/1277/2158/710/1278/3818/2159/2161"
"R-HSA-8874081","MET activates PTK2 signaling",1.90526964145297,0.000334166127049092,0.00423995731094547,22,"1277/1278/2335/3912/3910/1281/1280/3908/1290/50509/3915"
"R-HSA-1630316","Glycosaminoglycan metabolism",1.85135923354423,0.000371353318378536,0.00466166931581566,43,"4060/1634/4969/5549/4958/633/3339/2331/6383/176/1464"
"R-HSA-8949215","Mitochondrial calcium ion transport",-2.07272448462103,0.000404509967422598,0.00502443959535437,19,"11331/6687/5245/23203/9512/90550/30968/7417/79568/10367/10939/6547/10730/7416/286097/55486/3954/7419"
"R-HSA-181430","Norepinephrine Neurotransmitter Release Cycle",-1.96695225891341,0.000414126805564769,0.00509030865173361,14,"6616/6812/8499/22999/6804/6844/4128/5864/6857"
"R-HSA-975634","Retinoid metabolism and transport",1.87234746464104,0.000472644209442875,0.00570227094420964,28,"335/4023/338/345/336/3339/55937/348/7276/6383"
"R-HSA-1280215","Cytokine Signaling in Immune system",1.45287074796858,0.000473578434349614,0.00570227094420964,400,"6288/1511/5657/4318/3123/3929/3106/3107/759/1278/2335/3934/2162/3105/3383/3122/2317/1270/7431/8741/4313/3127/2634/25939/567/3689/3936/3687/10437/6888/5777/2633/6672/5720/5699/79792/5371/3684/2209/5721/3055/6624/9402/6195/3606/5696/3146/6285/27250/6622/3185/6778/9491/302/4792/4869/3304/3162/948/4600/10382/3181/7318/2308/1027/5715/7280/7409/6647/684/9775"
"R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation",1.92104478960379,0.000479612827738716,0.00571659734072409,16,"2147/462/3827/2158/710/2/3053/3818/5104/2159/5627/2161"
"R-HSA-6794362","Protein-protein interactions at synapses",-1.79402423920567,0.000557914198806427,0.00646720287282045,62,"8573/9455/54413/4916/6812/9379/94030/8499/57669/57502/5792/6804/9369/9456/2890/58512/127833/57555/2892/2893/1742/2915/9066/6857/2902"
"R-HSA-72163","mRNA Splicing - Major Pathway",1.62600356729386,0.00055902940087092,0.00646720287282045,152,"53938/22826/22938/2963/27316/9785/9092/10284/65109/22985/3185/4670/7536/6427/3181/10772/1665/58517/6626/9775/83443/8683/10992/9584/1660/6629/23451/10291/6429/9130/3183/55696/10189/10946/55749/6625/51747/6426/5725/6432/10915/55234/27336/23350/11338/56949/988/6633/3312/9128/55110/5411/6431/3190/23517/84991/8241/3187/3550/3192/6635/9410/9416/9879/25804/23020/9939/51729/23524/6631/24144/10594/7919/6634/57819/51639/10236/6428/3191/220988/51593/23450/10921/51691/5436/10907"
"R-HSA-72172","mRNA Splicing",1.62600356729386,0.00055902940087092,0.00646720287282045,152,"53938/22826/22938/2963/27316/9785/9092/10284/65109/22985/3185/4670/7536/6427/3181/10772/1665/58517/6626/9775/83443/8683/10992/9584/1660/6629/23451/10291/6429/9130/3183/55696/10189/10946/55749/6625/51747/6426/5725/6432/10915/55234/27336/23350/11338/56949/988/6633/3312/9128/55110/5411/6431/3190/23517/84991/8241/3187/3550/3192/6635/9410/9416/9879/25804/23020/9939/51729/23524/6631/24144/10594/7919/6634/57819/51639/10236/6428/3191/220988/51593/23450/10921/51691/5436/10907"
"R-HSA-186797","Signaling by PDGF",1.82730881108624,0.000701157371497125,0.00803267668317095,44,"7057/5340/1293/1291/1292/6696/1281/1280/1290/50509/1284/6778/5159/1289"
"R-HSA-5674135","MAP2K and MAPK activation",1.83069925678286,0.000754800749061093,0.00856408542203933,34,"2243/2266/2244/2335/3690/8826"
"R-HSA-212676","Dopamine Neurotransmitter Release Cycle",-1.95788277949802,0.000835525921305743,0.00937811391752547,21,"8573/6616/6812/8499/8224/22999/6804/6844/5864/6854/6853/6857"
"R-HSA-983169","Class I MHC mediated antigen processing & presentation",1.52656228950127,0.000842440741743813,0.00937811391752547,235,"6280/6279/2243/2266/2244/3106/3107/929/3105/1535/4008/4360/51752/567/9902/1536/6891/6890/8673/5720/5699/2209/5721/6892/1520/5696/3146/3093/9491/10422/154881/948/7318/10324/151636/8773/5715/57674/25793"
"R-HSA-8982491","Glycogen metabolism",-1.94113541694461,0.000986067370769267,0.0108743878271751,21,"2992/8908/7957/5257/5260/2997/178/5255"
"R-HSA-6806667","Metabolism of fat-soluble vitamins",1.83656579797078,0.00100961157296737,0.011030941260199,30,"335/4023/338/345/336/3339/55937/348/7276/6383"
