Gene_Symbol,logFC,adjPval,tissue,omic,direction
PRMT7,-0.545837763919904,0.00588626069283916,cortex,protein,DOWN
FGFR3,-0.716352170364898,0.00601783644511897,cortex,protein,DOWN
HLA-B,2.20361094050976,0.00606944029121767,cortex,protein,UP
OGA,-0.537668112516263,0.00606944029121767,cortex,protein,DOWN
RPTOR,-0.389986539585026,0.00606944029121767,cortex,protein,DOWN
NAGA,-0.510442365004487,0.00609015054949531,cortex,protein,DOWN
PITHD1,0.39577365751464,0.00609015054949531,cortex,protein,UP
MRPL24,-0.556886174357581,0.00609015054949531,cortex,protein,DOWN
VGF,-1.42757445438245,0.0066599504072382,cortex,protein,DOWN
APOH,3.05843180632568,0.00670708566676934,cortex,protein,UP
ITIH4,2.70330779100424,0.00670708566676934,cortex,protein,UP
GYS1,-0.957521242990985,0.00670708566676934,cortex,protein,DOWN
MTOR,-0.344291867462681,0.00670708566676934,cortex,protein,DOWN
AGL,-1.09437132710095,0.0067522182589861,cortex,protein,DOWN
ITGB8,-0.764785457342514,0.0067522182589861,cortex,protein,DOWN
SKIC2,0.385561030030427,0.0067522182589861,cortex,protein,UP
ALDH5A1,-0.747865786251472,0.0067522182589861,cortex,protein,DOWN
IGF2BP2,1.28669590047554,0.0067522182589861,cortex,protein,UP
SLC1A4,-1.04387701076657,0.0067522182589861,cortex,protein,DOWN
CAMP,1.79389866743248,0.00682870442646546,cortex,protein,UP
ASAP2,-0.384141528121276,0.00682870442646546,cortex,protein,DOWN
AKR1B1,1.06844459529844,0.00697376112500967,cortex,protein,UP
MAN2A2,0.456901361438016,0.00699144491295735,cortex,protein,UP
IGKC,2.71239666553564,0.00701546438253103,cortex,protein,UP
TOMM34,0.521797677086607,0.00702694978301951,cortex,protein,UP
IDI1,-0.658577460949671,0.00702694978301951,cortex,protein,DOWN
ARHGEF4,-0.632394848562202,0.00702694978301951,cortex,protein,DOWN
IGKV3-11,4.23203127663728,0.00702694978301951,cortex,protein,UP
CALCOCO2,0.537823987072127,0.00742749604387175,cortex,protein,UP
ASPA,1.22878342222498,0.00742749604387175,cortex,protein,UP
FBXO44,-0.523127744035602,0.00755481266230676,cortex,protein,DOWN
EMILIN2,2.03109006454559,0.00755481266230676,cortex,protein,UP
F10,1.28245517580098,0.00755481266230676,cortex,protein,UP
CZIB,0.797173093080612,0.00755481266230676,cortex,protein,UP
C4A,1.51893488491105,0.00755481266230676,cortex,protein,UP
SKAP2,0.717437405411568,0.00783673574215131,cortex,protein,UP
TAMM41,-0.52411307613089,0.00812414541775243,cortex,protein,DOWN
HSD17B8,-0.517597755035188,0.00813851328479577,cortex,protein,DOWN
NDUFB11,-0.769244633782082,0.00819720049077726,cortex,protein,DOWN
UQCC2,-0.542820326405465,0.00820385826706452,cortex,protein,DOWN
JAM2,-0.602265164314623,0.00831327529685504,cortex,protein,DOWN
PLPP3,-0.820837913849168,0.00831327529685504,cortex,protein,DOWN
TOMM40,-0.397945199863722,0.0083180779039146,cortex,protein,DOWN
NIT1,-1.12955668013264,0.0083180779039146,cortex,protein,DOWN
NRIP2,1.81479732749012,0.0083180779039146,cortex,protein,UP
C4BPB,1.23368680459927,0.00855257214212321,cortex,protein,UP
ANP32A,0.409679423099478,0.00866605531117457,cortex,protein,UP
LDHD,-0.595093757847532,0.00883213000585108,cortex,protein,DOWN
MT-ND1,-0.53313054925338,0.00883213000585108,cortex,protein,DOWN
HSPD1,-0.475777304084964,0.0089008126661504,cortex,protein,DOWN
ZC3H15,0.421088221108148,0.0089008126661504,cortex,protein,UP
HSD17B10,-0.45781346900492,0.00904296411753123,cortex,protein,DOWN
TMEM11,-0.506462186390504,0.00904296411753123,cortex,protein,DOWN
CTSG,3.74961318122089,0.00904296411753123,cortex,protein,UP
CAST,0.717702718262878,0.00908440194853303,cortex,protein,UP
C15orf40,0.602782999143039,0.00935961224365289,cortex,protein,UP
PTGR1,-0.936245297147979,0.00940370962955163,cortex,protein,DOWN
OPA1,-0.652055031726556,0.00979463681300052,cortex,protein,DOWN
VTN,3.0675129831501,0.00993218507544738,cortex,protein,UP
